profile,viewport_width,viewport_class,choose_profile,actual_run,required_data,preflight,snapshot_reopen,pdf,print_preview,reprint,no_clipping,status,evidence
EU,1440,desktop,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"staging v3 fa91f47c; 102x152 mm; geometryFits=true; pageOverflow=false; previewClip=false; system print document observed"
EU,1024,tablet,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"staging v3 fa91f47c; geometryFits=true; pageOverflow=false; previewClip=false"
EU,390,mobile,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"staging v3 fa91f47c; pageOverflow=false; label rail scroll is controlled; previewClip=false"
UK,1440,desktop,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"staging PPDS v4 7d3b6b12; 102x152 mm; geometryFits=true; pageOverflow=false; previewClip=false"
UK,1024,tablet,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"staging PPDS v4 7d3b6b12; geometryFits=true; pageOverflow=false; previewClip=false"
UK,390,mobile,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"staging PPDS v4 7d3b6b12; pageOverflow=false; controlled label rail; previewClip=false"
USA,1440,desktop,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"staging FDA standard v5 cc83e346; 102x152 mm; geometryFits=true; pageOverflow=false; previewClip=false"
USA,1024,tablet,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"staging FDA standard v5 cc83e346; geometryFits=true; pageOverflow=false; previewClip=false"
USA,390,mobile,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"staging FDA standard v5 cc83e346; pageOverflow=false; controlled label rail; previewClip=false"
Canada,1440,desktop,PASS,PASS,PASS,EXTERNAL_ASSET_BLOCKED,PASS,DRAFT_PASS,DRAFT_PASS,REGULATORY_BLOCKED,PASS_AUTOMATED,EXTERNAL_ASSET_BLOCKED,"bilingual NFT/FOP decision rendered; old Canada snapshot reopened; official Health Canada FOP package absent"
Canada,1024,tablet,PASS,PASS,PASS,EXTERNAL_ASSET_BLOCKED,PASS,DRAFT_PASS,DRAFT_PASS,REGULATORY_BLOCKED,PASS_AUTOMATED,EXTERNAL_ASSET_BLOCKED,"responsive and long-bilingual golden coverage passes; regulatory PDF/print remains fail-closed"
Canada,390,mobile,PASS,PASS,PASS,EXTERNAL_ASSET_BLOCKED,PASS,DRAFT_PASS,DRAFT_PASS,REGULATORY_BLOCKED,PASS_AUTOMATED,EXTERNAL_ASSET_BLOCKED,"controlled mobile label rail; official FOP asset is the sole external activation blocker"
AU/NZ,1440,desktop,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS_AUTOMATED,PASS,"staging NZ NIP v6 00210c13; 102x152 mm; served snapshot and PDF; physical geometry golden passes"
AU/NZ,1024,tablet,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS_AUTOMATED,PASS,"staging NZ NIP v6 00210c13; responsive geometry and clipping regression pass"
AU/NZ,390,mobile,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS_AUTOMATED,PASS,"staging NZ NIP v6 00210c13; controlled label rail and clipping regression pass"
WORLD,1440,desktop,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"staging universal v2 57f19407; PRINT_READY_UNIVERSAL; 102x152 mm; system print document observed"
WORLD,1024,tablet,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"staging universal v2 57f19407; geometryFits=true; pageOverflow=false; previewClip=false"
WORLD,390,mobile,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"staging universal v2 57f19407; pageOverflow=false; controlled label rail; previewClip=false"
