run_id,random_seed,profile,temperature,serving_mode,mode,sweetness,hardness,batch_target_g,input_batch_g,crown_count,crown_pi_ing_ids,crown_names,input_crown_grams,input_ratio,individual_main_policies,main_basis,family,individual_hard_limits,derived_shared_group_hard_limit,engine_result_status,proposed_crown_grams,output_ratio,exact_engine_ratio,whole_gram_ratio,total_main_percent,score,hard_safe,preview_status,apply_status,save_reopen_status,refusal_error_code,largest_non_main_drift,runtime_ms,classification,case_expectation,case_kind,failure_reason
GELATO-1C-01,2026082610,Gelato,-12,temp_minus_12,ECO,-2,-2,500,500,1,PI-ING-000345,BANANA · Fresh Fruit,1,1,main-banana-fresh-dairy,FRUIT_EQUIVALENT,fruit,30,30,maximized,138,1,1,1,27.6,94.37933333333334,true,READY,APPLIED,SAVED_REOPENED,,227,66,PASS,feasible,none,
GELATO-1C-02,2026082611,Gelato,-13,temp_minus_13,OPTIMAL,-2,2,750,750,1,PI-ING-000345,BANANA · Fresh Fruit,2,1,main-banana-fresh-dairy,FRUIT_EQUIVALENT,fruit,30,30,maximized,150,1,1,1,20,95.4071111111111,true,READY,APPLIED,SAVED_REOPENED,,228,21,PASS,feasible,none,
GELATO-1C-03,2026082612,Gelato,Fresh,fresh,ECO,2,-2,1000,1000,1,PI-ING-000345,BANANA · Fresh Fruit,5,1,USER_HELD/UNKNOWN,NONE,fruit,NONE,,no_admissible_increase,5,1,1,1,0.5,87.16666666666667,true,REFUSED:product_behavior_invalid,NOT_ATTEMPTED,NOT_ATTEMPTED,product_behavior_invalid,3,10198,AUTHORITY_BLOCKED,authority_blocked,none,"Propozycja PI została odrzucona: w proponowanej recepturze pINGÜINO nie rozpoznaje jeszcze tego produktu — brak danych o jego roli. Twoja receptura nie została zmieniona. {""mainObjective"":{""status"":""no_admissible_increase"",""startingMainGrams"":5,""exactAcceptedMainGrams"":5,""executableMainGrams"":5,""firstHigherRejectedGrams"":733,""firstHigherRejectedReason"":""hard_gate"",""technicalScore"":9,""attempts"":733,""searchUpperBoundGrams"":733,""provenMaximum"":false,""testedHigherCandidateCount"":728,""limitingTechnicalRules"":[""main_behavior_blocked""],""certifiedUpperBoundGrams"":733,""proofKind"":""linear_relaxation""},""diagnosticReason"":null}"
GELATO-1C-04,2026082613,Gelato,-11,temp_minus_11,OPTIMAL,2,2,1200,1200,1,PI-ING-000345,BANANA · Fresh Fruit,10,1,USER_HELD/UNKNOWN,NONE,fruit,NONE,,already_clean,,,,,,,false,REFUSED:already_clean,NOT_ATTEMPTED,NOT_ATTEMPTED,already_clean,,848,AUTHORITY_BLOCKED,authority_blocked,none,already_clean
GELATO-1C-05,2026082614,Gelato,-12,temp_minus_12,ECO,0,0,1500,1500,1,PI-ING-000345,BANANA · Fresh Fruit,25,1,main-banana-fresh-dairy,FRUIT_EQUIVALENT,fruit,30,30,maximized,170,1,1,1,11.3333,91.26666666666667,true,READY,APPLIED,SAVED_REOPENED,,88,7,PASS,feasible,support_one,
GELATO-1C-06,2026082615,Gelato,-13,temp_minus_13,OPTIMAL,-1,1,2000,2000,1,PI-ING-000038,WHISKY 40% · Spirit,20,1,main-whisky-40-dairy-0038-minus11,ETHANOL_PERCENT,alcohol,4.9,,impossible_under_constraints,,,,,,,false,REFUSED:impossible_under_constraints,NOT_ATTEMPTED,NOT_ATTEMPTED,impossible_under_constraints,,30,HONEST_IMPOSSIBLE,feasible,main_one,impossible_under_constraints
GELATO-1C-07,2026082616,Gelato,Fresh,fresh,ECO,1,-1,1500,1000,1,PI-ING-000345,BANANA · Fresh Fruit,100,1,main-banana-fresh-dairy,FRUIT_EQUIVALENT,fruit,30,30,preview_ready,150,1,1,1,10,88.98878857142857,false,READY,NOT_ATTEMPTED,NOT_SELECTED,ok,302.2,1,HONEST_IMPOSSIBLE,feasible,batch_resize,"{""hardSafe"":false,""locksPreserved"":true,""violations"":[{""metric"":""total_solids"",""direction"":""low"",""value"":30.843039999999995,""band"":{""min"":31,""max"":45},""severity_points"":0.022422857142857872,""priority_rank"":4,""reason"":""total_solids_low""}]}"
GELATO-1C-08,2026082617,Gelato,-11,temp_minus_11,OPTIMAL,-2,0,500,500,1,PI-ING-000345,BANANA · Fresh Fruit,150,1,main-banana-fresh-dairy,FRUIT_EQUIVALENT,fruit,30,,rescale_locked_sum,,,,,,,false,REFUSED:rescale_locked_sum,NOT_ATTEMPTED,NOT_ATTEMPTED,rescale_locked_sum,,0,HONEST_IMPOSSIBLE,feasible,support_multiple,rescale_locked_sum
GELATO-1C-09,2026082618,Gelato,-12,temp_minus_12,ECO,2,-2,1000,1000,1,PI-ING-001553,STRAWBERRIES · Fresh Fruit,10,1,main-berry-fresh-dairy,FRUIT_EQUIVALENT,fruit,45,45,maximized,450,1,1,1,45,97.33333333333333,true,READY,APPLIED,SAVED_REOPENED,,433,5,PASS,feasible,randomized,
GELATO-1C-10,2026082619,Gelato,Fresh,fresh,OPTIMAL,-1,2,1200,1200,1,PI-ING-001578,COCOA ALKALIZED 100% · Cacao Barry Cocoa Powder,25,1,USER_HELD/UNKNOWN,NONE,chocolate_cocoa,NONE,,maximized,184,1,1,1,15.3333,88.97777777777776,true,READY,APPLIED,SAVED_REOPENED,,194,9,PASS,feasible,randomized,
GELATO-2C-01,2026082620,Gelato,-13,temp_minus_13,OPTIMAL,-2,-2,750,750,2,PI-ING-000345|PI-ING-001556,BANANA · Fresh Fruit|CRANBERRY · Fresh Fruit,150|150,1:1,main-banana-fresh-dairy|main-berry-fresh-dairy,FRUIT_EQUIVALENT|FRUIT_EQUIVALENT,fruit|fruit,30|45,30,maximized,113|112,1:0.99115,1:0.99115,1:0.99115,30,95.55555555555556,true,READY,APPLIED,SAVED_REOPENED,,385,11,PASS,feasible,none,
GELATO-2C-02,2026082621,Gelato,Fresh,fresh,ECO,-2,2,1000,1000,2,PI-ING-000345|PI-ING-001553,BANANA · Fresh Fruit|STRAWBERRIES · Fresh Fruit,300|150,1:0.5,main-banana-fresh-dairy|main-berry-fresh-dairy,FRUIT_EQUIVALENT|FRUIT_EQUIVALENT,fruit|fruit,30|45,30,maximized,200|100,1:0.5,1:0.5,1:0.5,30,95.55555555555556,true,READY,APPLIED,SAVED_REOPENED,,340,6,PASS,feasible,none,
