run_id,random_seed,profile,temperature,serving_mode,mode,sweetness,hardness,batch_target_g,input_batch_g,crown_count,crown_pi_ing_ids,crown_names,input_crown_grams,input_ratio,individual_main_policies,main_basis,family,individual_hard_limits,derived_shared_group_hard_limit,engine_result_status,proposed_crown_grams,output_ratio,exact_engine_ratio,whole_gram_ratio,total_main_percent,score,hard_safe,preview_status,apply_status,save_reopen_status,refusal_error_code,largest_non_main_drift,runtime_ms,classification,case_expectation,case_kind,failure_reason
PROTEIN-1C-01,2026082910,Protein,-11,temp_minus_11,ECO,-2,-2,1200,1200,1,PI-ING-001553,STRAWBERRIES · Fresh Fruit,1,1,main-protein-fruit-combination-v2,FRUIT_EQUIVALENT,fruit,49.5,49.5,best_achievable,594,1,1,1,49.5,89.92592592592594,true,READY,APPLIED,SAVED_REOPENED,,550,174,PASS,feasible,none,
PROTEIN-1C-02,2026082911,Protein,-12,temp_minus_12,OPTIMAL,-2,2,1500,1500,1,PI-ING-001553,STRAWBERRIES · Fresh Fruit,2,1,main-protein-fruit-combination-v2,FRUIT_EQUIVALENT,fruit,49.5,49.5,best_achievable,534,1,1,1,35.6,89.92592592592594,true,DIAGNOSTIC,NOT_ATTEMPTED_DIAGNOSTIC,NOT_SELECTED,ok,714,1221,HONEST_IMPOSSIBLE,feasible,none,"{""hardSafe"":true,""locksPreserved"":true,""diagnosticOnly"":true,""violations"":[]}"
PROTEIN-1C-03,2026082912,Protein,-13,temp_minus_13,ECO,2,-2,2000,2000,1,PI-ING-001553,STRAWBERRIES · Fresh Fruit,5,1,USER_HELD/UNKNOWN,NONE,fruit,NONE,,best_achievable,5,1,1,1,0.25,74.5925925925926,true,REFUSED:product_behavior_invalid,NOT_ATTEMPTED,NOT_ATTEMPTED,product_behavior_invalid,43,1040,AUTHORITY_BLOCKED,authority_blocked,none,"Propozycja PI została odrzucona: w proponowanej recepturze pINGÜINO nie rozpoznaje jeszcze tego produktu — brak danych o jego roli. Twoja receptura nie została zmieniona. {""mainObjective"":{""status"":""best_achievable"",""startingMainGrams"":5,""exactAcceptedMainGrams"":5,""executableMainGrams"":5,""firstHigherRejectedGrams"":5.0304412841796875,""firstHigherRejectedReason"":""hard_gate"",""technicalScore"":9,""attempts"":17,""searchUpperBoundGrams"":2000,""provenMaximum"":false,""testedHigherCandidateCount"":0,""limitingTechnicalRules"":[""hard_gate""],""proofKind"":""heuristic_search""},""diagnosticReason"":null}"
PROTEIN-1C-04,2026082913,Protein,Fresh,fresh,OPTIMAL,2,2,400,400,1,PI-ING-001553,STRAWBERRIES · Fresh Fruit,10,1,USER_HELD/UNKNOWN,NONE,fruit,NONE,,best_achievable,10,1,1,1,2.5,72.14814814814815,true,REFUSED:product_behavior_invalid,NOT_ATTEMPTED,NOT_ATTEMPTED,product_behavior_invalid,34,527,AUTHORITY_BLOCKED,authority_blocked,none,"Propozycja PI została odrzucona: w proponowanej recepturze pINGÜINO nie rozpoznaje jeszcze tego produktu — brak danych o jego roli. Twoja receptura nie została zmieniona. {""mainObjective"":{""status"":""best_achievable"",""startingMainGrams"":10,""exactAcceptedMainGrams"":10,""executableMainGrams"":10,""firstHigherRejectedGrams"":10.047607421875,""firstHigherRejectedReason"":""hard_gate"",""technicalScore"":10,""attempts"":14,""searchUpperBoundGrams"":400,""provenMaximum"":false,""testedHigherCandidateCount"":0,""limitingTechnicalRules"":[""hard_gate""],""proofKind"":""heuristic_search""},""diagnosticReason"":null}"
PROTEIN-1C-05,2026082914,Protein,-11,temp_minus_11,ECO,0,0,500,500,1,PI-ING-001553,STRAWBERRIES · Fresh Fruit,25,1,main-protein-fruit-combination-v2,FRUIT_EQUIVALENT,fruit,49.5,49.5,best_achievable,247,1,1,1,49.4,88.14814814814815,true,READY,APPLIED,SAVED_REOPENED,,224,376,PASS,feasible,support_one,
PROTEIN-1C-06,2026082915,Protein,-12,temp_minus_12,OPTIMAL,-1,1,750,750,1,PI-ING-001553,STRAWBERRIES · Fresh Fruit,50,1,main-protein-fruit-combination-v2,FRUIT_EQUIVALENT,fruit,49.5,,best_achievable,50,1,1,1,6.6667,76.5925925925926,true,REFUSED:product_behavior_invalid,NOT_ATTEMPTED,NOT_ATTEMPTED,product_behavior_invalid,28,6,HONEST_IMPOSSIBLE,feasible,main_one,"Propozycja PI została odrzucona: w proponowanej recepturze grupa Main ma 6.7%; wymagane minimum to 10.0%. Twoja receptura nie została zmieniona. {""mainObjective"":{""status"":""best_achievable"",""startingMainGrams"":50,""exactAcceptedMainGrams"":50,""executableMainGrams"":50,""firstHigherRejectedGrams"":null,""firstHigherRejectedReason"":null,""technicalScore"":10,""attempts"":1,""searchUpperBoundGrams"":750,""provenMaximum"":false,""testedHigherCandidateCount"":0,""limitingTechnicalRules"":[""bounded_protein_group_search""],""proofKind"":""heuristic_search""},""diagnosticReason"":null}"
PROTEIN-1C-07,2026082916,Protein,-13,temp_minus_13,ECO,1,-1,1200,400,1,PI-ING-001553,STRAWBERRIES · Fresh Fruit,100,1,main-protein-fruit-combination-v2,FRUIT_EQUIVALENT,fruit,49.5,49.5,preview_ready,300,1,1,1,25,87.7037037037037,true,READY,APPLIED,SAVED_REOPENED,,264,24,PASS,feasible,batch_resize,
PROTEIN-1C-08,2026082917,Protein,Fresh,fresh,OPTIMAL,-2,0,1200,1200,1,PI-ING-001553,STRAWBERRIES · Fresh Fruit,150,1,main-protein-fruit-combination-v2,FRUIT_EQUIVALENT,fruit,49.5,49.5,best_achievable,192,1,1,1,16,86.19259259259259,true,READY,APPLIED,SAVED_REOPENED,,159,331,PASS,feasible,support_multiple,
PROTEIN-1C-09,2026082918,Protein,-12,temp_minus_12,ECO,-2,0,1500,1500,1,PI-ING-000334,VANILLA · Pi-NUTS Paste,10,1,USER_HELD/UNKNOWN,NONE,vanilla,NONE,,best_achievable,122,1,1,1,8.1333,78.40592592592593,true,DIAGNOSTIC,NOT_ATTEMPTED_DIAGNOSTIC,NOT_SELECTED,ok,144,288,HONEST_IMPOSSIBLE,feasible,randomized,"{""hardSafe"":true,""locksPreserved"":true,""diagnosticOnly"":true,""violations"":[]}"
PROTEIN-1C-10,2026082919,Protein,-11,temp_minus_11,OPTIMAL,-1,-2,1000,1000,1,PI-ING-000405,WATERMELON · Fresh Fruit,50,1,USER_HELD/UNKNOWN,NONE,fruit,NONE,,best_achievable,150,1,1,1,15,82.14814814814814,true,READY,APPLIED,SAVED_REOPENED,,67,31,PASS,feasible,randomized,
