ingredient_id,name,category,subcategory,family,subfamily,form,role,profiles,capability,calibration_level,policy,blocked_reason,provenance,confidence
PI-ING-000001,ADVOCAAT LIQUEUR 15% · Liqueur,alcohol,liqueur,alcohol,,alcoholic_beverage,MAIN_ALLOWED,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-000002,APEROL · Italian Aperitif · 11% Vol,alcohol,aperitif,alcohol,,alcoholic_beverage,MAIN_ALLOWED,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified / PI Calculated
PI-ING-000003,BAILEYS ORIGINAL · Irish Cream Liqueur · 17% Vol,alcohol,liqueur,alcohol,,alcoholic_beverage,MAIN_ALLOWED,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-000004,BEER LAGER 2.6% · Beer,alcohol,beer,alcohol,,alcoholic_beverage,MAIN_ALLOWED,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-000005,BEER LAGER 4.4% · Beer,alcohol,beer,alcohol,,alcoholic_beverage,MAIN_ALLOWED,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-000006,BEER STRONG 7.6% · Beer,alcohol,beer,alcohol,,alcoholic_beverage,MAIN_ALLOWED,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-000007,BRANDY 36% · Spirit,alcohol,spirit,alcohol,,alcoholic_beverage,MAIN_ALLOWED,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-000008,FRUTTI DI BOSCO · Babbi Crumble · 1300116,bakery,bakery_component,bakery_cookie,,,UNKNOWN_REQUIRES_EVIDENCE,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-000009,CARAMEL · Stella Crumble · 8943,bakery,bakery_component,bakery_cookie,,,UNKNOWN_REQUIRES_EVIDENCE,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-000010,BURRO · Babbi Crumble · 1300112,bakery,bakery_component,bakery_cookie,,,UNKNOWN_REQUIRES_EVIDENCE,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-000011,CARAMELLO · Babbi Crumble · 1300110,bakery,bakery_component,bakery_cookie,,,UNKNOWN_REQUIRES_EVIDENCE,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-000012,CLASSIC · PreGel Crumble · ST-64422,bakery,bakery_component,bakery_cookie,,,UNKNOWN_REQUIRES_EVIDENCE,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-000013,CLASSIC · PreGel Crumble · Gluten-Free · ST-66622,bakery,bakery_component,bakery_cookie,,,UNKNOWN_REQUIRES_EVIDENCE,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-000014,RED BERRIES · PreGel Crumble · ST-61442,bakery,bakery_component,bakery_cookie,,,UNKNOWN_REQUIRES_EVIDENCE,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-000015,LEMON · PreGel Crumble · ST-95222,bakery,bakery_component,bakery_cookie,,,UNKNOWN_REQUIRES_EVIDENCE,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-000016,OTTO CARAMEL · PreGel Crumble · ST-65542,bakery,bakery_component,bakery_cookie,,,UNKNOWN_REQUIRES_EVIDENCE,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-000017,PISTACHIO · PreGel Crumble · Gluten-Free · ST-23822,bakery,bakery_component,bakery_cookie,,,UNKNOWN_REQUIRES_EVIDENCE,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-000018,COCOA · PreGel Crumble · ST-64922,bakery,bakery_component,bakery_cookie,,,UNKNOWN_REQUIRES_EVIDENCE,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-000019,EXTRA DRY SPARKLING WINE · Prosecco,alcohol,prosecco,alcohol,,alcoholic_beverage,MAIN_ALLOWED,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-000020,CREAM ZABAIONE MARSALA FLORIO · Stella Marsala · 8537,alcohol,marsala,alcohol,,alcoholic_beverage,MAIN_ALLOWED,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-000021,JOYCREAM CRUMBLE 5 · Irca Crumble · 01011427,bakery,bakery_component,bakery_cookie,,,UNKNOWN_REQUIRES_EVIDENCE,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-000022,LIQUEUR COFFEE CREAM · Liqueur,alcohol,liqueur,alcohol,,alcoholic_beverage,MAIN_ALLOWED,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-000023,LIQUEUR COFFEE · Liqueur,alcohol,liqueur,alcohol,,alcoholic_beverage,MAIN_ALLOWED,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-000024,LIQUEUR CURACAO · Liqueur,alcohol,liqueur,alcohol,,alcoholic_beverage,MAIN_ALLOWED,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-000025,MALAGA MARSALA · Fabbri Marsala · 0004302,alcohol,marsala,alcohol,,alcoholic_beverage,MAIN_ALLOWED,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-000026,MALIBU ORIGINAL · Coconut Flavoured Rum Liqueur · 21% Vol,alcohol,liqueur,alcohol,,alcoholic_beverage,MAIN_ALLOWED,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-000027,MARSALA WINE DOLCE 18% · Fortified Wine,alcohol,fortified_wine,alcohol,,alcoholic_beverage,MAIN_ALLOWED,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-000028,MASCARPONE ZABAIONE CREAM CR · CFC Alcoholic Component,alcohol,alcoholic_component,alcohol,,alcoholic_beverage,MAIN_ALLOWED,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-000029,PANNACREMA RUM · PreGel Rum · ST-80876,alcohol,rum,alcohol,,alcoholic_beverage,MAIN_ALLOWED,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-000030,RUM TRUFFLE CR · CFC Rum,alcohol,rum,alcohol,,alcoholic_beverage,MAIN_ALLOWED,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-000031,PRICKLY PEAR INDIAN FIG · Fresh Fruit,fruit,fruit_profile,fruit,,,UNKNOWN_REQUIRES_EVIDENCE,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Estimated
PI-ING-000032,RED WINE DRY · Dry Wine,alcohol,dry_wine,alcohol,,alcoholic_beverage,MAIN_ALLOWED,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-000033,RED WINE · Wine,alcohol,wine,alcohol,,alcoholic_beverage,MAIN_ALLOWED,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-000034,RHINE WINE · Wine,alcohol,wine,alcohol,,alcoholic_beverage,MAIN_ALLOWED,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-000035,RUM 37.5% · Spirit,alcohol,spirit,alcohol,,alcoholic_beverage,MAIN_ALLOWED,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-000036,RUM,alcohol,rum,alcohol,,alcoholic_beverage,MAIN_ALLOWED,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-000037,VODKA,alcohol,vodka,alcohol,,alcoholic_beverage,MAIN_ALLOWED,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-000038,WHISKY 40% · Spirit,alcohol,spirit,alcohol,,alcoholic_beverage,MAIN_PROFILE_SPECIFIC,milk_gelato,MAIN_CAPABLE,EXACT_PRODUCT,main-whisky-40-dairy-0038-minus11,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-000039,WHISKY · Spirit,alcohol,spirit,alcohol,,alcoholic_beverage,MAIN_ALLOWED,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-000040,WHITE SPARKLING WINE · Sparkling Wine,alcohol,sparkling_wine,alcohol,,alcoholic_beverage,MAIN_ALLOWED,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-000041,WHITE WINE DRY · Dry Wine,alcohol,dry_wine,alcohol,,alcoholic_beverage,MAIN_ALLOWED,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-000042,WINE ROSE · Rose Wine,alcohol,rose_wine,alcohol,,alcoholic_beverage,MAIN_ALLOWED,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-000043,WINE WHITE SWEET · Sweet Wine,alcohol,sweet_wine,alcohol,,alcoholic_beverage,MAIN_ALLOWED,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-000044,WINE WHITE · Wine,alcohol,wine,alcohol,,alcoholic_beverage,MAIN_ALLOWED,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-000045,BISCOTTI · Fabbri Bakery Inclusion · Dry · 0004250,bakery,bakery_component,bakery_cookie,,,UNKNOWN_REQUIRES_EVIDENCE,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-000046,CEREAL COOKIES A BUTTER · Bakery Inclusion · Dry,bakery,cereal_cookies,bakery_cookie,,,UNKNOWN_REQUIRES_EVIDENCE,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-000047,CHALLAH BREAD · Bakery Inclusion · Dry,bakery,bakery_component,bakery_cookie,,,UNKNOWN_REQUIRES_EVIDENCE,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-000048,ALCOLICA · Comprital Base Mix · B091,base_mix,alcoholic_base_mix,,,,STANDARD_ONLY,,MAIN_TECHNICAL_BLOCKED,NONE,,standard_product_not_flavour_main,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-000049,FRUTTA MILK · PreGel Base Mix · Milk-Free · ST-31108,base_mix,milk_free_powdered_ice_cream_base,,,powder,STANDARD_ONLY,,MAIN_TECHNICAL_BLOCKED,NONE,,standard_product_not_flavour_main,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-000050,MASCARPONE · Pernigotti Base Mix · 12093661A,base_mix,mascarpone_powdered_ice_cream_mix,,,powder,STANDARD_ONLY,,MAIN_TECHNICAL_BLOCKED,NONE,,standard_product_not_flavour_main,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-000051,RICOTTA · Pernigotti Base Mix · 12091060,base_mix,ricotta_powdered_ice_cream_mix,,,powder,STANDARD_ONLY,,MAIN_TECHNICAL_BLOCKED,NONE,,standard_product_not_flavour_main,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-000052,MILK 50 F · Giuso Base Mix,base_mix,powdered_ice_cream_base,,,powder,STANDARD_ONLY,,MAIN_TECHNICAL_BLOCKED,NONE,,standard_product_not_flavour_main,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-000053,PANNA MILK 50 · PreGel Base Mix · ST-92208,base_mix,powdered_ice_cream_base,,,powder,STANDARD_ONLY,,MAIN_TECHNICAL_BLOCKED,NONE,,standard_product_not_flavour_main,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-000054,RICOTTA PROFUMO SARDEGNA · Pernigotti Base Mix · 12091070,base_mix,ricotta_powdered_ice_cream_mix,,,powder,STANDARD_ONLY,,MAIN_TECHNICAL_BLOCKED,NONE,,standard_product_not_flavour_main,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-000055,RICOTTA PROFUMO SARDEGNA · Pernigotti Base Mix · 12108411,base_mix,ricotta_powdered_ice_cream_mix,,,powder,STANDARD_ONLY,,MAIN_TECHNICAL_BLOCKED,NONE,,standard_product_not_flavour_main,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-000056,MASCARPONE 30 · Giuso Base Mix,base_mix,mascarpone_powdered_ice_cream_mix,,,powder,STANDARD_ONLY,,MAIN_TECHNICAL_BLOCKED,NONE,,standard_product_not_flavour_main,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-000057,MASCARPONE 30 107 · Giuso Base Mix · ART. 107,base_mix,mascarpone_powdered_ice_cream_mix,,,powder,STANDARD_ONLY,,MAIN_TECHNICAL_BLOCKED,NONE,,standard_product_not_flavour_main,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-000058,CREAM JOYBASE PASSION 100 · Irca Base Mix · 01070815,base_mix,ice_cream_base_mix,,,,STANDARD_ONLY,,MAIN_TECHNICAL_BLOCKED,NONE,,standard_product_not_flavour_main,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-000059,JOYBASE PASSION CREAM 50 · Irca Base Mix · 01070683,base_mix,ice_cream_base_mix,,,,STANDARD_ONLY,,MAIN_TECHNICAL_BLOCKED,NONE,,standard_product_not_flavour_main,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-000060,JOYGELATO MASCARPONE 4 8 · Irca Base Mix · 01070823,base_mix,mascarpone_powdered_ice_cream_mix,,,powder,STANDARD_ONLY,,MAIN_TECHNICAL_BLOCKED,NONE,,standard_product_not_flavour_main,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-000061,JOYGELATO YOGURT 6 · Irca Base Mix · 01070639,base_mix,yogurt_powdered_ice_cream_mix,,,powder,STANDARD_ONLY,,MAIN_TECHNICAL_BLOCKED,NONE,,standard_product_not_flavour_main,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
