fixture,start_main_g,final_main_g,batch_g,score,first_rejected_g,rejection_reason,limiting_technical_rules,remaining_violations,output_vector
"WM-1","1","639","1000","10","640","certified_upper_bound","integer_linear_relaxation|exact_batch|exact_lock:tara|pod_max|npac_min|lactose_min|fat_min|total_solids_min","","{""milk"":0,""cream"":161,""smp"":71,""sucrose"":96,""dextrose"":2,""tara"":5,""inulin"":26,""watermelon"":639}"
"WM-80","80","639","1000","10","640","certified_upper_bound","integer_linear_relaxation|exact_batch|exact_lock:tara|pod_max|npac_min|lactose_min|fat_min|total_solids_min","","{""milk"":0,""cream"":161,""smp"":71,""sucrose"":96,""dextrose"":2,""tara"":5,""inulin"":26,""watermelon"":639}"
"WM-200","200","639","1000","10","640","certified_upper_bound","integer_linear_relaxation|exact_batch|exact_lock:tara|pod_max|npac_min|lactose_min|fat_min|total_solids_min","","{""milk"":0,""cream"":161,""smp"":71,""sucrose"":96,""dextrose"":2,""tara"":5,""inulin"":26,""watermelon"":639}"
"WM-300","300","639","1000","10","640","certified_upper_bound","integer_linear_relaxation|exact_batch|exact_lock:tara|pod_max|npac_min|lactose_min|fat_min|total_solids_min","","{""milk"":0,""cream"":161,""smp"":71,""sucrose"":96,""dextrose"":2,""tara"":5,""inulin"":26,""watermelon"":639}"
"WM-400","400","639","1000","10","640","certified_upper_bound","integer_linear_relaxation|exact_batch|exact_lock:tara|pod_max|npac_min|lactose_min|fat_min|total_solids_min","","{""milk"":0,""cream"":161,""smp"":71,""sucrose"":96,""dextrose"":2,""tara"":5,""inulin"":26,""watermelon"":639}"
"WM-500","500","639","1000","10","640","certified_upper_bound","integer_linear_relaxation|exact_batch|exact_lock:tara|pod_max|npac_min|lactose_min|fat_min|total_solids_min","","{""milk"":0,""cream"":161,""smp"":71,""sucrose"":96,""dextrose"":2,""tara"":5,""inulin"":26,""watermelon"":639}"
"WM-900","900","639","1000","10","640","certified_upper_bound","integer_linear_relaxation|exact_batch|exact_lock:tara|pod_max|npac_min|lactose_min|fat_min|total_solids_min","","{""milk"":0,""cream"":161,""smp"":71,""sucrose"":96,""dextrose"":2,""tara"":5,""inulin"":26,""watermelon"":639}"
"MM-01","[10,100]","[355,355]","1000","10","null","maximized","integer_linear_relaxation|exact_batch|exact_lock:tara|main_ratio_rounding|lactose_min|fat_min|total_solids_min","","{""milk"":0,""cream"":158,""smp"":69,""sucrose"":58,""dextrose"":0,""tara"":5,""inulin"":0,""main-0"":355,""main-1"":355}"
"MM-02","[300,1]","[355,355]","1000","10","null","maximized","integer_linear_relaxation|exact_batch|exact_lock:tara|main_ratio_rounding|lactose_min|fat_min|total_solids_min","","{""milk"":0,""cream"":158,""smp"":69,""sucrose"":58,""dextrose"":0,""tara"":5,""inulin"":0,""main-0"":355,""main-1"":355}"
"MM-03","[10,100]","[460,230]","1000","10","null","maximized","integer_linear_relaxation|exact_batch|exact_lock:tara|main_ratio_rounding|lactose_min|fat_min|total_solids_min","","{""milk"":0,""cream"":158,""smp"":69,""sucrose"":78,""dextrose"":0,""tara"":5,""inulin"":0,""main-0"":460,""main-1"":230}"
"MM-04","[10,100,300]","[237,236,236]","1000","10","null","maximized","integer_linear_relaxation|exact_batch|exact_lock:tara|main_ratio_rounding|lactose_min|fat_min|total_solids_min","","{""milk"":0,""cream"":156,""smp"":72,""sucrose"":58,""dextrose"":0,""tara"":5,""inulin"":0,""main-0"":237,""main-1"":236,""main-2"":236}"
"MM-05","[200,10]","[200,541]","1000","10","null","maximized","integer_linear_relaxation|exact_batch|exact_lock:tara|exact_lock:main-0|lactose_min|fat_min|total_solids_min","","{""milk"":0,""cream"":158,""smp"":69,""sucrose"":27,""dextrose"":0,""tara"":5,""inulin"":0,""main-0"":200,""main-1"":541}"
