ingredient_id,display_name,category,subcategory,product_form,active,approved_for_base,approved_for_engines,technical_composition_complete,missing_technical_fields,pod_pac_inputs_complete,provenance_status,source_confidence,source_type,process_status,dosage_known,price_known,mapper_reference_product_id,product_version_id,current_binding_id,current_product_behavior_state,current_main_policy_status,current_binding_status,current_picker_status,searchable_before,searchable_after,selectable_before,selectable_after,base_addable_before,base_addable_after,pi_calculable_before,pi_calculable_after,current_block_reason,final_block_reason,correction_action
PI-ING-000001,ADVOCAAT LIQUEUR 15% · Liqueur,alcohol,liqueur,alcoholic_beverage,TRUE,TRUE,TRUE,TRUE,NONE,TRUE,Verified,98,General,COLD_PROCESS_OK,TRUE,TRUE,deed1d53-cfe1-2109-95f6-e910075ccf41,8ae257ae-5c0c-408e-990d-b11548a87d20,6e6f4524-edd8-44ff-bc0c-1abdb0967b3a,MAIN_ALLOWED,BLOCKED_SCIENCE,ready,PINGÜINO — SPRAWDZONY,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NONE,NONE,NO_ACTION_REQUIRED
PI-ING-000002,APEROL · Italian Aperitif · 11% Vol,alcohol,aperitif,alcoholic_beverage,TRUE,TRUE,TRUE,TRUE,NONE,TRUE,Verified / PI Calculated,96,Official Campari Group nutrition + PI calculation,COLD_PROCESS_OK,TRUE,FALSE,3483bf13-e0f2-1440-e1b3-2ca3455513b5,1e93416e-f2bc-401e-89fa-abedbbebc21c,2d79a12a-99b7-42e5-8978-9da22e6f782a,MAIN_ALLOWED,BLOCKED_SCIENCE,ready,PINGÜINO — SPRAWDZONY,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NONE,ECO_COST:price_missing,Technical PI allowed; add a valid private/reference price for complete ECO cost
PI-ING-000003,BAILEYS ORIGINAL · Irish Cream Liqueur · 17% Vol,alcohol,liqueur,alcoholic_beverage,TRUE,TRUE,TRUE,TRUE,NONE,TRUE,Verified,99,Official Baileys nutrition per 100 ml,COLD_PROCESS_OK,TRUE,TRUE,e27df4f5-c612-298b-a2bf-bf0e1ead58e4,b9141f4c-88de-4285-81b7-d916d5758650,c5802415-c9ba-4249-aee9-090ec8e4af40,MAIN_ALLOWED,BLOCKED_SCIENCE,ready,PINGÜINO — SPRAWDZONY,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NONE,NONE,NO_ACTION_REQUIRED
PI-ING-000004,BEER LAGER 2.6% · Beer,alcohol,beer,alcoholic_beverage,TRUE,TRUE,TRUE,TRUE,NONE,TRUE,Verified,98,General,COLD_PROCESS_OK,TRUE,TRUE,93e82ee3-2805-7979-db0d-27aea1b7eace,e8f1b2a7-8a23-4c7a-b2d1-a86ff651d526,118fdc79-f43b-4035-832d-65626ffde41e,MAIN_ALLOWED,BLOCKED_SCIENCE,ready,PINGÜINO — SPRAWDZONY,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NONE,NONE,NO_ACTION_REQUIRED
PI-ING-000005,BEER LAGER 4.4% · Beer,alcohol,beer,alcoholic_beverage,TRUE,TRUE,TRUE,TRUE,NONE,TRUE,Verified,98,General,COLD_PROCESS_OK,TRUE,TRUE,32c35f31-df2b-b209-b826-73b0fc5eb375,b8337d80-a03c-4d25-b489-ead432c4b2c3,2d5b177f-87ea-4809-a218-6768b4bd164e,MAIN_ALLOWED,BLOCKED_SCIENCE,ready,PINGÜINO — SPRAWDZONY,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NONE,NONE,NO_ACTION_REQUIRED
PI-ING-000006,BEER STRONG 7.6% · Beer,alcohol,beer,alcoholic_beverage,TRUE,TRUE,TRUE,TRUE,NONE,TRUE,Verified,98,General,COLD_PROCESS_OK,TRUE,TRUE,adf44734-52c6-4af9-d83e-9cc9400bb181,83004845-1af4-4458-8a87-d4bb95c29165,acce7da2-87e1-479e-8e9f-281900ff1acf,MAIN_ALLOWED,BLOCKED_SCIENCE,ready,PINGÜINO — SPRAWDZONY,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NONE,NONE,NO_ACTION_REQUIRED
PI-ING-000007,BRANDY 36% · Spirit,alcohol,spirit,alcoholic_beverage,TRUE,TRUE,TRUE,TRUE,NONE,TRUE,Verified,98,General,COLD_PROCESS_OK,TRUE,TRUE,253b3021-704b-9dc5-bc86-fa08ef3e5475,c672aab8-f539-4fd3-ae9e-f6f4711a0895,439528bf-1a65-4c3c-a219-b4adf06c1fe8,MAIN_ALLOWED,BLOCKED_SCIENCE,ready,PINGÜINO — SPRAWDZONY,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NONE,NONE,NO_ACTION_REQUIRED
PI-ING-000008,FRUTTI DI BOSCO · Babbi Crumble · 1300116,bakery,bakery_component,UNRESOLVED,TRUE,TRUE,TRUE,TRUE,NONE,TRUE,Verified,98,General,COLD_PROCESS_OK,TRUE,TRUE,9cad243f-14f1-7c37-0e79-95a84a819429,74dafd23-7783-4e74-b944-40114794f9db,6667fe47-88bc-437b-87b2-0ba48d8e45ca,UNKNOWN_REQUIRES_EVIDENCE,BLOCKED_DATA,ready,PINGÜINO — SPRAWDZONY,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NONE,NONE,NO_ACTION_REQUIRED
PI-ING-000009,CARAMEL · Stella Crumble · 8943,bakery,bakery_component,UNRESOLVED,TRUE,TRUE,TRUE,TRUE,NONE,TRUE,Verified,98,General,COLD_PROCESS_OK,TRUE,TRUE,a6444baf-1d80-77fd-d4e3-3e947eda5bf8,d325e2ae-3837-4e2a-8d9d-39fcbd0d14b9,e5b3ceb5-c44e-458f-9c34-968c9c6677a6,UNKNOWN_REQUIRES_EVIDENCE,BLOCKED_DATA,ready,PINGÜINO — SPRAWDZONY,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NONE,NONE,NO_ACTION_REQUIRED
PI-ING-000010,BURRO · Babbi Crumble · 1300112,bakery,bakery_component,UNRESOLVED,TRUE,TRUE,TRUE,TRUE,NONE,TRUE,Verified,98,General,COLD_PROCESS_OK,TRUE,TRUE,24f5ce05-7634-41ee-cac0-3bc0aa6d9ff7,5de2dc9e-09a2-4547-802c-a95b9f22aad5,b6bab14c-18d8-44b4-b32b-9c2cc11c97f9,UNKNOWN_REQUIRES_EVIDENCE,BLOCKED_DATA,ready,PINGÜINO — SPRAWDZONY,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NONE,NONE,NO_ACTION_REQUIRED
