ingredient_id,ingredient_name_display,verification_status,approved_for_base,missing_evidence
PI-ING-002115,GLUCOSE SYRUP DRY · DE20–25 · Sweetener · Dry,PI Calculated / Global DE Reference,TRUE,no_process_metadata;no_product_behavior_classification
PI-ING-002116,GLUCOSE SYRUP DRY · DE25–30 · Sweetener · Dry,PI Calculated / Global DE Reference,TRUE,no_process_metadata;no_product_behavior_classification
PI-ING-002117,GLUCOSE SYRUP DRY · DE30–32 · Sweetener · Dry,PI Calculated / Global DE Reference,TRUE,no_process_metadata;no_product_behavior_classification
PI-ING-002118,MALTODEXTRIN · DE10–13 · Sweetener · Dry,PI Calculated / Global DE Reference,TRUE,no_process_metadata;no_product_behavior_classification
PI-ING-002119,MALTODEXTRIN · DE15–18 · Sweetener · Dry,PI Calculated / Global DE Reference,TRUE,no_process_metadata;no_product_behavior_classification
PI-ING-002120,MALTODEXTRIN · DE17–20 · Sweetener · Dry,PI Calculated / Global DE Reference,TRUE,no_process_metadata;no_product_behavior_classification
PI-ING-002121,MALTODEXTRIN · DE9–11 · Sweetener · Dry,PI Calculated / Global DE Reference,TRUE,no_process_metadata;no_product_behavior_classification
PI-ING-002122,LIQUID GLUCOSE SYRUP · GENERIC · 79% SOLIDS,PI Calculated / Global Reference,TRUE,no_process_metadata;no_product_behavior_classification
PI-ING-002123,ALLULOSE (D-PSICOSE) · Sweetener · Dry,PI Calculated / Global Reference,TRUE,no_process_metadata;no_product_behavior_classification
PI-ING-002124,D-TAGATOSE · Sweetener · Dry,PI Calculated / Global Reference,TRUE,no_process_metadata;no_product_behavior_classification
PI-ING-002125,ISOMALTULOSE · Sweetener · Dry,PI Calculated / Global Reference,TRUE,no_process_metadata;no_product_behavior_classification
PI-ING-002126,MALTOSE · Sweetener · Dry,PI Calculated / Global Reference,TRUE,no_process_metadata;no_product_behavior_classification
PI-ING-002127,MANNITOL · Sweetener · Polyol,Verified / Global Reference,TRUE,no_process_metadata;no_product_behavior_classification
PI-ING-002128,ISOMALT · Sweetener · Polyol,PI Calculated / Global Reference,TRUE,no_process_metadata;no_product_behavior_classification
PI-ING-002129,LACTITOL · Sweetener · Polyol,PI Calculated / Global Reference,TRUE,no_process_metadata;no_product_behavior_classification
PI-ING-002130,SORBITOL SYRUP · 70% SOLIDS · Sweetener,PI Calculated / Global Reference,TRUE,no_process_metadata;no_product_behavior_classification
PI-ING-002131,MALTITOL SYRUP · 75% SOLIDS · Sweetener,PI Calculated / Global Reference,TRUE,no_process_metadata;no_product_behavior_classification
PI-ING-002132,POLYGLYCITOL SYRUP (HSH) · 75% SOLIDS · Sweetener,PI Calculated / Global Reference,TRUE,no_process_metadata;no_product_behavior_classification
PI-ING-002133,ACESULFAME K · Sweetener · High Intensity,PI Calculated / Global Reference,TRUE,no_process_metadata;no_product_behavior_classification
PI-ING-002134,ASPARTAME · Sweetener · High Intensity,PI Calculated / Global Reference,TRUE,no_process_metadata;no_product_behavior_classification
PI-ING-002135,SODIUM SACCHARIN · Sweetener · High Intensity,PI Calculated / Global Reference,TRUE,no_process_metadata;no_product_behavior_classification
PI-ING-002136,SODIUM CYCLAMATE · Sweetener · High Intensity,Verified / Global Reference,TRUE,no_process_metadata;no_product_behavior_classification
PI-ING-002137,NEOTAME · Sweetener · High Intensity,PI Calculated / Global Reference,TRUE,no_process_metadata;no_product_behavior_classification
PI-ING-002138,ADVANTAME · Sweetener · High Intensity,PI Calculated / Global Reference,TRUE,no_process_metadata;no_product_behavior_classification
PI-ING-002139,MONK FRUIT EXTRACT (LUO HAN GUO / MOGROSIDES) · High Intensity,PI Calculated / Global Reference,TRUE,no_process_metadata;no_product_behavior_classification
PI-ING-002140,THAUMATIN · Sweet Protein · High Intensity,PI Calculated / Global Reference,TRUE,no_process_metadata;no_product_behavior_classification
PI-ING-002141,NEOHESPERIDIN DC (NHDC) · Sweetener · High Intensity,PI Calculated / Global Reference,TRUE,no_process_metadata;no_product_behavior_classification
PI-ING-002142,ASPARTAME–ACESULFAME SALT · E962 · High Intensity,PI Calculated / Global Reference,TRUE,no_process_metadata;no_product_behavior_classification
