ingredient_id,ingredient_name,category,subcategory,engine_category,raw_pod,raw_pac,normalized_pod_for_role,normalized_pac_for_role,current_role_before,role_after,local_corrector_eligible_before,local_corrector_eligible_after,explanation
PI-ING-000494,DEXTROSE · Sweetener · Dry,sweetener,dextrose,sugar,70.84,174.8,0.7084,1.7480000000000002,sugar_freezing_control,sugar_freezing_control,false,false,unchanged by the unit fix
PI-ING-000495,DRY GLUCOSE SYRUP · Syrup,sweetener,glucose_syrup_dry,sugar,30.03,74.1,0.3003,0.741,sugar_freezing_control,sugar_freezing_control,false,false,unchanged by the unit fix
PI-ING-000496,FRUCTOSE · Sweetener · Dry,sweetener,fructose,sugar,169.66,189.638,1.6965999999999999,1.89638,sugar_freezing_control,sugar_freezing_control,false,false,unchanged by the unit fix
PI-ING-000497,GLUCOSE SYRUP DRY · Nutridex Syrup,sweetener,glucose_syrup_dry,sugar,6.93,17.1,0.0693,0.171,sugar_freezing_control,sugar_freezing_control,false,false,unchanged by the unit fix
PI-ING-000498,GLUCOSE SYRUP DRY · Nutridex Syrup,sweetener,glucose_syrup_dry,sugar,10.01,24.7,0.1001,0.247,sugar_freezing_control,sugar_freezing_control,false,false,unchanged by the unit fix
PI-ING-000499,GLUCOSE SYRUP DRY · Nutridex Syrup,sweetener,glucose_syrup_dry,sugar,12.705,31.35,0.12705,0.3135,sugar_freezing_control,sugar_freezing_control,false,false,unchanged by the unit fix
PI-ING-000500,GLUCOSE SYRUP DRY · Syrup,sweetener,glucose_syrup_dry,sugar,23.716,58.52,0.23716,0.5852,sugar_freezing_control,sugar_freezing_control,false,false,unchanged by the unit fix
PI-ING-000501,GLUCOSE SYRUP DRY · Syrup,sweetener,glucose_syrup_dry,sugar,33.418,82.46,0.33418,0.8245999999999999,sugar_freezing_control,sugar_freezing_control,false,false,unchanged by the unit fix
PI-ING-000502,GLUCOSE FRUCTOSE SYRUP · Syrup · Dry · HFCS42,sweetener,glucose_fructose_syrup,sugar,91.21,146.4,0.9120999999999999,1.464,sugar_freezing_control,sugar_freezing_control,false,false,unchanged by the unit fix
PI-ING-000503,LACTOSE DRY · Powder,sweetener,lactose_powder,sugar,14.96,93.5,0.1496,0.935,sugar_freezing_control,sugar_freezing_control,false,false,unchanged by the unit fix
PI-ING-000504,LIQUID GLUCOSE SYRUP · Holger Food Syrup · Dry,sweetener,glucose_syrup_liquid,sugar,22.034,38.08,0.22033999999999998,0.38079999999999997,sugar_freezing_control,sugar_freezing_control,false,false,unchanged by the unit fix
PI-ING-000505,LYCHEE SYRUP · Kier Syrup · Dry,sweetener,glucose_syrup,sugar,15.7,15.7,0.157,0.157,sugar_freezing_control,sugar_freezing_control,false,false,unchanged by the unit fix
PI-ING-000506,MALTODEXTRIN · Nutridex Sweetener · Dry,sweetener,maltodextrin,sugar,2.387,20.9,0.02387,0.209,sugar_freezing_control,sugar_freezing_control,false,false,unchanged by the unit fix
PI-ING-000507,MALTODEXTRIN · Sweetener · Dry,sweetener,maltodextrin,sugar,4.62,20.9,0.0462,0.209,sugar_freezing_control,sugar_freezing_control,false,false,unchanged by the unit fix
PI-ING-000508,MALTODEXTRIN · Nutridex Sweetener · Dry,sweetener,maltodextrin,sugar,5.005,20.9,0.05005,0.209,sugar_freezing_control,sugar_freezing_control,false,false,unchanged by the unit fix
PI-ING-000509,MALTODEXTRIN · Nutridex Sweetener · Dry,sweetener,maltodextrin,sugar,5.775,20.9,0.05775,0.209,sugar_freezing_control,sugar_freezing_control,false,false,unchanged by the unit fix
PI-ING-000511,MALTODEXTRIN · Sweetener · Dry,sweetener,maltodextrin,sugar,13.09,52,0.1309,0.52,sugar_freezing_control,sugar_freezing_control,false,false,unchanged by the unit fix
PI-ING-000512,MALTODEXTRIN · Nutridex Sweetener · Dry,sweetener,maltodextrin,sugar,2.31,20.9,0.0231,0.209,sugar_freezing_control,sugar_freezing_control,false,false,unchanged by the unit fix
PI-ING-000513,MANGO SELECTION FRUITIERE SUGAR · Sweetener · Dry,sweetener,sugar,sugar,18.99,22.009,0.18989999999999999,0.22009,sugar_freezing_control,sugar_freezing_control,false,false,unchanged by the unit fix
PI-ING-000514,SUCROSE SUGAR · Sweetener · Dry,sweetener,sucrose,sugar,100,100,1,1,sugar_freezing_control,sweetener_sucrose,false,true,sucrose-dominant row whose stored PAC (points) used to trip the 1.3 FACTOR separator
PI-ING-000515,SUGAR CANE · Sweetener · Dry,sweetener,cane_sugar,sugar,99.9,99.959,0.9990000000000001,0.99959,sugar_freezing_control,sweetener_sucrose,false,true,sucrose-dominant row whose stored PAC (points) used to trip the 1.3 FACTOR separator
PI-ING-000516,VANILLIN SUGAR · Sweetener · Dry,sweetener,sugar,sugar,99.5,99.5,0.995,0.995,sugar_freezing_control,sweetener_sucrose,false,true,sucrose-dominant row whose stored PAC (points) used to trip the 1.3 FACTOR separator
PI-ING-001097,SOLUZIONE FRUTTA · Comprital Syrup · PC670,sweetener,fruit_sugar_syrup,sugar,74.63,87.234,0.7463,0.8723399999999999,sugar_freezing_control,sugar_freezing_control,false,false,unchanged by the unit fix
PI-ING-001098,SOLUZIONE FRUTTA · Comprital Syrup · PC670H / 21069059,sweetener,fruit_sugar_syrup,sugar,76.687,84.93,0.7668699999999999,0.8493,sugar_freezing_control,sugar_freezing_control,false,false,unchanged by the unit fix
PI-ING-001343,MAPLE SYRUP CONCENTRATE EXTRA · Citadelle Syrup · 100%,sweetener,maple_syrup,sugar,69.29,78.6,0.6929000000000001,0.7859999999999999,sugar_freezing_control,sweetener_sucrose,false,true,sucrose-dominant row whose stored PAC (points) used to trip the 1.3 FACTOR separator
PI-ING-001355,BE STICK ARANCIA · Giuso Icing Powder,icing_powder,fruit_icing_powder,other,55,55,0.55,0.55,n/a (not a sugar-category row),flavor_other,false,false,engine category other — never entered the sugar branch; unchanged
PI-ING-001356,BE STICK FRAGOLA · Giuso Icing Powder,icing_powder,fruit_icing_powder,other,58,58,0.58,0.58,n/a (not a sugar-category row),flavor_other,false,false,engine category other — never entered the sugar branch; unchanged
PI-ING-001357,BE STICK LAMPONE · Giuso Icing Powder,icing_powder,fruit_icing_powder,other,56,56,0.56,0.56,n/a (not a sugar-category row),flavor_other,false,false,engine category other — never entered the sugar branch; unchanged
PI-ING-001358,BE STICK TROPICALE · Giuso Icing Powder,icing_powder,fruit_icing_powder,other,54,54,0.54,0.54,n/a (not a sugar-category row),flavor_other,false,false,engine category other — never entered the sugar branch; unchanged
PI-ING-001369,INVERT SUGAR · Sweetener,sweetener,invert_sugar,sugar,92.625,142.5,0.92625,1.425,sugar_freezing_control,sugar_freezing_control,false,false,unchanged by the unit fix
PI-ING-001370,INVERT SUGAR SYRUP · Syrup,sweetener,invert_sugar_syrup,sugar,84.635,111.9,0.84635,1.119,sugar_freezing_control,sugar_freezing_control,false,false,unchanged by the unit fix
PI-ING-001371,MUSCOVADO SUGAR · Sweetener,sweetener,muscovado_sugar,sugar,92,93.229,0.92,0.93229,sugar_freezing_control,sweetener_sucrose,false,true,sucrose-dominant row whose stored PAC (points) used to trip the 1.3 FACTOR separator
PI-ING-001372,ERYTHRITOL · Sweetener,sweetener,polyol_sweetener,sugar,70,280,0.7,2.8,sugar_freezing_control,sugar_freezing_control,false,false,unchanged by the unit fix
PI-ING-001376,GLYCERIN · Sweetener,sweetener,glycerin_polyol,sugar,80,371.7,0.8,3.717,sugar_freezing_control,sugar_freezing_control,false,false,unchanged by the unit fix
PI-ING-001381,SUGAR CARAMEL · Sweetener,sweetener,caramelized_sugar,sugar,123.5,190,1.235,1.9,sugar_freezing_control,sugar_freezing_control,false,false,unchanged by the unit fix
PI-ING-001382,XYLITOL · Sweetener,sweetener,polyol_sweetener,sugar,100,224,1,2.24,sugar_freezing_control,sugar_freezing_control,false,false,unchanged by the unit fix
PI-ING-001385,MALTITOL · Sweetener,sweetener,polyol_sweetener,sugar,90,100,0.9,1,sugar_freezing_control,sugar_freezing_control,false,false,unchanged by the unit fix
PI-ING-001424,STEVIA · Sweetener,sweetener,high_intensity_sweetener,sugar,300,42.5,3,0.425,sugar_freezing_control,sugar_freezing_control,false,false,unchanged by the unit fix
PI-ING-001427,SUCRALOSE · Sweetener,sweetener,high_intensity_sweetener,sugar,60000,0,600,0,sweetener_sucrose,sugar_freezing_control,true,false,no longer reaches the sucrose role as a residual — it is not a sucrose sweetener
PI-ING-001452,SUGAR BEET MOLASSES · Sweetener,sweetener,sugar_beet_molasses,sugar,70.333,95.17,0.70333,0.9517,sugar_freezing_control,sugar_freezing_control,false,false,unchanged by the unit fix
PI-ING-001454,HONEY · Sweetener,sweetener,honey,sugar,100.719,147.003,1.00719,1.47003,sugar_freezing_control,sugar_freezing_control,false,false,unchanged by the unit fix
PI-ING-001455,BUCKWHEAT HONEY · Sweetener,sweetener,honey,sugar,100.719,147.003,1.00719,1.47003,sugar_freezing_control,sugar_freezing_control,false,false,unchanged by the unit fix
PI-ING-001456,MULTIFLORAL NECTAR HONEY · Sweetener,sweetener,honey,sugar,98.57,141.8,0.9856999999999999,1.4180000000000001,sugar_freezing_control,sugar_freezing_control,false,false,unchanged by the unit fix
PI-ING-001466,SORBITOL · Sweetener,sweetener,polyol_sweetener,sugar,55,188,0.55,1.88,sugar_freezing_control,sugar_freezing_control,false,false,unchanged by the unit fix
PI-ING-001467,SUGAR SYRUP · Syrup · 60%,sweetener,sugar_syrup_60_percent,sugar,60,60,0.6,0.6,sugar_freezing_control,sweetener_sucrose,false,true,sucrose-dominant row whose stored PAC (points) used to trip the 1.3 FACTOR separator
PI-ING-001634,APRICOT · Master Martini Variegato · AJ01AL,variegate,apricot_variegate,other,60,60.468,0.6,0.60468,n/a (not a sugar-category row),flavor_other,false,false,engine category other — never entered the sugar branch; unchanged
PI-ING-001640,LIME · Master Martini Variegato · AJ01AQ,variegate,lime_variegate,other,56,57.17,0.56,0.5717,n/a (not a sugar-category row),flavor_other,false,false,engine category other — never entered the sugar branch; unchanged
PI-ING-001642,MAPLE SYRUP · Syrup,sweetener,maple_syrup,sugar,71.76,82.4,0.7176,0.8240000000000001,sugar_freezing_control,sweetener_sucrose,false,true,sucrose-dominant row whose stored PAC (points) used to trip the 1.3 FACTOR separator
PI-ING-001644,TREHALOSE · Sweetener,sweetener,trehalose,sugar,45,91,0.45,0.91,sugar_freezing_control,sugar_freezing_control,false,false,unchanged by the unit fix
PI-ING-001680,PERA ZENZERO · Stella Variegato · 9862,variegate,pear_ginger_variegate,other,57.5,58.085,0.575,0.58085,n/a (not a sugar-category row),flavor_other,false,false,engine category other — never entered the sugar branch; unchanged
PI-ING-001857,JOHN'S NATURAL CORDIALS LIME · Syrup / Cordial,flavor_syrup,cordial_syrup,other,64.35,91.325,0.6435,0.91325,n/a (not a sugar-category row),flavor_other,false,false,engine category other — never entered the sugar branch; unchanged
PI-ING-001858,JOHN'S NATURAL CORDIALS LEMON · Syrup / Cordial,flavor_syrup,cordial_syrup,other,64.35,91.325,0.6435,0.91325,n/a (not a sugar-category row),flavor_other,false,false,engine category other — never entered the sugar branch; unchanged
PI-ING-001859,JOHN'S NATURAL CORDIALS GRENADINE · Syrup / Cordial,flavor_syrup,cordial_syrup,other,64.35,91.325,0.6435,0.91325,n/a (not a sugar-category row),flavor_other,false,false,engine category other — never entered the sugar branch; unchanged
PI-ING-001860,JOHN'S NATURAL CORDIALS BLUE CURACAO · Syrup / Cordial,flavor_syrup,cordial_syrup,other,64.35,91.325,0.6435,0.91325,n/a (not a sugar-category row),flavor_other,false,false,engine category other — never entered the sugar branch; unchanged
PI-ING-001861,JOHN'S NATURAL CORDIALS PASSION FRUIT · Syrup / Cordial,flavor_syrup,cordial_syrup,other,64.35,91.325,0.6435,0.91325,n/a (not a sugar-category row),flavor_other,false,false,engine category other — never entered the sugar branch; unchanged
PI-ING-001862,JOHN'S NATURAL CORDIALS COCONUT · Syrup / Cordial,flavor_syrup,cordial_syrup,other,64.35,91.325,0.6435,0.91325,n/a (not a sugar-category row),flavor_other,false,false,engine category other — never entered the sugar branch; unchanged
PI-ING-001863,JOHN'S NATURAL CORDIALS ELDERFLOWER · Syrup / Cordial,flavor_syrup,cordial_syrup,other,64.35,91.325,0.6435,0.91325,n/a (not a sugar-category row),flavor_other,false,false,engine category other — never entered the sugar branch; unchanged
PI-ING-001864,JOHN'S NATURAL CORDIALS CRANBERRY · Syrup / Cordial,flavor_syrup,cordial_syrup,other,64.35,91.325,0.6435,0.91325,n/a (not a sugar-category row),flavor_other,false,false,engine category other — never entered the sugar branch; unchanged
PI-ING-001865,JOHN'S NATURAL CORDIALS STRAWBERRY · Syrup / Cordial,flavor_syrup,cordial_syrup,other,64.35,91.325,0.6435,0.91325,n/a (not a sugar-category row),flavor_other,false,false,engine category other — never entered the sugar branch; unchanged
PI-ING-001866,JOHN'S NATURAL CORDIALS MANGO · Syrup / Cordial,flavor_syrup,cordial_syrup,other,64.35,91.325,0.6435,0.91325,n/a (not a sugar-category row),flavor_other,false,false,engine category other — never entered the sugar branch; unchanged
PI-ING-001867,JOHN'S NATURAL CORDIALS PINK GRAPEFRUIT · Syrup / Cordial,flavor_syrup,cordial_syrup,other,64.35,91.325,0.6435,0.91325,n/a (not a sugar-category row),flavor_other,false,false,engine category other — never entered the sugar branch; unchanged
