scenario,profile,ingredient_id,ingredient_name,provenance,baseline_g,proposed_g,absolute_drift_g,relative_drift,flexibility_class,locked,main,hard_valid,score,status,material_deviation,consent_required,reason
lost_pl_unlocked,milk_gelato,PI-ING-000236,MILK 3.5% · Milk · Chilled,user_specified,588.00,538.00,-50.00,0.084890,user_technical_balancer,false,false,true,10,proposed,false,false,within_user_intent_policy
lost_pl_unlocked,milk_gelato,PI-ING-000180,CREAM 30% · Mlekovita Cream · Chilled,user_specified,180.00,180.00,0.00,0.000000,user_flavour_structure,false,false,true,10,proposed,false,false,within_user_intent_policy
lost_pl_unlocked,milk_gelato,PI-ING-001645,EGGS CHICKEN YOLK DRIED · Egg,user_specified,40.00,40.00,0.00,0.000000,user_flavour_structure,false,false,true,10,proposed,false,false,within_user_intent_policy
lost_pl_unlocked,milk_gelato,PI-ING-000270,SKIMMED MILK · Milk,user_specified,30.00,30.00,0.00,0.000000,user_general,false,false,true,10,proposed,false,false,within_user_intent_policy
lost_pl_unlocked,milk_gelato,PI-ING-000514,SUCROSE SUGAR · Sweetener · Dry,user_specified,90.00,90.00,0.00,0.000000,user_technical_balancer,false,false,true,10,proposed,false,false,within_user_intent_policy
lost_pl_unlocked,milk_gelato,PI-ING-000494,DEXTROSE · Sweetener · Dry,user_specified,50.00,50.00,0.00,0.000000,user_technical_balancer,false,false,true,10,proposed,false,false,within_user_intent_policy
lost_pl_unlocked,milk_gelato,PI-ING-000456,INULIN · Specialty,user_specified,20.00,20.00,0.00,0.000000,user_technical_balancer,false,false,true,10,proposed,false,false,within_user_intent_policy
lost_pl_unlocked,milk_gelato,PI-ING-000492,TARA GUM · Stabilizer,user_specified,2.00,2.00,0.00,0.000000,user_technical_balancer,false,false,true,10,proposed,false,false,within_user_intent_policy
lost_pl_locked_yolk,milk_gelato,PI-ING-000236,MILK 3.5% · Milk · Chilled,user_specified,588.00,538.00,-50.00,0.084890,user_technical_balancer,false,false,true,10,proposed,false,false,within_user_intent_policy
lost_pl_locked_yolk,milk_gelato,PI-ING-000180,CREAM 30% · Mlekovita Cream · Chilled,user_specified,180.00,180.00,0.00,0.000000,user_flavour_structure,false,false,true,10,proposed,false,false,within_user_intent_policy
lost_pl_locked_yolk,milk_gelato,PI-ING-001645,EGGS CHICKEN YOLK DRIED · Egg,hard_locked,,40.00,,,hard_locked,true,false,true,10,proposed,false,false,no_user_intent_baseline
lost_pl_locked_yolk,milk_gelato,PI-ING-000270,SKIMMED MILK · Milk,user_specified,30.00,30.00,0.00,0.000000,user_general,false,false,true,10,proposed,false,false,within_user_intent_policy
lost_pl_locked_yolk,milk_gelato,PI-ING-000514,SUCROSE SUGAR · Sweetener · Dry,user_specified,90.00,90.00,0.00,0.000000,user_technical_balancer,false,false,true,10,proposed,false,false,within_user_intent_policy
lost_pl_locked_yolk,milk_gelato,PI-ING-000494,DEXTROSE · Sweetener · Dry,user_specified,50.00,50.00,0.00,0.000000,user_technical_balancer,false,false,true,10,proposed,false,false,within_user_intent_policy
lost_pl_locked_yolk,milk_gelato,PI-ING-000456,INULIN · Specialty,user_specified,20.00,20.00,0.00,0.000000,user_technical_balancer,false,false,true,10,proposed,false,false,within_user_intent_policy
lost_pl_locked_yolk,milk_gelato,PI-ING-000492,TARA GUM · Stabilizer,user_specified,2.00,2.00,0.00,0.000000,user_technical_balancer,false,false,true,10,proposed,false,false,within_user_intent_policy
lost_pl_minus13,milk_gelato,PI-ING-000236,MILK 3.5% · Milk · Chilled,user_specified,588.00,488.00,-100.00,0.169779,user_technical_balancer,false,false,false,9,proposed,false,false,within_user_intent_policy
lost_pl_minus13,milk_gelato,PI-ING-000180,CREAM 30% · Mlekovita Cream · Chilled,user_specified,180.00,160.00,-20.00,0.110497,user_flavour_structure,false,false,false,9,proposed,false,false,within_user_intent_policy
lost_pl_minus13,milk_gelato,PI-ING-001645,EGGS CHICKEN YOLK DRIED · Egg,user_specified,40.00,41.00,1.00,0.024390,user_flavour_structure,false,false,false,9,proposed,false,false,within_user_intent_policy
lost_pl_minus13,milk_gelato,PI-ING-000270,SKIMMED MILK · Milk,user_specified,30.00,31.00,1.00,0.032258,user_general,false,false,false,9,proposed,false,false,within_user_intent_policy
lost_pl_minus13,milk_gelato,PI-ING-000514,SUCROSE SUGAR · Sweetener · Dry,user_specified,90.00,140.00,50.00,0.549451,user_technical_balancer,false,false,false,9,proposed,false,false,within_user_intent_policy
lost_pl_minus13,milk_gelato,PI-ING-000494,DEXTROSE · Sweetener · Dry,user_specified,50.00,40.00,-10.00,0.196078,user_technical_balancer,false,false,false,9,proposed,false,false,within_user_intent_policy
lost_pl_minus13,milk_gelato,PI-ING-000456,INULIN · Specialty,user_specified,20.00,70.00,50.00,2.380952,user_technical_balancer,false,false,false,9,proposed,false,false,within_user_intent_policy
lost_pl_minus13,milk_gelato,PI-ING-000492,TARA GUM · Stabilizer,user_specified,2.00,2.00,0.00,0.000000,user_technical_balancer,false,false,false,9,proposed,false,false,within_user_intent_policy
matrix_y40_s30_c180_t11,milk_gelato,PI-ING-000236,MILK 3.5% · Milk · Chilled,user_specified,588.00,538.00,-50.00,0.084890,user_technical_balancer,false,false,true,10,proposed,false,false,within_user_intent_policy
matrix_y40_s30_c180_t11,milk_gelato,PI-ING-000180,CREAM 30% · Mlekovita Cream · Chilled,user_specified,180.00,180.00,0.00,0.000000,user_flavour_structure,false,false,true,10,proposed,false,false,within_user_intent_policy
matrix_y40_s30_c180_t11,milk_gelato,PI-ING-001645,EGGS CHICKEN YOLK DRIED · Egg,user_specified,40.00,40.00,0.00,0.000000,user_flavour_structure,false,false,true,10,proposed,false,false,within_user_intent_policy
matrix_y40_s30_c180_t11,milk_gelato,PI-ING-000270,SKIMMED MILK · Milk,user_specified,30.00,30.00,0.00,0.000000,user_general,false,false,true,10,proposed,false,false,within_user_intent_policy
matrix_y40_s30_c180_t11,milk_gelato,PI-ING-000514,SUCROSE SUGAR · Sweetener · Dry,user_specified,90.00,90.00,0.00,0.000000,user_technical_balancer,false,false,true,10,proposed,false,false,within_user_intent_policy
matrix_y40_s30_c180_t11,milk_gelato,PI-ING-000494,DEXTROSE · Sweetener · Dry,user_specified,50.00,50.00,0.00,0.000000,user_technical_balancer,false,false,true,10,proposed,false,false,within_user_intent_policy
matrix_y40_s30_c180_t11,milk_gelato,PI-ING-000456,INULIN · Specialty,user_specified,20.00,20.00,0.00,0.000000,user_technical_balancer,false,false,true,10,proposed,false,false,within_user_intent_policy
matrix_y40_s30_c180_t11,milk_gelato,PI-ING-000492,TARA GUM · Stabilizer,user_specified,2.00,2.00,0.00,0.000000,user_technical_balancer,false,false,true,10,proposed,false,false,within_user_intent_policy
matrix_y40_s30_c180_t13,milk_gelato,PI-ING-000236,MILK 3.5% · Milk · Chilled,user_specified,588.00,488.00,-100.00,0.169779,user_technical_balancer,false,false,false,9,proposed,false,false,within_user_intent_policy
matrix_y40_s30_c180_t13,milk_gelato,PI-ING-000180,CREAM 30% · Mlekovita Cream · Chilled,user_specified,180.00,160.00,-20.00,0.110497,user_flavour_structure,false,false,false,9,proposed,false,false,within_user_intent_policy
matrix_y40_s30_c180_t13,milk_gelato,PI-ING-001645,EGGS CHICKEN YOLK DRIED · Egg,user_specified,40.00,41.00,1.00,0.024390,user_flavour_structure,false,false,false,9,proposed,false,false,within_user_intent_policy
matrix_y40_s30_c180_t13,milk_gelato,PI-ING-000270,SKIMMED MILK · Milk,user_specified,30.00,31.00,1.00,0.032258,user_general,false,false,false,9,proposed,false,false,within_user_intent_policy
matrix_y40_s30_c180_t13,milk_gelato,PI-ING-000514,SUCROSE SUGAR · Sweetener · Dry,user_specified,90.00,140.00,50.00,0.549451,user_technical_balancer,false,false,false,9,proposed,false,false,within_user_intent_policy
matrix_y40_s30_c180_t13,milk_gelato,PI-ING-000494,DEXTROSE · Sweetener · Dry,user_specified,50.00,40.00,-10.00,0.196078,user_technical_balancer,false,false,false,9,proposed,false,false,within_user_intent_policy
matrix_y40_s30_c180_t13,milk_gelato,PI-ING-000456,INULIN · Specialty,user_specified,20.00,70.00,50.00,2.380952,user_technical_balancer,false,false,false,9,proposed,false,false,within_user_intent_policy
matrix_y40_s30_c180_t13,milk_gelato,PI-ING-000492,TARA GUM · Stabilizer,user_specified,2.00,2.00,0.00,0.000000,user_technical_balancer,false,false,false,9,proposed,false,false,within_user_intent_policy
matrix_y40_s30_c120_t11,milk_gelato,PI-ING-000236,MILK 3.5% · Milk · Chilled,user_specified,648.00,548.00,-100.00,0.154083,user_technical_balancer,false,false,true,10,proposed,false,false,within_user_intent_policy
matrix_y40_s30_c120_t11,milk_gelato,PI-ING-000180,CREAM 30% · Mlekovita Cream · Chilled,user_specified,120.00,220.00,100.00,0.826446,user_flavour_structure,false,false,true,10,proposed,false,false,within_user_intent_policy
matrix_y40_s30_c120_t11,milk_gelato,PI-ING-001645,EGGS CHICKEN YOLK DRIED · Egg,user_specified,40.00,40.00,0.00,0.000000,user_flavour_structure,false,false,true,10,proposed,false,false,within_user_intent_policy
matrix_y40_s30_c120_t11,milk_gelato,PI-ING-000270,SKIMMED MILK · Milk,user_specified,30.00,30.00,0.00,0.000000,user_general,false,false,true,10,proposed,false,false,within_user_intent_policy
matrix_y40_s30_c120_t11,milk_gelato,PI-ING-000514,SUCROSE SUGAR · Sweetener · Dry,user_specified,90.00,90.00,0.00,0.000000,user_technical_balancer,false,false,true,10,proposed,false,false,within_user_intent_policy
matrix_y40_s30_c120_t11,milk_gelato,PI-ING-000494,DEXTROSE · Sweetener · Dry,user_specified,50.00,50.00,0.00,0.000000,user_technical_balancer,false,false,true,10,proposed,false,false,within_user_intent_policy
matrix_y40_s30_c120_t11,milk_gelato,PI-ING-000456,INULIN · Specialty,user_specified,20.00,20.00,0.00,0.000000,user_technical_balancer,false,false,true,10,proposed,false,false,within_user_intent_policy
matrix_y40_s30_c120_t11,milk_gelato,PI-ING-000492,TARA GUM · Stabilizer,user_specified,2.00,2.00,0.00,0.000000,user_technical_balancer,false,false,true,10,proposed,false,false,within_user_intent_policy
matrix_y40_s30_c120_t13,milk_gelato,PI-ING-000236,MILK 3.5% · Milk · Chilled,user_specified,648.00,548.00,-100.00,0.154083,user_technical_balancer,false,false,false,9,proposed,false,false,within_user_intent_policy
matrix_y40_s30_c120_t13,milk_gelato,PI-ING-000180,CREAM 30% · Mlekovita Cream · Chilled,user_specified,120.00,220.00,100.00,0.826446,user_flavour_structure,false,false,false,9,proposed,false,false,within_user_intent_policy
matrix_y40_s30_c120_t13,milk_gelato,PI-ING-001645,EGGS CHICKEN YOLK DRIED · Egg,user_specified,40.00,41.00,1.00,0.024390,user_flavour_structure,false,false,false,9,proposed,false,false,within_user_intent_policy
matrix_y40_s30_c120_t13,milk_gelato,PI-ING-000270,SKIMMED MILK · Milk,user_specified,30.00,31.00,1.00,0.032258,user_general,false,false,false,9,proposed,false,false,within_user_intent_policy
matrix_y40_s30_c120_t13,milk_gelato,PI-ING-000514,SUCROSE SUGAR · Sweetener · Dry,user_specified,90.00,190.00,100.00,1.098901,user_technical_balancer,false,false,false,9,proposed,false,false,within_user_intent_policy
matrix_y40_s30_c120_t13,milk_gelato,PI-ING-000494,DEXTROSE · Sweetener · Dry,user_specified,50.00,40.00,-10.00,0.196078,user_technical_balancer,false,false,false,9,proposed,false,false,within_user_intent_policy
matrix_y40_s30_c120_t13,milk_gelato,PI-ING-000456,INULIN · Specialty,user_specified,20.00,70.00,50.00,2.380952,user_technical_balancer,false,false,false,9,proposed,false,false,within_user_intent_policy
matrix_y40_s30_c120_t13,milk_gelato,PI-ING-000492,TARA GUM · Stabilizer,user_specified,2.00,2.00,0.00,0.000000,user_technical_balancer,false,false,false,9,proposed,false,false,within_user_intent_policy
matrix_y40_s60_c180_t11,milk_gelato,PI-ING-000236,MILK 3.5% · Milk · Chilled,user_specified,558.00,658.00,100.00,0.178891,user_technical_balancer,false,false,true,10,proposed,false,false,within_user_intent_policy
