temperature,mode,sweetness,hardness,preview_ok,detail
-11,optimal,-2,-2,OK,"pod=16.96,npac=39.28,reached=1/2,viol=0,zero=0,total=1000"
-11,optimal,-2,-1,OK,"pod=16.91,npac=39.30,reached=1/2,viol=0,zero=0,total=1000"
-11,optimal,-2,0,OK,"pod=19.40,npac=39.82,reached=0/2,viol=0,zero=0,total=1000"
-11,optimal,-2,1,NO_PREVIEW,"vegan_profile_constraint"
-11,optimal,-2,2,NO_PREVIEW,"vegan_profile_constraint"
-11,optimal,-1,-2,OK,"pod=16.96,npac=39.28,reached=1/2,viol=0,zero=0,total=1000"
-11,optimal,-1,-1,OK,"pod=16.91,npac=39.30,reached=1/2,viol=0,zero=0,total=1000"
-11,optimal,-1,0,OK,"pod=19.40,npac=39.82,reached=0/2,viol=0,zero=0,total=1000"
-11,optimal,-1,1,NO_PREVIEW,"vegan_profile_constraint"
-11,optimal,-1,2,NO_PREVIEW,"vegan_profile_constraint"
-11,optimal,0,-2,OK,"pod=20.33,npac=41.80,reached=1/2,viol=0,zero=0,total=1000"
-11,optimal,0,-1,OK,"pod=20.33,npac=41.88,reached=1/2,viol=0,zero=0,total=1000"
-11,optimal,0,0,OK,"pod=21.04,npac=40.08,reached=1/2,viol=0,zero=0,total=1000"
-11,optimal,0,1,OK,"pod=19.80,npac=39.63,reached=2/2,viol=0,zero=0,total=1000"
-11,optimal,0,2,OK,"pod=17.74,npac=36.82,reached=2/2,viol=0,zero=0,total=1000"
-11,optimal,1,-2,NO_PREVIEW,"unsafe_proposal"
-11,optimal,1,-1,OK,"pod=22.18,npac=47.09,reached=2/2,viol=1,zero=0,total=1000"
-11,optimal,1,0,OK,"pod=21.58,npac=41.45,reached=2/2,viol=0,zero=0,total=1000"
-11,optimal,1,1,OK,"pod=20.10,npac=40.10,reached=0/2,viol=0,zero=0,total=1000"
-11,optimal,1,2,OK,"pod=18.46,npac=37.36,reached=1/2,viol=0,zero=0,total=1000"
-11,optimal,2,-2,NO_PREVIEW,"unsafe_proposal"
-11,optimal,2,-1,OK,"pod=22.18,npac=47.09,reached=2/2,viol=1,zero=0,total=1000"
-11,optimal,2,0,OK,"pod=21.58,npac=41.45,reached=2/2,viol=0,zero=0,total=1000"
-11,optimal,2,1,OK,"pod=20.10,npac=40.10,reached=0/2,viol=0,zero=0,total=1000"
-11,optimal,2,2,OK,"pod=18.46,npac=37.36,reached=1/2,viol=0,zero=0,total=1000"
-11,eco,-2,-2,NO_PREVIEW,"missing_prices"
-11,eco,-2,-1,NO_PREVIEW,"missing_prices"
-11,eco,-2,0,NO_PREVIEW,"missing_prices"
-11,eco,-2,1,NO_PREVIEW,"missing_prices"
-11,eco,-2,2,NO_PREVIEW,"missing_prices"
-11,eco,-1,-2,NO_PREVIEW,"missing_prices"
-11,eco,-1,-1,NO_PREVIEW,"missing_prices"
-11,eco,-1,0,NO_PREVIEW,"missing_prices"
