recipe_id,flavour_class,temperature,mode,sweetness,hardness,direction_status,delivered_pod,delivered_npac,zero_gram,total_g,runtime_ms
R01,oat vanilla,-11,optimal,-2,-2,NEAREST,28.76,49.73,0,1000,23
R01,oat vanilla,-11,optimal,-2,-1,NEAREST,27.94,47.27,0,1000,12
R01,oat vanilla,-11,optimal,-2,0,NEAREST,24.90,40.08,0,1000,56
R01,oat vanilla,-11,optimal,-2,1,NEAREST,23.64,37.59,0,1000,29
R01,oat vanilla,-11,optimal,-2,2,NEAREST,22.47,35.14,0,1000,28
R01,oat vanilla,-11,optimal,-1,-2,NEAREST,28.76,49.73,0,1000,20
R01,oat vanilla,-11,optimal,-1,-1,NEAREST,27.94,47.27,0,1000,33
R01,oat vanilla,-11,optimal,-1,0,NEAREST,24.69,39.99,0,1000,54
R01,oat vanilla,-11,optimal,-1,1,NEAREST,23.64,37.59,0,1000,25
R01,oat vanilla,-11,optimal,-1,2,NEAREST,22.47,35.14,0,1000,32
R01,oat vanilla,-11,optimal,0,-2,NEAREST,28.76,49.73,0,1000,21
R01,oat vanilla,-11,optimal,0,-1,NEAREST,27.94,47.27,0,1000,19
R01,oat vanilla,-11,optimal,0,0,NEAREST,20.29,30.80,0,1000,39
R01,oat vanilla,-11,optimal,0,1,NEAREST,23.64,37.59,0,1000,33
R01,oat vanilla,-11,optimal,0,2,NEAREST,22.47,35.14,0,1000,48
R01,oat vanilla,-11,optimal,1,-2,NEAREST,28.76,49.73,0,1000,43
R01,oat vanilla,-11,optimal,1,-1,NEAREST,27.84,47.10,0,1000,50
R01,oat vanilla,-11,optimal,1,0,NEAREST,22.61,40.05,0,1000,6
R01,oat vanilla,-11,optimal,1,1,NEAREST,22.58,37.47,0,1000,47
R01,oat vanilla,-11,optimal,1,2,ACHIEVED,22.57,35.00,0,1000,5
R01,oat vanilla,-11,optimal,2,-2,NEAREST,24.96,40.53,0,1000,58
R01,oat vanilla,-11,optimal,2,-1,NEAREST,24.96,40.53,0,1000,194
R01,oat vanilla,-11,optimal,2,0,ACHIEVED,24.90,40.17,0,1000,16
R01,oat vanilla,-11,optimal,2,1,ACHIEVED,23.94,37.87,0,1000,1
R01,oat vanilla,-11,optimal,2,2,ACHIEVED,22.85,36.49,0,1000,8
R02,coconut,-11,optimal,-2,-2,NEAREST,28.89,49.69,0,1000,23
R02,coconut,-11,optimal,-2,-1,NEAREST,27.67,46.99,0,1000,24
R02,coconut,-11,optimal,-2,0,NEAREST,24.70,40.00,0,1000,74
R02,coconut,-11,optimal,-2,1,ACHIEVED,15.40,37.79,0,1000,55
R02,coconut,-11,optimal,-2,2,NEAREST,22.43,35.05,0,1000,44
R02,coconut,-11,optimal,-1,-2,NEAREST,28.89,49.69,0,1000,14
R02,coconut,-11,optimal,-1,-1,NEAREST,27.67,46.99,0,1000,14
R02,coconut,-11,optimal,-1,0,NEAREST,24.70,40.00,0,1000,65
R02,coconut,-11,optimal,-1,1,ACHIEVED,17.55,39.45,0,1000,42
R02,coconut,-11,optimal,-1,2,NEAREST,22.43,35.05,0,1000,46
R02,coconut,-11,optimal,0,-2,NEAREST,28.89,49.69,0,1000,27
R02,coconut,-11,optimal,0,-1,NEAREST,27.67,46.99,0,1000,30
R02,coconut,-11,optimal,0,0,NEAREST,20.02,39.66,0,1000,59
R02,coconut,-11,optimal,0,1,ACHIEVED,20.02,39.66,0,1000,32
R02,coconut,-11,optimal,0,2,NEAREST,22.43,35.06,0,1000,65
R02,coconut,-11,optimal,1,-2,NEAREST,22.58,36.05,0,1000,34
R02,coconut,-11,optimal,1,-1,NEAREST,27.67,46.99,0,1000,30
R02,coconut,-11,optimal,1,0,NEAREST,22.58,36.05,0,1000,24
R02,coconut,-11,optimal,1,1,NEAREST,22.55,37.40,0,1000,7
R02,coconut,-11,optimal,1,2,ACHIEVED,22.43,35.06,0,1000,8
R02,coconut,-11,optimal,2,-2,NEAREST,24.96,40.45,0,1000,54
R02,coconut,-11,optimal,2,-1,NEAREST,24.96,40.45,0,1000,62
R02,coconut,-11,optimal,2,0,ACHIEVED,24.97,40.13,0,1000,14
R02,coconut,-11,optimal,2,1,ACHIEVED,24.95,38.30,0,1000,4
R02,coconut,-11,optimal,2,2,ACHIEVED,24.03,36.92,0,1000,4
R03,dark cocoa,-11,optimal,-2,-2,NEAREST,24.21,41.92,0,1000,143
R03,dark cocoa,-11,optimal,-2,-1,NEAREST,24.21,41.92,0,1000,106
R03,dark cocoa,-11,optimal,-2,0,NEAREST,24.40,40.21,0,1000,37
R03,dark cocoa,-11,optimal,-2,1,NEAREST,22.37,37.53,0,1000,44
R03,dark cocoa,-11,optimal,-2,2,NEAREST,21.28,35.02,0,1000,66
R03,dark cocoa,-11,optimal,-1,-2,NEAREST,24.21,41.92,0,1000,144
R03,dark cocoa,-11,optimal,-1,-1,NEAREST,24.21,41.92,0,1000,150
R03,dark cocoa,-11,optimal,-1,0,NEAREST,24.40,40.21,0,1000,42
R03,dark cocoa,-11,optimal,-1,1,NEAREST,22.37,37.53,0,1000,58
