recipe_id,flavour_class,temperature,mode,outcome,pod,npac,water_pct,solids_pct,fat_pct,violations,zero_gram,total_g,runtime_ms
R01,oat vanilla,-11,optimal,PREVIEW,24.03,36.29,67.16,32.84,8.10,0,0,1000,31
R01,oat vanilla,-11,eco,PREVIEW,26.39,41.89,63.92,36.08,8.93,1,0,1000,13
R01,oat vanilla,-12,optimal,PREVIEW,26.40,44.03,60.83,39.17,11.96,1,0,1000,43
R01,oat vanilla,-12,eco,PREVIEW,26.39,41.89,63.92,36.08,8.93,2,0,1000,11
R01,oat vanilla,-13,optimal,PREVIEW,28.84,50.01,58.52,41.48,11.86,1,0,1000,15
R01,oat vanilla,-13,eco,PREVIEW,26.39,41.89,63.92,36.08,8.93,2,0,1000,6
R02,coconut,-11,optimal,PREVIEW,24.86,36.48,69.10,30.90,5.31,0,0,1000,6
R02,coconut,-11,eco,PREVIEW,27.33,41.96,66.06,33.94,5.84,1,0,1000,3
R02,coconut,-12,optimal,PREVIEW,26.40,44.01,60.83,39.17,11.96,1,0,1000,12
R02,coconut,-12,eco,PREVIEW,27.33,41.96,66.06,33.94,5.84,2,0,1000,3
R02,coconut,-13,optimal,PREVIEW,28.85,50.07,58.41,41.59,11.95,1,0,1000,13
R02,coconut,-13,eco,PREVIEW,27.33,41.96,66.06,33.94,5.84,2,0,1000,6
R03,dark cocoa,-11,optimal,PREVIEW,24.40,40.21,61.11,38.89,8.32,0,0,1000,3
R03,dark cocoa,-11,eco,PREVIEW,24.40,40.21,61.11,38.89,8.32,0,0,1000,2
R03,dark cocoa,-12,optimal,PREVIEW,25.03,44.14,57.10,42.90,10.59,1,0,1000,20
R03,dark cocoa,-12,eco,PREVIEW,23.22,40.15,58.27,41.73,12.63,2,0,1000,3
R03,dark cocoa,-13,optimal,PREVIEW,28.40,50.00,57.09,42.91,9.18,1,0,1000,48
R03,dark cocoa,-13,eco,PREVIEW,23.22,40.15,58.27,41.73,12.63,2,0,1000,3
R04,chocolate,-11,optimal,PREVIEW,21.21,35.09,61.20,38.80,9.74,0,0,1000,8
R04,chocolate,-11,eco,PREVIEW,22.69,42.13,54.50,45.50,14.48,3,0,1000,2
R04,chocolate,-12,optimal,PREVIEW,24.94,44.04,57.12,42.88,9.72,0,0,1000,79
R04,chocolate,-12,eco,PREVIEW,23.53,45.20,52.69,47.31,15.11,2,0,1000,5
R04,chocolate,-13,optimal,PREVIEW,24.93,44.21,57.05,42.95,10.06,1,0,1000,39
R04,chocolate,-13,eco,PREVIEW,23.53,45.20,52.69,47.31,15.11,3,0,1000,2
R05,strawberry,-11,optimal,PREVIEW,21.08,35.00,69.99,30.01,6.79,0,0,1000,44
R05,strawberry,-11,eco,PREVIEW,21.08,35.00,69.99,30.01,6.79,0,0,1000,41
R05,strawberry,-12,optimal,PREVIEW,25.00,44.00,70.00,30.00,2.39,0,0,1000,335
R05,strawberry,-12,eco,PREVIEW,25.00,44.00,70.00,30.00,2.39,0,0,1000,256
R05,strawberry,-13,optimal,PREVIEW,24.51,50.04,67.00,33.00,5.27,0,0,1000,205
R05,strawberry,-13,eco,PREVIEW,24.51,50.04,67.00,33.00,5.27,0,0,1000,119
R06,soy vanilla,-11,optimal,PREVIEW,24.90,38.93,64.55,35.45,9.54,0,0,1000,7
R06,soy vanilla,-11,eco,PREVIEW,25.41,40.17,63.82,36.18,9.75,1,0,1000,3
R06,soy vanilla,-12,optimal,PREVIEW,26.40,44.02,60.39,39.61,11.96,1,0,1000,14
R06,soy vanilla,-12,eco,PREVIEW,25.41,40.17,63.82,36.18,9.75,2,0,1000,4
R06,soy vanilla,-13,optimal,PREVIEW,29.06,50.14,57.95,42.05,11.91,1,0,1000,11
R06,soy vanilla,-13,eco,PREVIEW,25.41,40.17,63.82,36.18,9.75,2,0,1000,9
R07,raspberry / berry,-11,optimal,PREVIEW,20.54,35.03,70.00,30.00,2.85,0,0,1000,67
R07,raspberry / berry,-11,eco,PREVIEW,20.54,35.03,70.00,30.00,2.85,0,0,1000,51
R07,raspberry / berry,-12,optimal,PREVIEW,21.23,44.01,70.00,30.00,1.04,0,0,1000,7
R07,raspberry / berry,-12,eco,PREVIEW,21.23,44.01,70.00,30.00,1.04,0,0,1000,5
R07,raspberry / berry,-13,optimal,PREVIEW,24.95,50.14,66.92,33.08,0.83,0,0,1000,6
R07,raspberry / berry,-13,eco,PREVIEW,24.95,50.14,66.92,33.08,0.83,0,0,1000,33
R08,banana,-11,optimal,PREVIEW,19.97,36.83,70.00,30.00,5.58,0,0,1000,34
R08,banana,-11,eco,PREVIEW,19.97,36.83,70.00,30.00,5.58,0,0,1000,16
R08,banana,-12,optimal,PREVIEW,24.09,44.04,69.99,30.01,1.28,0,0,1000,226
R08,banana,-12,eco,PREVIEW,24.09,44.04,69.99,30.01,1.28,0,0,1000,110
R08,banana,-13,optimal,PREVIEW,24.75,50.06,66.97,33.03,3.37,0,0,1000,91
R08,banana,-13,eco,PREVIEW,24.75,50.06,66.97,33.03,3.37,0,0,1000,86
R09,mango / tropical,-11,optimal,PREVIEW,22.35,35.79,70.00,30.00,0.56,0,0,1000,40
R09,mango / tropical,-11,eco,PREVIEW,22.35,35.79,70.00,30.00,0.56,0,0,1000,82
R09,mango / tropical,-12,optimal,PREVIEW,20.31,44.13,70.00,30.00,1.06,0,0,1000,103
R09,mango / tropical,-12,eco,PREVIEW,20.31,44.13,70.00,30.00,1.06,0,0,1000,113
R09,mango / tropical,-13,optimal,PREVIEW,24.35,50.13,67.00,33.00,0.54,0,0,1000,78
R09,mango / tropical,-13,eco,PREVIEW,24.35,50.13,67.00,33.00,0.54,0,0,1000,113
R10,lemon / citrus,-11,optimal,PREVIEW,21.19,39.60,67.99,32.01,4.83,0,0,1000,1
R10,lemon / citrus,-11,eco,PREVIEW,21.19,39.60,67.99,32.01,4.83,0,0,1000,1
R10,lemon / citrus,-12,optimal,PREVIEW,22.46,50.50,64.95,35.05,5.47,0,0,1000,2
R10,lemon / citrus,-12,eco,PREVIEW,20.17,43.27,68.27,31.73,4.83,1,0,1000,4
R10,lemon / citrus,-13,optimal,PREVIEW,21.06,55.70,65.34,34.66,5.47,0,0,1000,4
R10,lemon / citrus,-13,eco,PREVIEW,18.92,47.75,68.62,31.38,4.83,2,0,1000,3
R11,coffee,-11,optimal,PREVIEW,21.61,41.33,66.32,33.68,5.36,0,0,1000,12
R11,coffee,-11,eco,PREVIEW,21.61,41.33,66.32,33.68,5.36,0,0,1000,2
R11,coffee,-12,optimal,PREVIEW,22.69,52.33,63.43,36.57,5.94,0,0,1000,1
R11,coffee,-12,eco,PREVIEW,22.69,52.33,63.43,36.57,5.94,0,0,1000,0
R11,coffee,-13,optimal,PREVIEW,21.24,57.86,63.83,36.17,5.94,0,0,1000,1
R11,coffee,-13,eco,PREVIEW,21.24,57.86,63.83,36.17,5.94,0,0,1000,0
R12,caramel,-11,optimal,PREVIEW,21.48,41.81,67.78,32.22,6.21,0,0,1000,4
R12,caramel,-11,eco,PREVIEW,17.24,38.52,64.66,35.34,11.85,0,0,1000,10
R12,caramel,-12,optimal,PREVIEW,22.84,45.80,65.88,34.12,6.63,0,0,1000,1
R12,caramel,-12,eco,PREVIEW,22.84,45.80,65.88,34.12,6.63,0,0,1000,2
R12,caramel,-13,optimal,PREVIEW,24.90,52.08,63.07,36.93,7.17,0,0,1000,5
R12,caramel,-13,eco,PREVIEW,27.89,62.51,58.96,41.04,8.08,1,0,1000,6
