n,seed,recipe_id,temperature,mode,sweetness,hardness,outcome,defect_class
0,1425004800,R06,-13,eco,1,2,PREVIEW,ok
1,909619968,R04,-11,eco,-1,-2,PREVIEW,ok
2,1129170944,R01,-12,eco,-1,2,PREVIEW,ok
3,1542898432,R03,-11,eco,0,-1,PREVIEW,ok
4,821190464,R08,-12,optimal,1,2,PREVIEW,ok
5,1531972096,R06,-13,optimal,-2,1,PREVIEW,ok
6,1832118336,R01,-11,optimal,0,2,PREVIEW,ok
7,276093440,R10,-12,optimal,-2,1,PREVIEW,ok
8,1788985600,R11,-11,eco,1,0,PREVIEW,ok
9,1220090880,R23,-13,optimal,-2,-1,PREVIEW,ok
10,229779008,R02,-11,optimal,-1,0,PREVIEW,ok
11,1384603264,R22,-11,eco,1,-1,PREVIEW,ok
12,420972288,R23,-13,eco,1,-1,PREVIEW,ok
13,41193472,R13,-11,eco,1,2,PREVIEW,ok
14,1188594432,R21,-12,optimal,-1,-2,PREVIEW,ok
15,949690112,R22,-13,optimal,2,-1,PREVIEW,ok
16,1200604800,R17,-12,optimal,-1,-2,PREVIEW,ok
17,845542400,R15,-12,eco,0,0,PREVIEW,ok
18,1966205760,R12,-11,eco,1,1,PREVIEW,ok
19,2068900352,R15,-12,eco,-1,-1,PREVIEW,ok
20,1293740032,R07,-11,optimal,2,1,PREVIEW,ok
21,1537491456,R04,-11,optimal,-1,2,PREVIEW,ok
22,1481122816,R06,-13,eco,-2,2,PREVIEW,ok
23,2016205824,R20,-11,optimal,-1,-1,PREVIEW,ok
24,2047165440,R24,-12,optimal,-1,2,PREVIEW,ok
25,1350617984,R08,-13,optimal,-2,-1,PREVIEW,ok
26,80954432,R20,-13,eco,-2,1,PREVIEW,ok
27,1005278464,R23,-13,optimal,2,2,PREVIEW,ok
28,1775463168,R22,-11,eco,2,-1,PREVIEW,ok
29,1182161984,R12,-13,eco,-1,0,PREVIEW,ok
30,659169088,R08,-12,eco,-1,1,PREVIEW,ok
31,70879488,R12,-12,eco,0,-2,PREVIEW,ok
32,603897600,R14,-11,optimal,0,-1,PREVIEW,ok
33,798129408,R09,-11,eco,2,-2,PREVIEW,ok
34,714139520,R04,-13,eco,0,-2,PREVIEW,ok
35,163006272,R16,-12,optimal,0,-1,PREVIEW,ok
36,1212650496,R17,-13,optimal,0,-1,PREVIEW,ok
37,2035355392,R03,-11,optimal,-1,-1,PREVIEW,ok
