iso2,priority,slot,owner_excel_product,owner_excel_pi,owner_excel_ean,working_excel_product,working_excel_ean,working_evidence_for_reference,s1_pi_ing,s2_pr_ing,s3_brand_product_ean,s4_market_availability,s5_source_evidence,s6_technical_readiness,s7_reconciled_2541,s8_genuine_gaps,s9_report_back,engine_10_10,country_grams_frozen,final_status
AE,★★★★,MILK,,,,Al Rawabi Fresh Milk Full Cream 1 L,6291030200032,CONFIRMED,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING,NO,NOT_FINAL (D-27)
AE,★★★★,CREAM,,,,Paysan Breton La Crème Pâtisserie & Cuisine UHT 30%,3412290032215,LEAD,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING,NO,NOT_FINAL (D-27)
AE,★★★★,SMP,,,,Régilait Instant Skimmed Milk Powder 0% Fat,3043931692415,LEAD,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING,NO,NOT_FINAL (D-27)
AE,★★★★,SUCROSE,,,,Biały cukier krystaliczny — 100% cukier,,N/A_GENERIC,PENDING_OWNER_EXCEL,N/A (global PI),N/A (global PI),N/A (global PI),PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING,NO,NOT_FINAL (D-27)
AE,★★★★,DEXTROSE,,,,Trioxi Dextrose Monohydrate (Glucose-D) Natural Food Sweetener,6297001119785,LEAD,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING,NO,NOT_FINAL (D-27)
AE,★★★★,STABILIZER,,,,Modernist Pantry Pure Tara Gum Powder,819543011967,LEAD,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING,NO,NOT_FINAL (D-27)
AR,★★★★,MILK,,,,La Serenísima Leche Larga Vida Clásica 3% 1 L,7790742308801,CONFIRMED,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING,NO,NOT_FINAL (D-27)
AR,★★★★,CREAM,,,,Milkaut Profesional Crema de Leche 39%,7794820901670,LEAD,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING,NO,NOT_FINAL (D-27)
AR,★★★★,SMP,,,,La Serenísima Leche en Polvo Liviana / Descremada Instantánea 400 g,7790742436405,CONFIRMED,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING,NO,NOT_FINAL (D-27)
AR,★★★★,SUCROSE,,,,Biały cukier krystaliczny — 100% cukier,,N/A_GENERIC,PENDING_OWNER_EXCEL,N/A (global PI),N/A (global PI),N/A (global PI),PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING,NO,NOT_FINAL (D-27)
AR,★★★★,DEXTROSE,,,,Dextrosa Monohidratada x 1kg,,BRAK,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING,NO,NOT_FINAL (D-27)
AR,★★★★,STABILIZER,,,,Goma Tara Grado Alimenticio Calidad Premium,,BRAK,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING,NO,NOT_FINAL (D-27)
AT,★★★★★,MILK,,,,"Schärdinger Vollmilch 3,5% ESL 1 L",9066000164907,CONFIRMED,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING,NO,NOT_FINAL (D-27)
AT,★★★★★,CREAM,,,,Alpiland H-Schlagrahm 30% 1 L,9066000864401,CONFIRMED,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING,NO,NOT_FINAL (D-27)
AT,★★★★★,SMP,,,,Wild Thing Magermilchpulver 500 g,,BRAK,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING,NO,NOT_FINAL (D-27)
AT,★★★★★,SUCROSE,,,,Biały cukier krystaliczny — 100% cukier,,N/A_GENERIC,PENDING_OWNER_EXCEL,N/A (global PI),N/A (global PI),N/A (global PI),PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING,NO,NOT_FINAL (D-27)
AT,★★★★★,DEXTROSE,,,,Dextrose monohydrat Pulver 5 kg,4250573301738,LEAD,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING,NO,NOT_FINAL (D-27)
AT,★★★★★,STABILIZER,,,,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,8055728540170,LEAD,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING,NO,NOT_FINAL (D-27)
