iso2,priority,role,ean,rcn_range,v7_status,product,verification_class,evidence_class,best_url,http,source_type,page_market,market_by,evidence_method,price_currency,ean_context,page_title,html_sha256_16,evidence_utc,urls_checked,hosts_carrying_ean
AU,★★★★★,MILK,9300639500041,NO,KANDYDAT_PR,Devondale Full Cream Long Life Milk 1 L,EAN_ON_MARKET_PAGE,CONFIRMED,https://www.thedistributorscairns.com.au/product/DEVONDALE_FULL_CREAM_1LIT_MILK,200,DIRECT,AU,CCTLD,RAW_HTML,, Unit Barcode :</td> <td> 9300639500041</td> </tr> ,DEVONDALE FULL CREAM 1LIT MILK,5658b8e271b0fcbc,2026-09-10T13:40:15Z,3,www.thedistributorscairns.com.au
AU,★★★★★,CREAM,9310036007296,NO,KANDYDAT_PR,Pauls Thickened Cream,MARKET_PAGE_WITHOUT_EAN,LEAD,https://mylactalis.com.au/pauls-thickened-cream-300ml-regular,200,DIRECT,AU,CCTLD,BROWSER_DOM,,,Pauls Thickened Cream 300ml - REGULAR,,2026-09-10T13:52Z,3,
AU,★★★★★,SMP,9300639999005,NO,KANDYDAT_PR,Devondale Instant Skim Milk Powder,MARKET_PAGE_WITHOUT_EAN,LEAD,https://www.devondale.com.au/en/products/milk/skim-milk-powder,200,DIRECT,AU,CCTLD,BROWSER_DOM,,,Skim Milk Powder | Devondale,,2026-09-10T13:52Z,3,
AU,★★★★★,SUCROSE,,,READY_PI,Biały cukier krystaliczny — 100% cukier,GENERIC_PI_NO_EAN,N/A,,,,,,,,,,,,0,
AU,★★★★★,DEXTROSE,9317127061786,NO,KANDYDAT_PR,Lotus Glucose Powder (Dextrose) 500g,EAN_ON_MARKET_PAGE,CONFIRMED,https://www.kadac.com.au/browser/product.php?sku=6178,200,DIRECT,AU,CCTLD,RAW_HTML,,"lass=""sub-title"">Barcode Number</li> <li>9317127061786</li> ",Lotus Glucose Powder (Dextrose) 500g | Kadac - Organic Natural Health,0f340d7ced36d256,2026-09-10T13:39:37Z,5,ecotraders.com.au;www.kadac.com.au
AU,★★★★★,TARA,8055728540170,NO,KANDYDAT_PR,Tara Gum 50gr. / Gomma di Tara E417,EAN_ON_GENERIC_TLD_PAGE,LEAD,https://saporepuro.myshopify.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1,200,DIRECT,,GENERIC_TLD,RAW_HTML,EUR,"0,""compare_at_price"":null,""inventory_management"":""shopify"",""barcode"":""8055728540170"",""featured_media"":{",Tara Seed Flour | SaporePuro,5f28b11dbdcd7cd4,2026-09-10T13:38:24Z,7,saporepuro.com;saporepuro.myshopify.com
AT,★★★★★,MILK,9066000164907,NO,KANDYDAT_PR,"Schärdinger Vollmilch 3,5% ESL 1 L",EAN_ON_MARKET_PAGE,CONFIRMED,https://dokumente.kastner.at/lmiv/kastner/222821.pdf,200,DIRECT,AT,CCTLD,RAW_HTML,,"kelbezeichnung: Sch.Vollmilch 3,5% ESL 1l Allgemein: Artikel GTIN: 9066000164907 / Anzahl Basiseinhe",,ef65d5ac87b73977,2026-09-10T13:37:27Z,3,dokumente.kastner.at;shop.kastner.at
AT,★★★★★,CREAM,9066000864401,NO,KANDYDAT_PR,Alpiland H-Schlagrahm 30% 1 L,EAN_ON_MARKET_PAGE,CONFIRMED,https://shop.kastner.at/222148.html,200,DIRECT,AT,CCTLD,RAW_HTML,,</td> <td>9066000864401</td> ,H-Schlagobers/rahm 30% 1 l - KASTNER WebShop,9b6206eaee2e88f0,2026-09-10T13:38:26Z,2,dokumente.kastner.at;shop.kastner.at
AT,★★★★★,SMP,,,WYMAGA_GTIN,Wild Thing Magermilchpulver 500 g,NO_EAN_IN_V7,BRAK,https://trinklusiv.at/products/wild-thing-magermilchpulver-500-g,200,DIRECT,AT,CCTLD,RAW_HTML,EUR,,Wild Thing Magermilchpulver 500 g,7a42da27a0db2528,2026-09-10T13:38:40Z,4,
AT,★★★★★,SUCROSE,,,READY_PI,Biały cukier krystaliczny — 100% cukier,GENERIC_PI_NO_EAN,N/A,,,,,,,,,,,,0,
AT,★★★★★,DEXTROSE,4250573301738,NO,KANDYDAT_PR,Dextrose monohydrat Pulver 5 kg,EAN_ON_FOREIGN_MARKET_PAGE,LEAD,https://www.golden-peanut.de/Dextrose-monohydrat-Pulver/11135-01,200,DIRECT,DE,CCTLD,RAW_HTML,EUR,"me"":""Dextrose monohydrat Pulver"",""productPrice"":""21.90"",""productEAN"":""4250573301738"",""productSku"":""1113",Dextrose monohydrat Pulver | für mehr Energie | zum Toppreis!,0ea2d79f0278d7d4,2026-09-10T13:39:22Z,2,www.golden-peanut.de
AT,★★★★★,TARA,8055728540170,NO,KANDYDAT_PR,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,EAN_ON_GENERIC_TLD_PAGE,LEAD,https://saporepuro.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1,200,DIRECT,,GENERIC_TLD,RAW_HTML,EUR,"0,""compare_at_price"":null,""inventory_management"":""shopify"",""barcode"":""8055728540170"",""featured_media"":{",Tara Seed Flour | SaporePuro,41be4c71cd4a344d,2026-09-10T13:38:23Z,4,saporepuro.com
BE,★★★★★,MILK,54025059,NO,KANDYDAT_PR,Inex Lait entier UHT 1 L PET (art. 6013),EAN_ON_MARKET_PAGE,CONFIRMED,https://www.bruyerre.be/en/shop/00074227-inex-6013-whole-milk-uht-pet-6-x-1l-167269/document/27519,200,DIRECT,BE,CCTLD,RAW_HTML,,ervation limitée au réfrigérateur (max. +7 °C). CODE EAN Individuel: 54025059 Groupage: 541044111,,c847b5cb183e6282,2026-09-10T13:38:58Z,3,www.bruyerre.be
BE,★★★★★,CREAM,8718907237888,NO,KANDYDAT_PR,AH Slagroom houdbaar 30% 200 ml,EAN_ON_MARKET_PAGE,CONFIRMED,https://www.ah.be/producten/product/wi34471/ah-slagroom-houdbaar,200,DIRECT,BE,CCTLD,BROWSER_DOM,,"""value"":""200 ml""},""gtin13"":""8718907237888"",""image"":""",AH Slagroom houdbaar reserveren | Albert Heijn,,2026-09-10T13:52Z,1,www.ah.be
