iso2,tier,MILK,CREAM,SMP,DEXTROSE,TARA,confirmed_pr_roles,rule_version
AE,SUPPORTED,CONFIRMED,LEAD,LEAD,LEAD,LEAD,1,D-29..D-31
AR,SUPPORTED,CONFIRMED,LEAD,CONFIRMED,BRAK,BRAK,2,D-29..D-31
AT,CORE,CONFIRMED,CONFIRMED,BRAK,LEAD,LEAD,2,D-29..D-31
AU,CORE,CONFIRMED,LEAD,LEAD,CONFIRMED,LEAD,2,D-29..D-31
BD,SUPPORTED,LEAD,LEAD,LEAD,BRAK,LEAD,0,D-29..D-31
BE,CORE,CONFIRMED,CONFIRMED,LEAD,BRAK,LEAD,2,D-29..D-31
BG,SUPPORTED,LEAD,LEAD,CONFIRMED,LEAD,LEAD,1,D-29..D-31
BH,SUPPORTED,LEAD,LEAD,LEAD,BRAK,LEAD,0,D-29..D-31
BR,SUPPORTED,CONFIRMED,CONFIRMED,CONFIRMED,BRAK,BRAK,3,D-29..D-31
CA,CORE,CONFIRMED,LEAD,CONFIRMED,CONFIRMED,BRAK,3,D-29..D-31
CH,CORE,CONFIRMED,LEAD,BRAK,CONFIRMED,LEAD,2,D-29..D-31
CL,SUPPORTED,LEAD,CONFIRMED,CONFIRMED,BRAK,BRAK,2,D-29..D-31
CN,SUPPORTED,LEAD,LEAD,LEAD,BRAK,BRAK,0,D-29..D-31
CO,SUPPORTED,LEAD,LEAD,LEAD,BRAK,LEAD,0,D-29..D-31
CR,SUPPORTED,LEAD,LEAD,CONFIRMED,BRAK,LEAD,1,D-29..D-31
CY,SUPPORTED,LEAD,LEAD,LEAD,BRAK,LEAD,0,D-29..D-31
CZ,SUPPORTED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,BRAK,4,D-29..D-31
DE,CORE,CONFIRMED,CONFIRMED,LEAD,CONFIRMED,LEAD,3,D-29..D-31
DK,CORE,CONFIRMED,CONFIRMED,LEAD,CONFIRMED,BRAK,3,D-29..D-31
DO,SUPPORTED,CONFIRMED,LEAD,BRAK,BRAK,LEAD,1,D-29..D-31
DZ,SUPPORTED,LEAD,LEAD,LEAD,BRAK,LEAD,0,D-29..D-31
EE,SUPPORTED,LEAD,CONFIRMED,LEAD,CONFIRMED,LEAD,2,D-29..D-31
EG,SUPPORTED,LEAD,LEAD,LEAD,BRAK,BRAK,0,D-29..D-31
ES,CORE,CONFIRMED,LEAD,CONFIRMED,CONFIRMED,LEAD,3,D-29..D-31
FI,CORE,CONFIRMED,CONFIRMED,CONFIRMED,BRAK,LEAD,3,D-29..D-31
FR,CORE,LEAD,CONFIRMED,CONFIRMED,BRAK,LEAD,2,D-29..D-31
GB,CORE,CONFIRMED,CONFIRMED,CONFIRMED,BRAK,LEAD,3,D-29..D-31
GH,SUPPORTED,LEAD,LEAD,LEAD,BRAK,LEAD,0,D-29..D-31
GR,SUPPORTED,LEAD,CONFIRMED,CONFIRMED,BRAK,BRAK,2,D-29..D-31
HK,SUPPORTED,LEAD,LEAD,LEAD,BRAK,LEAD,0,D-29..D-31
HR,SUPPORTED,LEAD,CONFIRMED,LEAD,CONFIRMED,LEAD,2,D-29..D-31
HU,SUPPORTED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,LEAD,4,D-29..D-31
ID,SUPPORTED,LEAD,LEAD,LEAD,BRAK,BRAK,0,D-29..D-31
IE,CORE,LEAD,CONFIRMED,LEAD,BRAK,LEAD,1,D-29..D-31
IL,SUPPORTED,LEAD,LEAD,BRAK,BRAK,LEAD,0,D-29..D-31
IN,SUPPORTED,LEAD,LEAD,LEAD,BRAK,BRAK,0,D-29..D-31
