ean,roles,product,v7_markets,confirmed_markets,confirmed,not_confirmed,a04_status,rcn
8588006139983,DEXTROSE,"Декстроза - GymBeam, bez dodatków smakowych",7,6,CZ(CCTLD/RAW_HTML);HR(CCTLD/RAW_HTML);HU(CCTLD/RAW_HTML);RO(CCTLD/RAW_HTML);SI(CCTLD/RAW_HTML);SK(CCTLD/RAW_HTML),BG:SOURCE_NOT_READABLE,CONFIRMED_MULTI_COUNTRY,NO
5709286720064,DEXTROSE,Urtegaarden Druesukker 500 g,3,3,DK(CCTLD/RAW_HTML);NO(CCTLD/RAW_HTML);SE(CCTLD/RAW_HTML),,CONFIRMED_MULTI_COUNTRY,NO
4744130012590,DEXTROSE,"ICONFIT Dextro, czysta dekstroza w proszku",3,3,EE(CCTLD/RAW_HTML);LT(CCTLD/RAW_HTML);LV(CCTLD/RAW_HTML),,CONFIRMED_MULTI_COUNTRY,NO
8718907237888,CREAM,AH Slagroom houdbaar 30% 200 ml,2,2,BE(CCTLD/BROWSER_DOM);NL(CCTLD/BROWSER_DOM),,CONFIRMED_MULTI_COUNTRY,NO
5709310050303,MILK,"Arla Sødmælk 3,5% UHT 1 L",2,2,DK(CCTLD/RAW_HTML);SE(CCTLD/RAW_HTML),,CONFIRMED_MULTI_COUNTRY,NO
5900820000455,CREAM,Łaciata Śmietanka UHT 30% 500 ml,2,2,GB(PATH_LOCALE/RAW_HTML);IE(CCTLD/RAW_HTML),,CONFIRMED_MULTI_COUNTRY,NO
8585002501837,CREAM,Meggle Frișcă lichidă UHT 30%,2,2,HU(CCTLD/BROWSER_DOM);RO(CCTLD/RAW_HTML),,CONFIRMED_MULTI_COUNTRY,NO
3412290032215,CREAM,Paysan Breton La Crème Pâtisserie & Cuisine UHT 30%,9,1,KR(CURRENCY/RAW_HTML),AE:PAGE_WITHOUT_EAN;DZ:PAGE_WITHOUT_EAN;KW:PAGE_WITHOUT_EAN;QA:PAGE_WITHOUT_EAN;SA:PAGE_WITHOUT_EAN;SG:MARKET_PAGE_WITHOUT_EAN;TH:PAGE_WITHOUT_EAN;TN:PAGE_WITHOUT_EAN,ONE_MARKET_CONFIRMED,NO
5701215046375,CREAM,Emborg Natural Whipping Cream UHT 35.1% 200 ml,9,1,KE(CCTLD/RAW_HTML),GH:EAN_ON_GENERIC_TLD_PAGE;HK:MARKET_PAGE_WITHOUT_EAN;ID:EAN_ON_GENERIC_TLD_PAGE;MY:EAN_ON_GENERIC_TLD_PAGE;NG:EAN_ON_GENERIC_TLD_PAGE;PA:EAN_ON_GENERIC_TLD_PAGE;PH:EAN_ON_GENERIC_TLD_PAGE;VN:EAN_ON_GENERIC_TLD_PAGE,ONE_MARKET_CONFIRMED,NO
9317127061786,DEXTROSE,Lotus Glucose Powder (Dextrose) 500g,2,1,AU(CCTLD/RAW_HTML),NZ:EAN_ON_FOREIGN_MARKET_PAGE,ONE_MARKET_CONFIRMED,NO
