market_a,market_b,shared_confirmed_eans,n
BE,NL,8718907237888:CREAM,1
CZ,HR,8588006139983:DEXTROSE,1
CZ,HU,8588006139983:DEXTROSE,1
CZ,RO,8588006139983:DEXTROSE,1
CZ,SI,8588006139983:DEXTROSE,1
CZ,SK,8588006139983:DEXTROSE,1
DK,NO,5709286720064:DEXTROSE,1
DK,SE,5709310050303:MILK;5709286720064:DEXTROSE,2
EE,LT,4744130012590:DEXTROSE,1
EE,LV,4744130012590:DEXTROSE,1
GB,IE,5900820000455:CREAM,1
HR,HU,8588006139983:DEXTROSE,1
HR,RO,8588006139983:DEXTROSE,1
HR,SI,8588006139983:DEXTROSE,1
HR,SK,8588006139983:DEXTROSE,1
HU,RO,8588006139983:DEXTROSE;8585002501837:CREAM,2
HU,SI,8588006139983:DEXTROSE,1
HU,SK,8588006139983:DEXTROSE,1
LT,LV,4744130012590:DEXTROSE,1
NO,SE,5709286720064:DEXTROSE,1
RO,SI,8588006139983:DEXTROSE,1
RO,SK,8588006139983:DEXTROSE,1
SI,SK,8588006139983:DEXTROSE,1
