iso2,priority,region,role,grams,pi_ing,pi_in_2541,proposal_key,product,brand,pack,ean,ean_cell,gtin_checksum,rcn_range,gs1_prefix_registry,v7_status,source_domain,source_class_heuristic,source_url
AU,★★★★★,ANZ,MILK,672,PI-ING-000236,YES,MILK-GTIN-9300639500041,Devondale Full Cream Long Life Milk 1 L,Devondale,1 L,9300639500041,TEXT,OK,NO,AU,KANDYDAT_PR,devondale.com.au,DIRECT_SITE_UNCLASSIFIED,"https://www.devondale.com.au/en/products/milk/full-cream-long-life-milk
https://www.thedistributorscairns.com.au/product/DEVONDALE_FULL_CREAM_1LIT_MILK
https://www.jbmetro.com.au/1l-devondale-full-cream-milk-4848.html"
AU,★★★★★,ANZ,CREAM,130,PI-ING-000180,YES,CREAM-GTIN-9310036007296,Pauls Thickened Cream,Pauls,300 ml,9310036007296,TEXT,OK,NO,AU,KANDYDAT_PR,mylactalis.com.au,DIRECT_SITE_UNCLASSIFIED,"https://mylactalis.com.au/pauls-thickened-cream-300ml-regular
https://www.woolworths.com.au/shop/productdetails/90612/pauls-thickened-cream
https://www.coles.com.au/product/pauls-thickened-cream-300ml-110472"
AU,★★★★★,ANZ,SMP,35,PI-ING-000270,YES,SMP-GTIN-09300639999005,Devondale Instant Skim Milk Powder,Devondale,1 kg,9300639999005,TEXT,OK,NO,AU,KANDYDAT_PR,devondale.com.au,DIRECT_SITE_UNCLASSIFIED,"https://www.devondale.com.au/en/products/milk/skim-milk-powder
https://www.woolworths.com.au/shop/productdetails/750032/devondale-instant-skim-milk-powder-powder-uht
https://campbells.sorted.au/Open-Catalogue/PANTRY/LONG-LIFE-MILK/LONG-LIFE-POWDERED-MILK/SKIM-MILK-POWDERED/D-DALE-MILK-SKIM-INST-PDR-1KG/p/C1000003583"
AU,★★★★★,ANZ,SUCROSE,130,PI-ING-000514,YES,GENERIC-SUCROSE,Biały cukier krystaliczny — 100% cukier,GENERIC,dowolne opakowanie,,,,,,READY_PI,,NO_URL,PI-ING-000514
AU,★★★★★,ANZ,DEXTROSE,30,PI-ING-000494,YES,DEX-GTIN-09317127061786,Lotus Glucose Powder (Dextrose) 500g,Lotus,500 g,9317127061786,TEXT,OK,NO,AU,KANDYDAT_PR,kadac.com.au,DIRECT_SITE_UNCLASSIFIED,"https://www.kadac.com.au/browser/product.php?sku=6178
https://wholesomemarket.com.au/lotus-glucose-powder-dextrose-500g/
https://wholesomemarket.com.au/lotus-glucose-powder-dextrose-500g/
https://ecotraders.com.au/products/lotus-glucose-powder-dextrose
https://ecotraders.com.au/cdn/shop/files/lotus-glucose-powder-dextrose--6178--rear.jpg?v=1785309893&width=1600"
AU,★★★★★,ANZ,TARA,3,PI-ING-000492,YES,TARA-GTIN-08055728540170,Tara Gum 50gr. / Gomma di Tara E417,SaporePuro,50 g,8055728540170,TEXT,OK,NO,IT,KANDYDAT_PR,bakingwarehouse.com,DIRECT_SITE_UNCLASSIFIED,"https://bakingwarehouse.com/products/tara-gum-50gr-saporepuro
https://bakingwarehouse.com/pages/worldwide-shipping
https://saporepuro.myshopify.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1
https://saporepuro.myshopify.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1.json
https://saporepuro.myshopify.com/cdn/shop/files/TDS_GOMMA_DI_TARA_SAPOREPURO_7ba2d8ce-553c-4b18-8d0a-b511a78af3f0.pdf?v=6266750854494086058
https://www.melbournefooddepot.com/buy/tara-gum-powder-120g/F05064
https://saporepuro.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1.json"
AT,★★★★★,EU27,MILK,672,PI-ING-000236,YES,MILK-GTIN-9066000164907,"Schärdinger Vollmilch 3,5% ESL 1 L",Schärdinger,1 L carton,9066000164907,TEXT,OK,NO,AT,KANDYDAT_PR,dokumente.kastner.at,DIRECT_SITE_UNCLASSIFIED,"https://dokumente.kastner.at/lmiv/kastner/222821.pdf
https://shop.kastner.at/222821.html
https://www.spar.at/produktwelt/schaerdinger-vollmilch-3-5-p7715600"
AT,★★★★★,EU27,CREAM,130,PI-ING-000180,YES,CREAM-GTIN-9066000864401,Alpiland H-Schlagrahm 30% 1 L,Alpiland,1 L,9066000864401,TEXT,OK,NO,AT,KANDYDAT_PR,shop.kastner.at,DIRECT_SITE_UNCLASSIFIED,"https://shop.kastner.at/222148.html
https://dokumente.kastner.at/lmiv/kastner/222148.pdf"
AT,★★★★★,EU27,SMP,35,PI-ING-000270,YES,SMP-AT-SKU,Wild Thing Magermilchpulver 500 g,Wild Thing,500 g,,,,,,WYMAGA_GTIN,trinklusiv.at,DIRECT_SITE_UNCLASSIFIED,"https://trinklusiv.at/products/wild-thing-magermilchpulver-500-g
https://www.kaffee-welt24.de/wild-thing-100-agglomeriertes-magermilchpulver-500g
https://www.wildberger.at/premium-fuellprodukte/milchprodukte
https://www.jurastore.at/produkt/wild-thing-magermilchpulver"
AT,★★★★★,EU27,SUCROSE,130,PI-ING-000514,YES,GENERIC-SUCROSE,Biały cukier krystaliczny — 100% cukier,GENERIC,dowolne opakowanie,,,,,,READY_PI,,NO_URL,PI-ING-000514
AT,★★★★★,EU27,DEXTROSE,30,PI-ING-000494,YES,DEX-GTIN-04250573301738,Dextrose monohydrat Pulver 5 kg,Golden Peanut,5 kg wiadro,4250573301738,TEXT,OK,NO,DE,KANDYDAT_PR,golden-peanut.de,DIRECT_SITE_UNCLASSIFIED,"https://www.golden-peanut.de/Dextrose-monohydrat-Pulver/11135-01
https://www.golden-peanut.de/versand-und-zahlungsbedingungen"
AT,★★★★★,EU27,TARA,3,PI-ING-000492,YES,TARA-GTIN-08055728540170,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,SaporePuro,50 g,8055728540170,TEXT,OK,NO,IT,KANDYDAT_PR,saporepuro.com,DIRECT_SITE_UNCLASSIFIED,"https://saporepuro.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1
https://saporepuro.com/cdn/shop/files/TDS_GOMMA_DI_TARA_SAPOREPURO_7ba2d8ce-553c-4b18-8d0a-b511a78af3f0.pdf?v=6266750854494086058
https://saporepuro.com/policies/shipping-policy
https://saporepuro.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1.json"
BE,★★★★★,EU27,MILK,672,PI-ING-000236,YES,MILK-GTIN-54025059,Inex Lait entier UHT 1 L PET (art. 6013),Inex,1 L PET bottle; case 6 x 1 L,54025059,TEXT,OK,NO,EAN-8,KANDYDAT_PR,bruyerre.be,DIRECT_SITE_UNCLASSIFIED,"https://www.bruyerre.be/en/shop/00074227-inex-6013-whole-milk-uht-pet-6-x-1l-167269/document/27519
https://www.orestofoodpartners.be/fr/lait-entier-inex-bouteille-en-plastique-1l/p17479?c=130
https://www.inex.be/en/inex_product_category/milk/"
BE,★★★★★,EU27,CREAM,130,PI-ING-000180,YES,CREAM-GTIN-8718907237888,AH Slagroom houdbaar 30% 200 ml,AH,200 ml,8718907237888,TEXT,OK,NO,NL,KANDYDAT_PR,ah.be,DIRECT_SITE_UNCLASSIFIED,https://www.ah.be/producten/product/wi34471/ah-slagroom-houdbaar
BE,★★★★★,EU27,SMP,35,PI-ING-000270,YES,SMP-GTIN-03245413563040,Carrefour Classic' Lait Écrémé en Poudre 750 g,Carrefour Classic',"750 g; 7,5 l mleka po odtworzeniu",3245413563040,TEXT,OK,NO,FR,WYMAGA_ETYKIETY,carrefour.be,DIRECT_SITE_UNCLASSIFIED,"https://www.carrefour.be/fr/classic-lait-ecreme-en-poudre-7.5-l/07132606.html
https://www.carrefour.fr/p/lait-ecreme-en-poudre-carrefour-classic-3245413563040"
BE,★★★★★,EU27,SUCROSE,130,PI-ING-000514,YES,GENERIC-SUCROSE,Biały cukier krystaliczny — 100% cukier,GENERIC,dowolne opakowanie,,,,,,READY_PI,,NO_URL,PI-ING-000514
BE,★★★★★,EU27,DEXTROSE,30,PI-ING-000494,YES,DEX-BE-PRODUCT,Glucopur 250 g (5 × 50 g),Revogan,5 × 50 g,,,,,,WYMAGA_GTIN,webshop.revogan.be,DIRECT_SITE_UNCLASSIFIED,"https://webshop.revogan.be/en/shop/1204-glucopur-250g-5x50g-14864
https://webshop.revogan.be/attachment/download?attachment_id=699278"
BE,★★★★★,EU27,TARA,3,PI-ING-000492,YES,TARA-GTIN-08055728540170,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,SaporePuro,50 g,8055728540170,TEXT,OK,NO,IT,KANDYDAT_PR,saporepuro.com,DIRECT_SITE_UNCLASSIFIED,"https://saporepuro.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1
https://saporepuro.com/cdn/shop/files/TDS_GOMMA_DI_TARA_SAPOREPURO_7ba2d8ce-553c-4b18-8d0a-b511a78af3f0.pdf?v=6266750854494086058
https://saporepuro.com/policies/shipping-policy
https://saporepuro.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1.json"
DK,★★★★★,EU27,MILK,672,PI-ING-000236,YES,MILK-GTIN-5709310050303,"Arla Sødmælk 3,5% UHT 1 L",Arla,1 L carton with screw cap,5709310050303,TEXT,OK,NO,DK,KANDYDAT_PR,danfoods.dk,DIRECT_SITE_UNCLASSIFIED,"https://danfoods.dk/wp-content/uploads/data-sheets/700000/700000%20S%C3%98DM%C3%86LK%20UHT%20ARLA%201L%2088508.pdf
https://ebberup.spar.dk/produkter/arla-s%C3%B8dm%C3%A6lk-3%2C5%25-uht-5709310050303
https://www.sartorvet.com/sodmaelk-uht1-10-x-lt.html"
DK,★★★★★,EU27,CREAM,130,PI-ING-000180,YES,CREAM-GTIN-5711953069291,Arla Piskefløde 35% UHT 200 ml,Arla,200 ml,5711953069291,TEXT,OK,NO,DK,KANDYDAT_PR,arla.dk,DIRECT_SITE_UNCLASSIFIED,"https://www.arla.dk/produkter/arla/piskeflode-64625/
https://onlinebutikken.com/vare/piskefloede-35-uht
https://naestved.meny.dk/produkter/arla-piskefl%C3%B8de-36%25-uht-5711953069291"
DK,★★★★★,EU27,SMP,35,PI-ING-000270,YES,SMP-GTIN-05703161691012,EASIS Skummetmælkspulver 200 g,EASIS,200 g,5703161691012,TEXT,OK,NO,DK,KANDYDAT_PR,easis.dk,DIRECT_SITE_UNCLASSIFIED,"https://easis.dk/products/easis-skummetmaelkspulver
https://www.bilkatogo.dk/produkt/easis-skummetmaelkspulver/16936/
https://www.mitliv.dk/easis-skummetmaelkspulver-200-g/"
DK,★★★★★,EU27,SUCROSE,130,PI-ING-000514,YES,GENERIC-SUCROSE,Biały cukier krystaliczny — 100% cukier,GENERIC,dowolne opakowanie,,,,,,READY_PI,,NO_URL,PI-ING-000514
DK,★★★★★,EU27,DEXTROSE,30,PI-ING-000494,YES,DEX-GTIN-05709286720064,Urtegaarden Druesukker 500 g,Urtegaarden,500 g,5709286720064,TEXT,OK,NO,DK,WYMAGA_ETYKIETY,helsebixen.dk,DIRECT_SITE_UNCLASSIFIED,"https://www.helsebixen.dk/shop/urtegaarden-druesukker.html
https://www.med24.dk/mad-og-drikke/madvarer/sukker-sirup-honning-mm/druesukker/urtegaarden-druesukker-500-g
https://www.cchobby.dk/druesukker-500-g-1-ps"
DK,★★★★★,EU27,TARA,3,PI-ING-000492,YES,TARA-DK-PRODUCT,Gum tara 1 kg,Louis François,1 kg,,,,,,WYMAGA_ETYKIETY,condi.dk,DIRECT_SITE_UNCLASSIFIED,"https://condi.dk/da/tilsaetningsstoffer/gum-tara-1-kg
https://condi.dk/da/om-condi/levering
https://www.bienmanger.com/2F36603_Tara_Gum_E417_Louis_Francois.html"
FI,★★★★★,EU27,MILK,672,PI-ING-000236,YES,MILK-GTIN-6408430000135,Valio täysmaito suomalaisilta maitotiloilta 1 L,Valio,1 L carton,6408430000135,TEXT,OK,NO,FI,KANDYDAT_PR,valio.fi,DIRECT_SITE_UNCLASSIFIED,"https://www.valio.fi/tuotteet/valio-taysmaito-suomalaisilta-maitotiloilta/
https://www.k-ruoka.fi/kauppa/tuote/valio-taysmaito-suomal-maitotil-1l-6408430000135"
FI,★★★★★,EU27,CREAM,130,PI-ING-000180,YES,CREAM-GTIN-6413300015225,Arla Lempi Kuohukerma luomu 35% 2 dl,Arla Lempi,200 ml,6413300015225,TEXT,OK,NO,FI,KANDYDAT_PR,s-kaupat.fi,DIRECT_SITE_UNCLASSIFIED,"https://www.s-kaupat.fi/tuote/arla-lempi-kuohukerma-luomu-2-dl/6413300015225
https://www.arla.fi/tuotteet/arla-lempi/kuohukerma-luomu-2dl-652156/"
