iso2,role,ean,url,html_available,jsonld_nutrition,ingredients_on_page,ingredients_snippet,energy_on_page,fat_on_page
AU,MILK,9300639500041,https://www.thedistributorscairns.com.au/product/DEVONDALE_FULL_CREAM_1LIT_MILK,YES,NO,NO,,NO,NO
AU,DEXTROSE,9317127061786,https://www.kadac.com.au/browser/product.php?sku=6178,YES,NO,YES,Ingredients --> Dextrose Monohydrate (Glucose) 100% May Contain Sulpites --> Pricing RRP (inc GST) $ 5.39 GST (GST Free) Line Total $ 0.00 --> Lotus Glucose Powder (Dextrose) 500g Description Lotus Gl,NO,NO
AT,MILK,9066000164907,https://dokumente.kastner.at/lmiv/kastner/222821.pdf,YES,NO,NO,,NO,NO
AT,CREAM,9066000864401,https://shop.kastner.at/222148.html,YES,NO,YES,zutaten Bier Dessertprodukte Essig & Öl Gewürze & Salz Heißgetränke Kindernahrung Knabbergebäck Konserven & Sauergemüse Mineralwasser Mühlenprodukte Müsli & Cerealien Nahrungsergänzungsmittel Reis & H,NO,NO
BE,MILK,54025059,https://www.bruyerre.be/en/shop/00074227-inex-6013-whole-milk-uht-pet-6-x-1l-167269/document/27519,YES,NO,NO,,NO,NO
BE,CREAM,8718907237888,https://www.ah.be/producten/product/wi34471/ah-slagroom-houdbaar,NO (browser evidence; re-fetch needed),,,,,
DK,MILK,5709310050303,https://danfoods.dk/wp-content/uploads/data-sheets/700000/700000%20S%C3%98DM%C3%86LK%20UHT%20ARLA%201L%2088508.pdf,YES,NO,NO,,NO,NO
DK,CREAM,5711953069291,https://www.arla.dk/produkter/arla/piskeflode-64625/,YES,NO,YES,"Ingredienser Ingredienser: FLØDE, stabilisator (E407). Allergener indeholder: M&#xE6;lk og produkter p&#xE5; basis af m&#xE6;lk Ern&#xE6;ringsv&#xE6;rdier Energi pr. 100 g 1393 kJ / 338 Kcal Fedt pr. ",YES,YES
DK,DEXTROSE,5709286720064,https://www.helsebixen.dk/shop/urtegaarden-druesukker.html,YES,NO,YES,"Ingredienser Monosakkarid, indeholder min. 99,5% dextrose OBS: Der kan forekomme mindre afvigelser mellem ovenstående indhold og den indholdsdeklaration, der fremgår af den vare, du modtager fra Helse",YES,YES
FI,MILK,6408430000135,https://www.valio.fi/tuotteet/valio-taysmaito-suomalaisilta-maitotiloilta/,YES,NO,YES,"Ainesosat Maito *, D-vitamiini. * Allergioita tai intoleransseja aiheuttavat aineet korostettu Säilytystiedot Säilytettävä valolta suojattuna 0–+6 °C:ssa. Säilyy avattuna jääkaapissa 3–4 päivää. Alkup",YES,YES
FI,CREAM,6413300015225,https://www.s-kaupat.fi/tuote/arla-lempi-kuohukerma-luomu-2-dl/6413300015225,NO (browser evidence; re-fetch needed),,,,,
FI,SMP,6408430840625,https://www.valioaimo.fi/ammattilaistuotteet/valio-rasvaton-maitojauhe-instant/,YES,NO,YES,"Ainesosat rasvaton maito *, emulgointiaine (rypsilesitiini), D-vitamiini. * Allergioita tai intoleransseja aiheuttavat aineet korostettu Säilytystiedot Säilytetään suljettuna kuivassa paikassa ja huon",YES,YES
FR,CREAM,3451790256745,https://www.auchan.fr/elle-vire-creme-fluide-entiere-30-mg-uht/pr-C1178091,YES,NO,NO,,YES,NO
FR,SMP,3043934232700,https://www.auchan.fr/regilait-lait-ecreme-en-poudre/pr-C1274757,YES,NO,NO,,YES,NO
