iso2,priority,region,role,grams,pi_ing,proposal_key,v7_status,requirement_code,requirement,product,brand,pack,ean,v7_market_evidence,v7_technical_fit,v7_deviation,v7_activation_condition,v7_message,final_pr_id,a04_evidence_class,a04_verification_class,a04_best_url
AU,★★★★★,ANZ,MILK,672,PI-ING-000236,MILK-GTIN-9300639500041,KANDYDAT_PR,VERIFY_CANDIDATE,"EAN printed on a page serving this market + label facts (ingredients, nutrition) from manufacturer/retailer",Devondale Full Cream Long Life Milk 1 L,Devondale,1 L,9300639500041,"Producent podaje pełną deklarację w kolumnie na 100 ml. Krajowi dystrybutorzy potwierdzają jednostkowy EAN 9300639500041, opakowanie 1 L i ofertę australijską. Sód 50 mg/100 ml przeliczono na sól 0,125 g. Zachowano jawnie deklarowaną kolumnę 100 ml; nie odtwarzano jej z zaokrąglonej kolumny porcji 250 ml.",WŁASNY PROFIL PR — przeliczenie z rzeczywistej etykiety,-0.10000000000000009,Dane kompletne. Końcowy PR poza Mapperem według istniejącej konwencji.,"Coles zastąpiono lepiej udokumentowanym Devondale o bliskiej zawartości tłuszczu 3,4%.",AUTO PO AKCEPTACJI,CONFIRMED,EAN_ON_MARKET_PAGE,https://www.thedistributorscairns.com.au/product/DEVONDALE_FULL_CREAM_1LIT_MILK
AU,★★★★★,ANZ,CREAM,130,PI-ING-000180,CREAM-GTIN-9310036007296,KANDYDAT_PR,VERIFY_CANDIDATE,"EAN printed on a page serving this market + label facts (ingredients, nutrition) from manufacturer/retailer",Pauls Thickened Cream,Pauls,300 ml,9310036007296,"MyLactalis manufacturer catalogue identifies Pauls Thickened Cream 300 ml with GTIN 9310036007296. Woolworths exact 300 ml page publishes all seven nutrition fields per 100 ml, ingredients and Australian origin; Coles independently lists this pack locally.",WŁASNY PROFIL PR — rzeczywista etykieta,5.399999999999999,Dane kompletne. Końcowy PR poza Mapperem według istniejącej konwencji.,Actual nutrition fat is 35.4 g/100 ml. Sodium 29 mg × 2.5 / 1000 = 0.0725 g salt. Energy converted from declared 1410 kJ / 4.184; no borrowed cream profile.,AUTO PO AKCEPTACJI,LEAD,MARKET_PAGE_WITHOUT_EAN,https://mylactalis.com.au/pauls-thickened-cream-300ml-regular
AU,★★★★★,ANZ,SMP,35,PI-ING-000270,SMP-GTIN-09300639999005,KANDYDAT_PR,VERIFY_CANDIDATE,"EAN printed on a page serving this market + label facts (ingredients, nutrition) from manufacturer/retailer",Devondale Instant Skim Milk Powder,Devondale,1 kg,9300639999005,"Woolworths: tabela per 100 g zawiera 1455 kJ,  B 36,3,  T 0,9,  NKT 0,56,  W 50,3,  cukry 50,3,  sód 428 mg; Campbells potwierdza GTIN 9300639999005,  1 kg x 8. Producent potwierdza skim milk.",Własny profil SMP — Engine przelicza rzeczywiste dane i jawne estymacje,0.09999999999999998,"błonnik: PI-ING-000270 (0 /100 g). Etykieta detalisty dla suchego proszku; tabela producenta po odtworzeniu ma inny profil. Zweryfikować fizyczną partię,  jeśli ścisła zgodność niezbędna.","Nie używać 37 kcal/100 ml z tabeli producenta jako wartości suchego proszku. Kcal przeliczone z kJ /4,184; sól = sód mg ×0,0025. Odrzucono sprzeczną porcję 35 g od Simplevitamins (najpewniej pełnotłusta instrukcja).",AUTO PO AKCEPTACJI,LEAD,MARKET_PAGE_WITHOUT_EAN,https://www.devondale.com.au/en/products/milk/skim-milk-powder
AU,★★★★★,ANZ,DEXTROSE,30,PI-ING-000494,DEX-GTIN-09317127061786,KANDYDAT_PR,VERIFY_CANDIDATE,"EAN printed on a page serving this market + label facts (ingredients, nutrition) from manufacturer/retailer",Lotus Glucose Powder (Dextrose) 500g,Lotus,500 g,9317127061786,Oficjalny skład Kadac: Dextrose Monohydrate (Glucose) 100%.,Postać monohydrat; NIP i model aktywności osobno,0,"Całe8pól z etykiety/TDS. MODEL PI: 90,9g aktywnej dekstrozy +9,1g wody/100g; nie jest pomiarem partii. Czystość suchej masy i zaokrąglone cukry NIP nie zastępują CoA. NIP źródeł jest sprzeczna: zdjęcie500g podaje97g węglowodanów/90g cukrów i1630kJ; WholesomeMarket91,5g/91,5g i1531(jednostka pominięta). Zachowano odczyt etykiety, bez uznawania97g za aktywną dekstrozę. Monohydrat potwierdzony składem; przed ostateczną formulacją potwierdzić aktualny NIP i COA.",Kod 500 g potwierdzony. 1 kg posiada odrębny EAN 9317127003663; nie mieszać wariantów.,AUTO PO AKCEPTACJI,CONFIRMED,EAN_ON_MARKET_PAGE,https://www.kadac.com.au/browser/product.php?sku=6178
AU,★★★★★,ANZ,TARA,3,PI-ING-000492,TARA-GTIN-08055728540170,KANDYDAT_PR,VERIFY_CANDIDATE,"EAN printed on a page serving this market + label facts (ingredients, nutrition) from manufacturer/retailer",Tara Gum 50gr. / Gomma di Tara E417,SaporePuro,50 g,8055728540170,"IMPORT; TDS rev. 17/07/2026, pages 1–2 food identity/allergens/origin, p10 nutrition and physical data, pp11–12 allergen matrix. Manufacturer public product JSON maps 50gr variant 48245876949339 to SPGT50 and barcode 8055728540170. Distributor lists 50g and Add to cart. TDS values are product-wide specifications, not a lot COA.","Energia źródła, jeśli dostępna; brakujące pola z PI. Nie narzucano zgodności różnych konwencji znakowania.",0,"Wszystkie 8 pól z etykiety/TDS lub jawnego przeliczenia porcji/sodu/błonnika. Aktywność względna=1 wyłącznie MODEL PI, nie oznaczenie handlowej partii. Dawka odniesienia 3 g/1000 g (0,3%) bez automatycznego skalowania. Lepkość ani 100% składnika nie oznaczają 100% galaktomannanu. Woda z TDS: 7 g/100 g; TDS moisture 7%, no inequality printed. IMPORT from Hong Kong; Australia explicitly listed in BakingWarehouse international tariff table. Final order freight/import clearance pending.",Replaced local Melbourne Food Depot 120g F05064 because supplier currently marks it SOLD OUT. Selected separately documented SaporePuro food-grade E417 50g with explicit Australia shipping. Uploaded Melbourne EAN 9348881005703 was not verified and is not transferred; SaporePuro manufacturer 50g variant confirms EAN 8055728540170. AKTUALIZACJA: oficjalny JSON producenta potwierdza dla 50 g SKU SPGT50 i EAN 8055728540170; poprzedni brak identyfikatora zamknięty.,AUTO PO AKCEPTACJI,LEAD,EAN_ON_GENERIC_TLD_PAGE,https://saporepuro.myshopify.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1
AT,★★★★★,EU27,MILK,672,PI-ING-000236,MILK-GTIN-9066000164907,KANDYDAT_PR,VERIFY_CANDIDATE,"EAN printed on a page serving this market + label facts (ingredients, nutrition) from manufacturer/retailer","Schärdinger Vollmilch 3,5% ESL 1 L",Schärdinger,1 L carton,9066000164907,"Karta LMIV KASTNER z 01.08.2026, s.1–2: jednostkowy GTIN 9066000164907, 1 L, dostawca Berglandmilch, Austria, cały profil odżywczy w 100 ml. SPAR: ten sam produkt ESL 3,5% 1 L, dostępność i zgodny profil.",WŁASNY PROFIL PR — przeliczenie z rzeczywistej etykiety,0,Dane kompletne. Końcowy PR poza Mapperem według istniejącej konwencji.,Zamiana nieidentyfikowanego kandydata na jednoznacznie zidentyfikowane Schärdinger 1 L; GTIN jednostkowy oddzielony od kartonu 12 szt. i palety.,AUTO PO AKCEPTACJI,CONFIRMED,EAN_ON_MARKET_PAGE,https://dokumente.kastner.at/lmiv/kastner/222821.pdf
AT,★★★★★,EU27,CREAM,130,PI-ING-000180,CREAM-GTIN-9066000864401,KANDYDAT_PR,VERIFY_CANDIDATE,"EAN printed on a page serving this market + label facts (ingredients, nutrition) from manufacturer/retailer",Alpiland H-Schlagrahm 30% 1 L,Alpiland,1 L,9066000864401,"Kastner Austria local product card exact 1 L. Supplier LMIV PDF dated30.04.2025 explicitly GTIN9066000864401 for base unit, manufacturer Austria, full7 per100ml; salt80milligram (salt, not sodium). CaseGTIN9066000864425 excluded. Sól z etykiety podana w mg; w arkuszu przeliczeń przeliczona na g.",WŁASNY PROFIL PR — rzeczywista etykieta,0,Dane kompletne. Końcowy PR poza Mapperem według istniejącej konwencji.,Replaces unsupported Oldenburger local assignment; exact30%. Declared80mg salt/100ml converted to0.08g. Preserve producer293kcal.,AUTO PO AKCEPTACJI,CONFIRMED,EAN_ON_MARKET_PAGE,https://shop.kastner.at/222148.html
AT,★★★★★,EU27,SMP,35,PI-ING-000270,SMP-AT-SKU,WYMAGA_GTIN,GTIN_MISSING,barcode not established for the chosen pack — label photo or market page printing the GTIN,Wild Thing Magermilchpulver 500 g,Wild Thing,500 g,,"Lokalny sklep AT potwierdza produkt500g; sklep DE publikuje pełną tabelę na100g proszku. Oficjalny producent Wildberger i austriacki JURA Store potwierdzają Art.Nr.20645080. HTML Trinklusiv podaje kod4262469050382, lecz nie przechodzi on walidacjiEAN13, więc nie został przyjęty.",Własny profil SMP — Engine przelicza rzeczywiste dane i jawne estymacje,0,Wszystkie pola pochodzą z etykiety; przeliczenie masy porcji i sodu nie jest estymacją. B2B; producent potwierdza SKU20645080. Kod GTIN4262469050382 podany przez Trinklusiv ma błędną cyfrę kontrolną i został odrzucony. Brak GTIN; użyto identyfikatora SKU/TDS.,"Wybrano prawdziwe SMP 0,8%, bez składników zabielacza.",AUTO PO AKCEPTACJI,BRAK,NO_EAN_IN_V7,https://trinklusiv.at/products/wild-thing-magermilchpulver-500-g
AT,★★★★★,EU27,DEXTROSE,30,PI-ING-000494,DEX-GTIN-04250573301738,KANDYDAT_PR,VERIFY_CANDIDATE,"EAN printed on a page serving this market + label facts (ingredients, nutrition) from manufacturer/retailer",Dextrose monohydrat Pulver 5 kg,Golden Peanut,5 kg wiadro,4250573301738,"Oficjalna karta producenta dla SKU11135-01 i5kg:100% monohydrat, bez dodatków, przeznaczony do żywności; tabela unzubereitet pro100g.",Postać monohydrat; NIP i model aktywności osobno,0,"Całe8pól z etykiety/TDS. MODEL PI: 90,9g aktywnej dekstrozy +9,1g wody/100g; nie jest pomiarem partii. Czystość suchej masy i zaokrąglone cukry NIP nie zastępują CoA. Import detaliczny z Niemiec; producent potwierdza wysyłkę do Austrii.","Wybrano czysty GoldenPeanut5kg z potwierdzoną dostawą do Austrii. LokalnyReingold3703824 potwierdza mono, ale karta Transgourmet zawiera nierozstrzygniętą sól~1,13g/100g; nie przyjęto jej do profilu.",AUTO PO AKCEPTACJI,LEAD,EAN_ON_FOREIGN_MARKET_PAGE,https://www.golden-peanut.de/Dextrose-monohydrat-Pulver/11135-01
AT,★★★★★,EU27,TARA,3,PI-ING-000492,TARA-GTIN-08055728540170,KANDYDAT_PR,VERIFY_CANDIDATE,"EAN printed on a page serving this market + label facts (ingredients, nutrition) from manufacturer/retailer",SaporePuro Farina di Semi di Tara / Gomma di Tara E417,SaporePuro,50 g,8055728540170,"IMPORT; Zweryfikowano08.09.2026. TDS producenta rew.17.07.2026: skład/pochodzenie/alergeny na s.1–2; wartości odżywcze na100g i wilgotność na s.10; matryca alergenów na s.11–12. Pełne wartości odżywcze z jednej aktualnej TDS. Dostępność kraju oparta na jawnej polityce dostaw UE/UK/CH, nie na samej domenie ani ogólnym zasięgu marki.","Energia źródła, jeśli dostępna; brakujące pola z PI. Nie narzucano zgodności różnych konwencji znakowania.",0,"Wszystkie 8 pól z etykiety/TDS lub jawnego przeliczenia porcji/sodu/błonnika. Aktywność względna=1 wyłącznie MODEL PI, nie oznaczenie handlowej partii. Dawka odniesienia 3 g/1000 g (0,3%) bez automatycznego skalowania. Lepkość ani 100% składnika nie oznaczają 100% galaktomannanu. Woda z TDS: 7 g/100 g; W TDS wilgotność7% jako wartość referencyjna, nie pomiar partii; strona sklepu podaje<9,11%, co pozostaje odnotowaną rozbieżnością źródeł. IMPORT z Włoch. Sklep producenta oznacza wybrany wariant 50 g jako dostępny; polityka dostaw wprost obejmuje całą UE, w tym Austrii. Orientacyjny termin 3–7 dni roboczych; warunki dla adresu i zapas potwierdzić w checkout.",Wybrano jednoskładnikowy produkt z TDS; nie mieszać z SaporePuro Neutro zawierającym maltodekstrynę/tarę/guar. Nie przypisano kodu Sosa700g ani niepotwierdzonego kodu8052744883445 do SaporePuro50g. TDS ma pierwszeństwo przed rozbieżnymi danymi wilgotności/lepkości na stronie sklepu. AKTUALIZACJA: oficjalny JSON producenta potwierdza dla 50 g SKU SPGT50 i EAN 8055728540170; poprzedni brak identyfikatora zamknięty.,AUTO PO AKCEPTACJI,LEAD,EAN_ON_GENERIC_TLD_PAGE,https://saporepuro.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1
