market_iso2,country,priority,region,functional_slot,working_excel_grams,final_grams,pi_ing,pi_name_final,product_mode,stabilizer_type,consumer_term_local,v7_proposal_key,pr_final_id,brand,product_name,pack,ean_gtin,url_product,page_market,market_by,evidence_method,evidence_utc,evidence_class,selection_authority,eligible_for_customer_pdf,blocking_reason,next_step,identifier_confirmed,market_binding_confirmed,market_binding_signal,local_availability_confirmed
AE,United Arab Emirates,★★★★,GCC,MILK,672,AFTER_ENGINE_10_10 (D-27),PI-ING-000236,MILK · 3.5% FAT · Chilled,EXACT_PR,,,MILK-GTIN-6291030200032,,Al Rawabi,Al Rawabi Fresh Milk Full Cream 1 L,1 L,6291030200032,https://www.sharjahcoop.ae/en/al-rawabi-fresh-milk-full-cream-1-l/p/6291030200032,AE,CCTLD,RAW_HTML,2026-09-10T13:40:07Z,CONFIRMED,WORKING EXCEL v7 (incomplete) — awaiting Owner complete Excel (D-22),ONLY_IF_OWNER_EXCEL_KEEPS_THIS_PRODUCT,,OWNER_EXCEL_RECONCILIATION → LABEL FACTS → ENGINE 10/10,True,True,CCTLD,True
AE,United Arab Emirates,★★★★,GCC,CREAM,130,AFTER_ENGINE_10_10 (D-27),PI-ING-000180,CREAM 30% · Mlekovita Cream · Chilled,EXACT_PR,,,CREAM-GTIN-3412290032215,,Paysan Breton,Paysan Breton La Crème Pâtisserie & Cuisine UHT 30%,20 cl,3412290032215,https://bf1af2.akinoncloudcdn.com/products/2025/03/28/87485/697134c3-73cd-408b-8a68-2100017edff8_size1920_cropCenter.jpg,,,,,LEAD,WORKING EXCEL v7 (incomplete) — awaiting Owner complete Excel (D-22),NO,PAGE_WITHOUT_EAN,"AWAIT_OWNER_EXCEL (no SHOP gap-filling, D-23)",False,False,NONE,False
AE,United Arab Emirates,★★★★,GCC,SMP,35,AFTER_ENGINE_10_10 (D-27),PI-ING-000270,SKIMMED MILK POWDER · 0.8% FAT · Dairy · Dry,EXACT_PR,,,SMP-GTIN-03043931692415,,Régilait,Régilait Instant Skimmed Milk Powder 0% Fat,puszka 700 g,3043931692415,https://www.amazon.ae/REGILAIT-NON-SKIMD-MILK-700G/dp/B07NF7B1H6,,,,,LEAD,WORKING EXCEL v7 (incomplete) — awaiting Owner complete Excel (D-22),NO,EAN_ON_MARKETPLACE_MARKET_PAGE,"AWAIT_OWNER_EXCEL (no SHOP gap-filling, D-23)",False,True,CCTLD,False
AE,United Arab Emirates,★★★★,GCC,SUCROSE,130,AFTER_ENGINE_10_10 (D-27),PI-ING-000514,SUCROSE SUGAR · Sweetener · Dry,GLOBAL_PI_GENERIC,,SA10: en: granulated sugar (+sucrose/white sugar) | ar: سكروز,GENERIC-SUCROSE,,GENERIC,Biały cukier krystaliczny — 100% cukier,dowolne opakowanie,,,,,,,N/A_GENERIC,WORKING EXCEL v7 (incomplete) — awaiting Owner complete Excel (D-22),NO,NO_LOCAL_TERM_EVIDENCE,TERM_EVIDENCE_OR_OWNER_DECISION,False,False,NONE,False
AE,United Arab Emirates,★★★★,GCC,DEXTROSE,30,AFTER_ENGINE_10_10 (D-27),PI-ING-000494,DEXTROSE MONOHYDRATE · Sweetener · Dry,EXACT_PR,,,DEX-GTIN-06297001119785,,Trioxi,Trioxi Dextrose Monohydrate (Glucose-D) Natural Food Sweetener,1 kg,6297001119785,https://www.tricechemicals.com/food-and-beverage-chemicals-supplier-dubai-sharja-uae/food-and-beverages-sweeteners-trader-dubai-sharjah-uae/trioxi-dextrose-monohydrate-glucose-d-1kg,,,,,LEAD,WORKING EXCEL v7 (incomplete) — awaiting Owner complete Excel (D-22),NO,EAN_ON_GENERIC_TLD_PAGE,"AWAIT_OWNER_EXCEL (no SHOP gap-filling, D-23)",True,False,NONE,False
AE,United Arab Emirates,★★★★,GCC,STABILIZER,3,AFTER_ENGINE_10_10 (D-27),PI-ING-000492,TARA GUM · Stabilizer,EXACT_PR,TARA (as listed in v7),,TARA-MP-1508-50,,Modernist Pantry,Modernist Pantry Pure Tara Gum Powder,50 g,819543011967,https://modernistpantry.com/products/tara-gum.html,,,,,LEAD,WORKING EXCEL v7 (incomplete) — awaiting Owner complete Excel (D-22),NO,EAN_ON_GENERIC_TLD_PAGE,"AWAIT_OWNER_EXCEL (no SHOP gap-filling, D-23)",True,False,NONE,False
AR,Argentina,★★★★,LATAM_SOUTH_CONE,MILK,672,AFTER_ENGINE_10_10 (D-27),PI-ING-000236,MILK · 3.5% FAT · Chilled,EXACT_PR,,,MILK-AR-LASERENISIMA-30-1L,,La Serenísima,La Serenísima Leche Larga Vida Clásica 3% 1 L,1 L,7790742308801,https://www.coto.com.ar/productos/_/A-00253482-00253482-200/;,AR,CCTLD,BROWSER_DOM,2026-09-10T14:01Z,CONFIRMED,WORKING EXCEL v7 (incomplete) — awaiting Owner complete Excel (D-22),ONLY_IF_OWNER_EXCEL_KEEPS_THIS_PRODUCT,,OWNER_EXCEL_RECONCILIATION → LABEL FACTS → ENGINE 10/10,True,True,CCTLD,True
AR,Argentina,★★★★,LATAM_SOUTH_CONE,CREAM,130,AFTER_ENGINE_10_10 (D-27),PI-ING-000180,CREAM 30% · Mlekovita Cream · Chilled,EXACT_PR,,,CREAM-GTIN-7794820901670,,Milkaut,Milkaut Profesional Crema de Leche 39%,"5 l, sachet",7794820901670,https://www.cocinaconvalentino.com.ar/cremas-de-leche/17213-crema-de-leche-milkaut-sachet-x-5-lts-39-7794820901670.html,,,,,LEAD,WORKING EXCEL v7 (incomplete) — awaiting Owner complete Excel (D-22),NO,EAN_ONLY_ECHOED_FROM_URL_OR_QUERY,"AWAIT_OWNER_EXCEL (no SHOP gap-filling, D-23)",False,True,CCTLD,False
AR,Argentina,★★★★,LATAM_SOUTH_CONE,SMP,35,AFTER_ENGINE_10_10 (D-27),PI-ING-000270,SKIMMED MILK POWDER · 0.8% FAT · Dairy · Dry,EXACT_PR,,,SMP-GTIN-07790742436405,,La Serenísima,La Serenísima Leche en Polvo Liviana / Descremada Instantánea 400 g,400 g,7790742436405,https://www.jumbo.com.ar/leche-en-polvo-descremada-la-serenisima-400-gr/p,AR,CCTLD,RAW_HTML,2026-09-10T13:39:36Z,CONFIRMED,WORKING EXCEL v7 (incomplete) — awaiting Owner complete Excel (D-22),ONLY_IF_OWNER_EXCEL_KEEPS_THIS_PRODUCT,,OWNER_EXCEL_RECONCILIATION → LABEL FACTS → ENGINE 10/10,True,True,CCTLD,True
AR,Argentina,★★★★,LATAM_SOUTH_CONE,SUCROSE,130,AFTER_ENGINE_10_10 (D-27),PI-ING-000514,SUCROSE SUGAR · Sweetener · Dry,GLOBAL_PI_GENERIC,,SA10: es: azúcar blanco (+sacarosa),GENERIC-SUCROSE,,GENERIC,Biały cukier krystaliczny — 100% cukier,dowolne opakowanie,,,,,,,N/A_GENERIC,WORKING EXCEL v7 (incomplete) — awaiting Owner complete Excel (D-22),NO,NO_LOCAL_TERM_EVIDENCE,TERM_EVIDENCE_OR_OWNER_DECISION,False,False,NONE,False
