market,role,owner_status,grams_owner,pi_ing,pi_name_2541,s1_pi,pr_ing,s2_pr,brand,product,pack,ean,s3_identifier,s4_market,s5_source,s6_technical,s7_role_vs_2541,verdict,issues,s9_action,vs_baseline
AU,MILK,KANDYDAT_PR,672,PI-ING-000236,MILK · 3.5% FAT · Chilled,OK,AUTO PO AKCEPTACJI,PENDING_ASSIGNMENT,Devondale,Devondale Full Cream Long Life Milk 1 L,1 L,9300639500041,GTIN-13 (EAN-13),NOT_RUN,3 URL(s),base=TRUE engines=TRUE status=Estimated / PI Calculated,OK,OK,,NONE,
AU,CREAM,KANDYDAT_PR,130,PI-ING-000180,CREAM 30% · Mlekovita Cream · Chilled,OK,AUTO PO AKCEPTACJI,PENDING_ASSIGNMENT,Pauls,Pauls Thickened Cream,300 ml,9310036007296,GTIN-13 (EAN-13),NOT_RUN,3 URL(s),base=TRUE engines=TRUE status=Estimated / PI Calculated,OK,OK,,NONE,
AU,SMP,KANDYDAT_PR,35,PI-ING-000270,SKIMMED MILK POWDER · 0.8% FAT · Dairy · Dry,OK,AUTO PO AKCEPTACJI,PENDING_ASSIGNMENT,Devondale,Devondale Instant Skim Milk Powder,1 kg,9300639999005,GTIN-13 (EAN-13),NOT_RUN,3 URL(s),base=TRUE engines=TRUE status=Estimated / PI Calculated,OK,OK,,NONE,
AU,SUCROSE,READY_PI,130,PI-ING-000514,SUCROSE SUGAR · Sweetener · Dry,OK,NIE WYMAGANY,N/A_GLOBAL_PI,GENERIC,Biały cukier krystaliczny — 100% cukier,dowolne opakowanie,,NONE,NOT_RUN,N/A_GLOBAL_PI,base=TRUE engines=TRUE status=Verified,OK,OK,,NONE,
AU,DEXTROSE,KANDYDAT_PR,30,PI-ING-000494,DEXTROSE MONOHYDRATE · Sweetener · Dry,OK,AUTO PO AKCEPTACJI,PENDING_ASSIGNMENT,Lotus,Lotus Glucose Powder (Dextrose) 500g,500 g,9317127061786,GTIN-13 (EAN-13),NOT_RUN,5 URL(s),base=TRUE engines=TRUE status=Verified / Global Reference,OK,OK,,NONE,
AU,STABILIZER,KANDYDAT_PR,3,PI-ING-000492,TARA GUM · Stabilizer,OK,AUTO PO AKCEPTACJI,PENDING_ASSIGNMENT,SaporePuro,Tara Gum 50gr. / Gomma di Tara E417,50 g,8055728540170,GTIN-13 (EAN-13),NOT_RUN,7 URL(s),base=TRUE engines=TRUE status=Verified,OK,OK,,NONE,
AT,MILK,KANDYDAT_PR,672,PI-ING-000236,MILK · 3.5% FAT · Chilled,OK,AUTO PO AKCEPTACJI,PENDING_ASSIGNMENT,Schärdinger,"Schärdinger Vollmilch 3,5% ESL 1 L",1 L carton,9066000164907,GTIN-13 (EAN-13),NOT_RUN,3 URL(s),base=TRUE engines=TRUE status=Estimated / PI Calculated,OK,OK,,NONE,
AT,CREAM,KANDYDAT_PR,130,PI-ING-000180,CREAM 30% · Mlekovita Cream · Chilled,OK,AUTO PO AKCEPTACJI,PENDING_ASSIGNMENT,Alpiland,Alpiland H-Schlagrahm 30% 1 L,1 L,9066000864401,GTIN-13 (EAN-13),NOT_RUN,2 URL(s),base=TRUE engines=TRUE status=Estimated / PI Calculated,OK,OK,,NONE,
AT,SMP,WYMAGA_GTIN,35,PI-ING-000270,SKIMMED MILK POWDER · 0.8% FAT · Dairy · Dry,OK,AUTO PO AKCEPTACJI,PENDING_ASSIGNMENT,Wild Thing,Wild Thing Magermilchpulver 500 g,500 g,,NONE,NOT_RUN,4 URL(s),base=TRUE engines=TRUE status=Estimated / PI Calculated,OK,ISSUES,EAN:NONE,"REPORT_BACK_TO_OWNER (no substitution, D-26)",
AT,SUCROSE,READY_PI,130,PI-ING-000514,SUCROSE SUGAR · Sweetener · Dry,OK,NIE WYMAGANY,N/A_GLOBAL_PI,GENERIC,Biały cukier krystaliczny — 100% cukier,dowolne opakowanie,,NONE,NOT_RUN,N/A_GLOBAL_PI,base=TRUE engines=TRUE status=Verified,OK,OK,,NONE,
AT,DEXTROSE,KANDYDAT_PR,30,PI-ING-000494,DEXTROSE MONOHYDRATE · Sweetener · Dry,OK,AUTO PO AKCEPTACJI,PENDING_ASSIGNMENT,Golden Peanut,Dextrose monohydrat Pulver 5 kg,5 kg wiadro,4250573301738,GTIN-13 (EAN-13),NOT_RUN,2 URL(s),base=TRUE engines=TRUE status=Verified / Global Reference,OK,OK,,NONE,
AT,STABILIZER,KANDYDAT_PR,3,PI-ING-000492,TARA GUM · Stabilizer,OK,AUTO PO AKCEPTACJI,PENDING_ASSIGNMENT,SaporePuro,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,50 g,8055728540170,GTIN-13 (EAN-13),NOT_RUN,4 URL(s),base=TRUE engines=TRUE status=Verified,OK,OK,,NONE,
BE,MILK,KANDYDAT_PR,672,PI-ING-000236,MILK · 3.5% FAT · Chilled,OK,AUTO PO AKCEPTACJI,PENDING_ASSIGNMENT,Inex,Inex Lait entier UHT 1 L PET (art. 6013),1 L PET bottle; case 6 x 1 L,54025059,GTIN-8,NOT_RUN,3 URL(s),base=TRUE engines=TRUE status=Estimated / PI Calculated,OK,OK,,NONE,
BE,CREAM,KANDYDAT_PR,130,PI-ING-000180,CREAM 30% · Mlekovita Cream · Chilled,OK,AUTO PO AKCEPTACJI,PENDING_ASSIGNMENT,AH,AH Slagroom houdbaar 30% 200 ml,200 ml,8718907237888,GTIN-13 (EAN-13),NOT_RUN,1 URL(s),base=TRUE engines=TRUE status=Estimated / PI Calculated,OK,OK,,NONE,
BE,SMP,WYMAGA_ETYKIETY,35,PI-ING-000270,SKIMMED MILK POWDER · 0.8% FAT · Dairy · Dry,OK,AUTO PO AKCEPTACJI,PENDING_ASSIGNMENT,Carrefour Classic',Carrefour Classic' Lait Écrémé en Poudre 750 g,"750 g; 7,5 l mleka po odtworzeniu",3245413563040,GTIN-13 (EAN-13),NOT_RUN,2 URL(s),base=TRUE engines=TRUE status=Estimated / PI Calculated,OK,OK,,NONE,
BE,SUCROSE,READY_PI,130,PI-ING-000514,SUCROSE SUGAR · Sweetener · Dry,OK,NIE WYMAGANY,N/A_GLOBAL_PI,GENERIC,Biały cukier krystaliczny — 100% cukier,dowolne opakowanie,,NONE,NOT_RUN,N/A_GLOBAL_PI,base=TRUE engines=TRUE status=Verified,OK,OK,,NONE,
BE,DEXTROSE,WYMAGA_GTIN,30,PI-ING-000494,DEXTROSE MONOHYDRATE · Sweetener · Dry,OK,AUTO PO AKCEPTACJI,PENDING_ASSIGNMENT,Revogan,Glucopur 250 g (5 × 50 g),5 × 50 g,,NONE,NOT_RUN,2 URL(s),base=TRUE engines=TRUE status=Verified / Global Reference,OK,ISSUES,EAN:NONE,"REPORT_BACK_TO_OWNER (no substitution, D-26)",
BE,STABILIZER,KANDYDAT_PR,3,PI-ING-000492,TARA GUM · Stabilizer,OK,AUTO PO AKCEPTACJI,PENDING_ASSIGNMENT,SaporePuro,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,50 g,8055728540170,GTIN-13 (EAN-13),NOT_RUN,4 URL(s),base=TRUE engines=TRUE status=Verified,OK,OK,,NONE,
DK,MILK,KANDYDAT_PR,672,PI-ING-000236,MILK · 3.5% FAT · Chilled,OK,AUTO PO AKCEPTACJI,PENDING_ASSIGNMENT,Arla,"Arla Sødmælk 3,5% UHT 1 L",1 L carton with screw cap,5709310050303,GTIN-13 (EAN-13),NOT_RUN,3 URL(s),base=TRUE engines=TRUE status=Estimated / PI Calculated,OK,OK,,NONE,
DK,CREAM,KANDYDAT_PR,130,PI-ING-000180,CREAM 30% · Mlekovita Cream · Chilled,OK,AUTO PO AKCEPTACJI,PENDING_ASSIGNMENT,Arla,Arla Piskefløde 35% UHT 200 ml,200 ml,5711953069291,GTIN-13 (EAN-13),NOT_RUN,3 URL(s),base=TRUE engines=TRUE status=Estimated / PI Calculated,OK,OK,,NONE,
DK,SMP,KANDYDAT_PR,35,PI-ING-000270,SKIMMED MILK POWDER · 0.8% FAT · Dairy · Dry,OK,AUTO PO AKCEPTACJI,PENDING_ASSIGNMENT,EASIS,EASIS Skummetmælkspulver 200 g,200 g,5703161691012,GTIN-13 (EAN-13),NOT_RUN,3 URL(s),base=TRUE engines=TRUE status=Estimated / PI Calculated,OK,OK,,NONE,
DK,SUCROSE,READY_PI,130,PI-ING-000514,SUCROSE SUGAR · Sweetener · Dry,OK,NIE WYMAGANY,N/A_GLOBAL_PI,GENERIC,Biały cukier krystaliczny — 100% cukier,dowolne opakowanie,,NONE,NOT_RUN,N/A_GLOBAL_PI,base=TRUE engines=TRUE status=Verified,OK,OK,,NONE,
DK,DEXTROSE,WYMAGA_ETYKIETY,30,PI-ING-000494,DEXTROSE MONOHYDRATE · Sweetener · Dry,OK,AUTO PO AKCEPTACJI,PENDING_ASSIGNMENT,Urtegaarden,Urtegaarden Druesukker 500 g,500 g,5709286720064,GTIN-13 (EAN-13),NOT_RUN,3 URL(s),base=TRUE engines=TRUE status=Verified / Global Reference,OK,OK,,NONE,
DK,STABILIZER,WYMAGA_ETYKIETY,3,PI-ING-000492,TARA GUM · Stabilizer,OK,AUTO PO AKCEPTACJI,PENDING_ASSIGNMENT,Louis François,Gum tara 1 kg,1 kg,,NONE,NOT_RUN,3 URL(s),base=TRUE engines=TRUE status=Verified,OK,ISSUES,EAN:NONE,"REPORT_BACK_TO_OWNER (no substitution, D-26)",
FI,MILK,KANDYDAT_PR,672,PI-ING-000236,MILK · 3.5% FAT · Chilled,OK,AUTO PO AKCEPTACJI,PENDING_ASSIGNMENT,Valio,Valio täysmaito suomalaisilta maitotiloilta 1 L,1 L carton,6408430000135,GTIN-13 (EAN-13),NOT_RUN,2 URL(s),base=TRUE engines=TRUE status=Estimated / PI Calculated,OK,OK,,NONE,
FI,CREAM,KANDYDAT_PR,130,PI-ING-000180,CREAM 30% · Mlekovita Cream · Chilled,OK,AUTO PO AKCEPTACJI,PENDING_ASSIGNMENT,Arla Lempi,Arla Lempi Kuohukerma luomu 35% 2 dl,200 ml,6413300015225,GTIN-13 (EAN-13),NOT_RUN,2 URL(s),base=TRUE engines=TRUE status=Estimated / PI Calculated,OK,OK,,NONE,
FI,SMP,KANDYDAT_PR,35,PI-ING-000270,SKIMMED MILK POWDER · 0.8% FAT · Dairy · Dry,OK,AUTO PO AKCEPTACJI,PENDING_ASSIGNMENT,Valio,Valio rasvaton maitojauhe instant 400 g,400 g,6408430840625,GTIN-13 (EAN-13),NOT_RUN,3 URL(s),base=TRUE engines=TRUE status=Estimated / PI Calculated,OK,OK,,NONE,
FI,SUCROSE,READY_PI,130,PI-ING-000514,SUCROSE SUGAR · Sweetener · Dry,OK,NIE WYMAGANY,N/A_GLOBAL_PI,GENERIC,Biały cukier krystaliczny — 100% cukier,dowolne opakowanie,,NONE,NOT_RUN,N/A_GLOBAL_PI,base=TRUE engines=TRUE status=Verified,OK,OK,,NONE,
FI,DEXTROSE,WYMAGA_ETYKIETY,30,PI-ING-000494,DEXTROSE MONOHYDRATE · Sweetener · Dry,OK,AUTO PO AKCEPTACJI,PENDING_ASSIGNMENT,Leipurin (dystrybucja; producent nie podany),Dekstroosi monohydraatti 25 kg,25 kg worek,,NONE,NOT_RUN,2 URL(s),base=TRUE engines=TRUE status=Verified / Global Reference,OK,ISSUES,EAN:NONE,"REPORT_BACK_TO_OWNER (no substitution, D-26)",
FI,STABILIZER,KANDYDAT_PR,3,PI-ING-000492,TARA GUM · Stabilizer,OK,AUTO PO AKCEPTACJI,PENDING_ASSIGNMENT,SaporePuro,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,50 g,8055728540170,GTIN-13 (EAN-13),NOT_RUN,4 URL(s),base=TRUE engines=TRUE status=Verified,OK,OK,,NONE,
FR,MILK,READY_PR,672,PI-ING-000236,MILK · 3.5% FAT · Chilled,OK,PR-ING-007174,OK,Alsace Lait,"Alsace Lait Lait frais entier pasteurisé, brique 1 L",1 L brique,3262970109108,GTIN-13 (EAN-13),NOT_RUN,2 URL(s),base=TRUE engines=TRUE status=Estimated / PI Calculated,OK,OK,,NONE,
FR,CREAM,KANDYDAT_PR,130,PI-ING-000180,CREAM 30% · Mlekovita Cream · Chilled,OK,AUTO PO AKCEPTACJI,PENDING_ASSIGNMENT,Elle & Vire,Elle & Vire Crème UHT fluide entière 30% MG 2×25cl,2 × 250 ml,3451790256745,GTIN-13 (EAN-13),NOT_RUN,2 URL(s),base=TRUE engines=TRUE status=Estimated / PI Calculated,OK,OK,,NONE,
FR,SMP,KANDYDAT_PR,35,PI-ING-000270,SKIMMED MILK POWDER · 0.8% FAT · Dairy · Dry,OK,AUTO PO AKCEPTACJI,PENDING_ASSIGNMENT,Régilait,Lait écrémé en poudre,karton 300 g,3043934232700,GTIN-13 (EAN-13),NOT_RUN,3 URL(s),base=TRUE engines=TRUE status=Estimated / PI Calculated,OK,OK,,NONE,
