market,role,owner_status,grams_owner,pi_ing,pi_name_2541,s1_pi,pr_ing,s2_pr,brand,product,pack,ean,s3_identifier,s4_market,s5_source,s6_technical,s7_role_vs_2541,verdict,issues,checks_required,s9_action,vs_baseline
AU,STABILIZER,CROSS_BORDER_FALLBACK,,PI-ING-000492,TARA GUM · Stabilizer,OK,,PENDING_ASSIGNMENT,,Tara Gum 50gr. / Gomma di Tara E417,,8055728540170,GTIN-13 (EAN-13),NOT_RUN,7 URL(s),base=TRUE engines=TRUE status=Verified,OK,OK,,,NONE,SAME_PRODUCT
AT,STABILIZER,CROSS_BORDER_FALLBACK,,PI-ING-000492,TARA GUM · Stabilizer,OK,,PENDING_ASSIGNMENT,,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,,8055728540170,GTIN-13 (EAN-13),NOT_RUN,4 URL(s),base=TRUE engines=TRUE status=Verified,OK,OK,,,NONE,SAME_PRODUCT
BE,STABILIZER,CROSS_BORDER_FALLBACK,,PI-ING-000492,TARA GUM · Stabilizer,OK,,PENDING_ASSIGNMENT,,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,,8055728540170,GTIN-13 (EAN-13),NOT_RUN,4 URL(s),base=TRUE engines=TRUE status=Verified,OK,OK,,,NONE,SAME_PRODUCT
DK,STABILIZER,MISSING / REVIEW_REQUIRED,,PI-ING-000492,TARA GUM · Stabilizer,OK,,PENDING_ASSIGNMENT,,Gum tara 1 kg,,,NONE,NOT_RUN,3 URL(s),base=TRUE engines=TRUE status=Verified,OK,CHECKS_REQUIRED,,IDENTITY_WITHOUT_GTIN: prove by a first-party own-brand listing (D-37); never invent an EAN,VERIFY_OWN_BRAND_IDENTITY (D-37),SAME_PRODUCT
FI,STABILIZER,CROSS_BORDER_FALLBACK,,PI-ING-000492,TARA GUM · Stabilizer,OK,,PENDING_ASSIGNMENT,,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,,8055728540170,GTIN-13 (EAN-13),NOT_RUN,4 URL(s),base=TRUE engines=TRUE status=Verified,OK,OK,,,NONE,SAME_PRODUCT
FR,STABILIZER,CROSS_BORDER_FALLBACK,,PI-ING-000492,TARA GUM · Stabilizer,OK,,PENDING_ASSIGNMENT,,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,,8055728540170,GTIN-13 (EAN-13),NOT_RUN,6 URL(s),base=TRUE engines=TRUE status=Verified,OK,OK,,,NONE,SAME_PRODUCT
ES,STABILIZER,CROSS_BORDER_FALLBACK,,PI-ING-000492,TARA GUM · Stabilizer,OK,,PENDING_ASSIGNMENT,,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,,8055728540170,GTIN-13 (EAN-13),NOT_RUN,5 URL(s),base=TRUE engines=TRUE status=Verified,OK,OK,,,NONE,SAME_PRODUCT
NL,STABILIZER,CROSS_BORDER_FALLBACK,,PI-ING-000492,TARA GUM · Stabilizer,OK,,PENDING_ASSIGNMENT,,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,,8055728540170,GTIN-13 (EAN-13),NOT_RUN,5 URL(s),base=TRUE engines=TRUE status=Verified,OK,OK,,,NONE,SAME_PRODUCT
IE,STABILIZER,CROSS_BORDER_FALLBACK,,PI-ING-000492,TARA GUM · Stabilizer,OK,,PENDING_ASSIGNMENT,,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,,8055728540170,GTIN-13 (EAN-13),NOT_RUN,5 URL(s),base=TRUE engines=TRUE status=Verified,OK,OK,,,NONE,SAME_PRODUCT
CA,STABILIZER,TARA_LOCAL_CONFIRMED,,PI-ING-000492,TARA GUM · Stabilizer,OK,,PENDING_ASSIGNMENT,,Louis François Tara Gum 1 kg,,,NONE,NOT_RUN,2 URL(s),base=TRUE engines=TRUE status=Verified,OK,CHECKS_REQUIRED,,IDENTITY_WITHOUT_GTIN: prove by a first-party own-brand listing (D-37); never invent an EAN,VERIFY_OWN_BRAND_IDENTITY (D-37),SAME_PRODUCT
DE,STABILIZER,CROSS_BORDER_FALLBACK,,PI-ING-000492,TARA GUM · Stabilizer,OK,,PENDING_ASSIGNMENT,,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,,8055728540170,GTIN-13 (EAN-13),NOT_RUN,4 URL(s),base=TRUE engines=TRUE status=Verified,OK,OK,,,NONE,SAME_PRODUCT
NO,STABILIZER,CROSS_BORDER_FALLBACK,,PI-ING-000492,TARA GUM · Stabilizer,OK,,PENDING_ASSIGNMENT,,Tarakernmehl / Tara gum 100 g,,4251510635756,GTIN-13 (EAN-13),NOT_RUN,6 URL(s),base=TRUE engines=TRUE status=Verified,OK,OK,,,NONE,SAME_PRODUCT
NZ,STABILIZER,CROSS_BORDER_FALLBACK,,PI-ING-000492,TARA GUM · Stabilizer,OK,,PENDING_ASSIGNMENT,,Tara Gum 50gr. / Gomma di Tara E417,,8055728540170,GTIN-13 (EAN-13),NOT_RUN,7 URL(s),base=TRUE engines=TRUE status=Verified,OK,OK,,,NONE,SAME_PRODUCT
PL,STABILIZER,TARA_LOCAL_CONFIRMED,,PI-ING-000492,TARA GUM · Stabilizer,OK,,PENDING_ASSIGNMENT,,Guma Tara (E417) 130002 SEMPRE,,,NONE,NOT_RUN,1 URL(s),base=TRUE engines=TRUE status=Verified,OK,CHECKS_REQUIRED,,IDENTITY_WITHOUT_GTIN: prove by a first-party own-brand listing (D-37); never invent an EAN,VERIFY_OWN_BRAND_IDENTITY (D-37),SAME_PRODUCT
PT,STABILIZER,CROSS_BORDER_FALLBACK,,PI-ING-000492,TARA GUM · Stabilizer,OK,,PENDING_ASSIGNMENT,,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,,8055728540170,GTIN-13 (EAN-13),NOT_RUN,5 URL(s),base=TRUE engines=TRUE status=Verified,OK,OK,,,NONE,SAME_PRODUCT
