iso2,priority,slot,stabilizer_type,candidate_pi_ing,product_name,brand,pack,ean,identifier_type,url,evidence_label,identifier_confirmed,exact_product_identity_confirmed,market_binding_confirmed,local_availability_confirmed,verification_class,page_market,market_by,source_type,evidence_method,ean_context,ingredients_as_printed,technical_doc_url,flags,relation_to_working_excel,selection_status,agent,checked_utc
AU,★★★★★,CREAM,GELATIN,,Pauls Thickened Cream,Pauls (Lactalis),300 mL,9310036007296,GTIN-13 (EAN-13),https://mylactalis.com.au/pauls-thickened-cream-300ml-regular,RESEARCH_LEAD,False,False,True,False,SOURCE_NOT_READABLE,AU,CCTLD,DIRECT,RAW_HTML,,"Cream (from milk), milk solids, gelatine, stabiliser (407a), emulsifier (471)",,NEEDS_BROWSER,SAME_AS_V7_LISTED_PRODUCT,NOT_SELECTED_AWAITING_OWNER_EXCEL,GAPS_US_ANZ_CA.json,2026-09-10T18:14:06Z
AU,★★★★★,CREAM,,PI-ING-000180,Bulla Thickened Cream,Bulla Dairy Foods,300 mL,,NONE,https://www.bulla.com.au/products/bulla-thickened-cream/,RESEARCH_LEAD,False,False,True,False,PAGE_FACTS_ONLY,AU,CCTLD,DIRECT,RAW_HTML,,,,,NOT_IN_V7,NOT_SELECTED_AWAITING_OWNER_EXCEL,GAPS_US_ANZ_CA.json,2026-09-10T18:14:07Z
CA,★★★★★,CREAM,CARRAGEENAN,,Dairyland Whipping Cream 33% M.F.,Dairyland (Saputo),,068700100451,GTIN-12 (UPC-A),https://www.dairyland.ca/en/products/cream/33-whipping-cream,RESEARCH_LEAD,False,False,True,False,MARKET_PAGE_WITHOUT_EAN,CA,CCTLD,DIRECT,RAW_HTML,,"Cream, Milk, Cellulose gel, Carrageenan, Cellulose gum.",https://saputo.canto.com/direct/document/fi87550ib53ef433uvc5agpj63/uDeWWbtGgOqaX4JTDLLzN8JEERA/original?content-type=application%2Fpdf&name=Dairyland+Canadian+Dairy+Guide_EN.pdf,,SAME_AS_V7_LISTED_PRODUCT,NOT_SELECTED_AWAITING_OWNER_EXCEL,GAPS_US_ANZ_CA.json,2026-09-10T18:14:07Z
CA,★★★★★,CREAM,,PI-ING-000180,Sealtest 35% Whipping Cream,Sealtest (Agropur),1 L,,NONE,https://fillmyfridge.ca/products/35-whipping-cream-sealtest-1-l,RESEARCH_LEAD,False,False,True,False,PAGE_FACTS_ONLY,CA,CCTLD,DIRECT,RAW_HTML,,,,,NOT_IN_V7,NOT_SELECTED_AWAITING_OWNER_EXCEL,GAPS_US_ANZ_CA.json,2026-09-10T18:14:06Z
CH,★★★★★,CREAM,,,"Coop Vollrahm 35% Milchfett UHT 250ml (equivalent, not v7's Valflora)",Coop (Prix Garantie / own-label),250 ml,7613269880585,GTIN-13 (EAN-13),https://www.coop.ch/en/food/dairy-products-eggs/cream/full-fat-cream-half-fat-cream/uht-whole-cream-35-fat/p/3080151,RESEARCH_LEAD,False,False,True,False,SOURCE_NOT_READABLE,CH,CCTLD,DIRECT,RAW_HTML,,,,NEEDS_BROWSER,SAME_AS_V7_LISTED_PRODUCT,NOT_SELECTED_AWAITING_OWNER_EXCEL,GAPS_EU_DAIRY.json,2026-09-10T18:04:23Z
CH,★★★★★,CREAM,,PI-ING-000180,SPAR Vollrahm (Kernsortiment),"SPAR (Swiss franchise, SPAR Handels AG)",330 ml,,NONE,https://www.spar.ch/sortiment/artikel/spar-vollrahm,RESEARCH_LEAD,False,False,True,False,PAGE_FACTS_ONLY,CH,CCTLD,DIRECT,RAW_HTML,,,,,NOT_IN_V7,NOT_SELECTED_AWAITING_OWNER_EXCEL,GAPS_EU_DAIRY.json,2026-09-10T18:04:24Z
ES,★★★★★,CREAM,"E-460, E-466, E-407 (cellulose, CMC, carrageenan)",PI-ING-000180,"Nata para montar EROSKI, pack 3x200 ml",Eroski,3x200 ml,,NONE,https://supermercado.eroski.es/es/productdetail/16666133-nata-para-montar-eroski-pack-3x200-ml/,RESEARCH_LEAD,False,False,True,False,PAGE_FACTS_ONLY,ES,CCTLD,DIRECT,RAW_HTML,,"NATA (35% materia grasa) y estabilizante (E-460,E-466 y E-407). Origen de la leche: España.",https://supermercado.eroski.es//documents/guia_accesibilidad_eroski.pdf,,NOT_IN_V7,NOT_SELECTED_AWAITING_OWNER_EXCEL,GAPS_EU_DAIRY.json,2026-09-10T17:58:31Z
ES,★★★★★,CREAM,,,"Reny Picot Nata líquida especial para montar 30% MG, brik 200 ml",Reny Picot (Industrias Lácteas Asturianas),200 ml,8410379941019,GTIN-13 (EAN-13),https://www.provecaex.com/inicio/32357-nataliquidamontarrenypicotb200ml-8410379941019.html,VERIFIED_PRODUCT_EVIDENCE,True,True,False,False,EAN_ON_GENERIC_TLD_PAGE,,GENERIC_TLD,DIRECT,RAW_HTML,"nypicotb200ml.jpg"", ""sku"": ""01583010"", ""mpn"": ""01583010"" ,""gtin13"": ""8410379941019"" , ""brand"": ",,,,SAME_AS_V7_LISTED_PRODUCT,NOT_SELECTED_AWAITING_OWNER_EXCEL,GAPS_EU_DAIRY.json,2026-09-10T17:58:31Z
NO,★★★★★,CREAM,,,TINE Kremfløte 37 % 3 dl,TINE SA,3 dl (300 ml),7038010041914,GTIN-13 (EAN-13),https://produkter.matinfo.no/TINE-SA/Kremfl%C3%B8te-3-dl/07038010041914,VERIFIED_PRODUCT_EVIDENCE,True,True,True,False,EAN_ON_MARKET_PAGE,NO,CCTLD,DIRECT,RAW_HTML,"dding"">Varenummer: 4191 <span>|</span> EPD-nummer: 2571081 <span>|</span> GTIN: 07038010041914</p> </div> ",Ingredienser: kremfløte,,PRODUCT_REGISTER (identifier + identity + binding YES; availability not proven — D-36),SAME_AS_V7_LISTED_PRODUCT,NOT_SELECTED_AWAITING_OWNER_EXCEL,GAPS_EU_DAIRY.json,2026-09-10T18:04:23Z
NZ,★★★★★,CREAM,BLEND,,Anchor Long Life Dessert Cream Original,Anchor (Fonterra),250 mL,94150803,GTIN-8,https://www.anchordairy.com/nz/en/products/cream-custard/anchor-longlife-dessert-cream-250ml.html,RESEARCH_LEAD,False,False,True,False,MARKET_PAGE_WITHOUT_EAN,NZ,PATH_LOCALE,DIRECT,RAW_HTML,,"Cream, Milk Solids, Emulsifier (471, 433), Stabiliser (412, 415, 407)",,,SAME_AS_V7_LISTED_PRODUCT,NOT_SELECTED_AWAITING_OWNER_EXCEL,GAPS_US_ANZ_CA.json,2026-09-10T18:14:08Z
US,★★★★★,CREAM,,,Brookshire's Whipping Cream Ultra-Pasteurized 30% Milkfat,Brookshire's,16 oz (1 pt),092825922230,GTIN-12 (UPC-A),https://delivery.brookshires.com/store/brookshires/products/18635421-brookshire-s-whipping-cream-ultra-pasteurized-30-milkfat-16-oz,RESEARCH_LEAD,False,False,False,False,PAGE_WITHOUT_EAN,,GENERIC_TLD,DIRECT,RAW_HTML,,"ingredients, or nutritional information will be provided in screen reader compatible form below. Brookshire&#x27;s Whipping Cream Ultra-pasteurized 30% Milkfat 1 pt Ingredients Current price: $3.39 $3.39 ",,,SAME_AS_V7_LISTED_PRODUCT,NOT_SELECTED_AWAITING_OWNER_EXCEL,GAPS_US_ANZ_CA.json,2026-09-10T17:47:03Z
US,★★★★★,CREAM,CARRAGEENAN,PI-ING-000180,"Great Value Heavy Whipping Cream, Ultra-Pasteurized",Great Value (Walmart),16 fl oz (473 mL) carton,605388187178,GTIN-12 (UPC-A),https://www.walmart.com/ip/Great-Value-Heavy-Whipping-Cream-16-oz-Carton-Refrigerated/10450339,VERIFIED_PRODUCT_EVIDENCE,True,True,False,False,EAN_ON_GENERIC_TLD_PAGE,,GENERIC_TLD,DIRECT,RAW_HTML,"llVariants"":null,""variantCriteria"":[],""variants"":[],""groupMetaData"":null,""upc"":""605388187178"",""wfsEnabled"":false,""wfs","HEAVY CREAM, MILK, CONTAINS LESS THAN 0.5% OF: MONO AND DIGLYCERIDES, POLYSORBATE 80, CARRAGEENAN.",,,NOT_IN_V7,NOT_SELECTED_AWAITING_OWNER_EXCEL,GAPS_US_ANZ_CA.json,2026-09-10T17:47:02Z
US,★★★★★,CREAM,CARRAGEENAN,PI-ING-000180,"Great Value Whipping Cream, Heavy 16 oz",Great Value (Walmart),16 oz,605388187178,GTIN-12 (UPC-A),https://www.pruettsfood.com/shop/great_value_whipping_cream_heavy_16_oz/p/6009772,VERIFIED_PRODUCT_EVIDENCE,True,True,False,False,EAN_ON_GENERIC_TLD_PAGE,,GENERIC_TLD,DIRECT,RAW_HTML,"ificial flavors or colors. Sweet. Fresh. Naturally gluten-free food."",""gtin14"":""00605388187178"",""sku"":""60538818717"",""ca",,,,NOT_IN_V7,NOT_SELECTED_AWAITING_OWNER_EXCEL,GAPS_US_ANZ_CA.json,2026-09-10T17:47:01Z
