pi_ing,name_display,subcategory,stabilizer_type,owner_preference,mapper_brand,approved_for_base,approved_for_engines,mapper_verification_status,vegan,allergens,processing_family,processing_routing_status,pf_process_family_id,pf_default_process_mode,pf_functional_heat_requirement,pf_functional_heat_reason
PI-ING-000472,GUAR GUM · Stabilizer,guar_gum,GUAR,PREFERRED (D-14),Standard,TRUE,TRUE,Verified,TRUE,none_declared,PF_GUAR_NATIVE,FAMILY_EVIDENCE,PF_GUAR_NATIVE,COLD_OK,NOT_REQUIRED,NONE
PI-ING-000475,LOCUST BEAN GUM CAROB · Stabilizer,locust_bean_gum,LBG,PREFERRED (D-14),Standard,TRUE,TRUE,Verified,TRUE,none_declared,PF_LBG_NATIVE,FAMILY_EVIDENCE,PF_LBG_NATIVE,HOT_REQUIRED,REQUIRED,HYDRATION
PI-ING-000492,TARA GUM · Stabilizer,tara_gum,TARA,PREFERRED (D-14),Standard,TRUE,TRUE,Verified,TRUE,none_declared,PF_TARA_NATIVE,FAMILY_EVIDENCE,PF_TARA_NATIVE,CONDITIONAL,CONDITIONAL,HYDRATION
PI-ING-001384,LOCUST BEAN GUM · Stabilizer,locust_bean_gum,LBG,PREFERRED (D-14),,TRUE,TRUE,Verified,TRUE,none_declared,PF_LBG_NATIVE,FAMILY_EVIDENCE,PF_LBG_NATIVE,HOT_REQUIRED,REQUIRED,HYDRATION
PI-ING-002114,GELLATTI STABILIZER · Gellatti Stabilizer Blend · Dry,stabilizer_blend,STABILIZER_BLEND,PREFERRED (D-14) — GELLATTI own blend,Gellatti,TRUE,TRUE,Verified / PI Calculated,TRUE,none_declared,PF_STAB_GELLATTI,IDENTITY_ONLY_OR_UNKNOWN,PF_STAB_GELLATTI,PRODUCT_SPECIFIC,UNKNOWN,UNKNOWN
PI-ING-000460,CREMODAN SE VEG DENISCO · Danisco Emulsifier Blend · Dry · 1222049,emulsifier_blend,STABILIZER_BLEND,COMMERCIAL_BLEND_EXISTING_PI,Danisco,TRUE,TRUE,Verified,TRUE,"milk_possible, unknown_requires_label_review",PF_STAB_BLEND_DRY,IDENTITY_ONLY_OR_UNKNOWN,PF_STAB_BLEND_DRY,PRODUCT_SPECIFIC,UNKNOWN,UNKNOWN
PI-ING-000461,CREMODAN SE VEG DENISCO · Danisco Emulsifier Blend · Dry · 116790,emulsifier_blend,STABILIZER_BLEND,COMMERCIAL_BLEND_EXISTING_PI,Danisco,TRUE,TRUE,Verified,TRUE,"milk_possible, unknown_requires_label_review",PF_STAB_BLEND_DRY,IDENTITY_ONLY_OR_UNKNOWN,PF_STAB_BLEND_DRY,PRODUCT_SPECIFIC,UNKNOWN,UNKNOWN
PI-ING-000462,BUBBLE GUM BLUE · Fabbri Stabilizer · 0012408,stabilizer_blend,STABILIZER_BLEND,COMMERCIAL_BLEND_EXISTING_PI,Fabbri,TRUE,TRUE,Verified,FALSE,milk,PF_IDENTITY_REVIEW,IDENTITY_ONLY_OR_UNKNOWN,PF_IDENTITY_REVIEW,UNKNOWN_REVIEW,UNKNOWN,UNKNOWN
PI-ING-000463,BUBBLE GUM PINK · Fabbri Stabilizer · 0012409,stabilizer_blend,STABILIZER_BLEND,COMMERCIAL_BLEND_EXISTING_PI,Fabbri,TRUE,TRUE,Verified,FALSE,milk,PF_IDENTITY_REVIEW,IDENTITY_ONLY_OR_UNKNOWN,PF_IDENTITY_REVIEW,UNKNOWN_REVIEW,UNKNOWN,UNKNOWN
PI-ING-000464,EXTRULCE · Palsgaard Emulsifier Blend · Dry · 11014102,emulsifier_blend,STABILIZER_BLEND,COMMERCIAL_BLEND_EXISTING_PI,Palsgaard,TRUE,TRUE,Verified,TRUE,none_declared,PF_STAB_BLEND_DRY,IDENTITY_ONLY_OR_UNKNOWN,PF_STAB_BLEND_DRY,PRODUCT_SPECIFIC,UNKNOWN,UNKNOWN
