iso2,priority,functional_slot,search_step,stabilizer_type,selected_pi_ing,selected_pr_ing,selected_product_name,ean_gtin,source_url,availability_evidence,technical_doc_url,evidence_class_slot,engine_readiness,processing_readiness,final_use_status,next_step,v7_status
AE,★★★★,STABILIZER,"1_LOCAL_TARA (v7 evidence, preserved)",TARA,PI-ING-000492,AUTO PO AKCEPTACJI,Modernist Pantry Pure Tara Gum Powder,819543011967,https://modernistpantry.com/products/tara-gum.html,EAN_ON_GENERIC_TLD_PAGE; page_market=-; by=GENERIC_TLD; RAW_HTML,,LEAD,NOT_ASSESSED,NOT_ASSESSED (PF_TARA_NATIVE: CONDITIONAL),NOT_READY,SEARCH_LOCAL_ALTERNATIVE (D-14 step 2),KANDYDAT_PR
AR,★★★★,STABILIZER,"1_LOCAL_TARA (v7 evidence, preserved)",TARA,PI-ING-000492,,Goma Tara Grado Alimenticio Calidad Premium,,https://www.quimicapalumbo.com.ar/productos/goma-tara-grado-alimenticio-calidad-premium/,NO_EAN_IN_V7; page_market=AR; by=CCTLD; RAW_HTML,,BRAK,NOT_ASSESSED,NOT_ASSESSED (PF_TARA_NATIVE: CONDITIONAL),NOT_READY,SEARCH_LOCAL_ALTERNATIVE (D-14 step 2),WYMAGA_ETYKIETY
AT,★★★★★,STABILIZER,"1_LOCAL_TARA (v7 evidence, preserved)",TARA,PI-ING-000492,AUTO PO AKCEPTACJI,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,8055728540170,https://saporepuro.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1,EAN_ON_GENERIC_TLD_PAGE; page_market=-; by=GENERIC_TLD; RAW_HTML,,LEAD,NOT_ASSESSED,NOT_ASSESSED (PF_TARA_NATIVE: CONDITIONAL),NOT_READY,SEARCH_LOCAL_ALTERNATIVE (D-14 step 2),KANDYDAT_PR
AU,★★★★★,STABILIZER,"1_LOCAL_TARA (v7 evidence, preserved)",TARA,PI-ING-000492,AUTO PO AKCEPTACJI,Tara Gum 50gr. / Gomma di Tara E417,8055728540170,https://saporepuro.myshopify.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1,EAN_ON_GENERIC_TLD_PAGE; page_market=-; by=GENERIC_TLD; RAW_HTML,,LEAD,NOT_ASSESSED,NOT_ASSESSED (PF_TARA_NATIVE: CONDITIONAL),NOT_READY,SEARCH_LOCAL_ALTERNATIVE (D-14 step 2),KANDYDAT_PR
BD,★★★★,STABILIZER,"1_LOCAL_TARA (v7 evidence, preserved)",TARA,PI-ING-000492,AUTO PO AKCEPTACJI,Tara Gum — Home 50g,819543011967,https://modernistpantry.com/products/tara-gum.html,EAN_ON_GENERIC_TLD_PAGE; page_market=-; by=GENERIC_TLD; RAW_HTML,,LEAD,NOT_ASSESSED,NOT_ASSESSED (PF_TARA_NATIVE: CONDITIONAL),NOT_READY,SEARCH_LOCAL_ALTERNATIVE (D-14 step 2),WYMAGA_DOSTAWY
BE,★★★★★,STABILIZER,"1_LOCAL_TARA (v7 evidence, preserved)",TARA,PI-ING-000492,AUTO PO AKCEPTACJI,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,8055728540170,https://saporepuro.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1,EAN_ON_GENERIC_TLD_PAGE; page_market=-; by=GENERIC_TLD; RAW_HTML,,LEAD,NOT_ASSESSED,NOT_ASSESSED (PF_TARA_NATIVE: CONDITIONAL),NOT_READY,SEARCH_LOCAL_ALTERNATIVE (D-14 step 2),KANDYDAT_PR
BG,★★★★,STABILIZER,"1_LOCAL_TARA (v7 evidence, preserved)",TARA,PI-ING-000492,AUTO PO AKCEPTACJI,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,8055728540170,https://saporepuro.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1,EAN_ON_GENERIC_TLD_PAGE; page_market=-; by=GENERIC_TLD; RAW_HTML,,LEAD,NOT_ASSESSED,NOT_ASSESSED (PF_TARA_NATIVE: CONDITIONAL),NOT_READY,SEARCH_LOCAL_ALTERNATIVE (D-14 step 2),KANDYDAT_PR
BH,★★★★,STABILIZER,"1_LOCAL_TARA (v7 evidence, preserved)",TARA,PI-ING-000492,AUTO PO AKCEPTACJI,Modernist Pantry Pure Tara Gum Powder,819543011967,https://modernistpantry.com/products/tara-gum.html,EAN_ON_GENERIC_TLD_PAGE; page_market=-; by=GENERIC_TLD; RAW_HTML,,LEAD,NOT_ASSESSED,NOT_ASSESSED (PF_TARA_NATIVE: CONDITIONAL),NOT_READY,SEARCH_LOCAL_ALTERNATIVE (D-14 step 2),WYMAGA_DOSTAWY
BR,★★★★,STABILIZER,"1_LOCAL_TARA (v7 evidence, preserved)",TARA,PI-ING-000492,,Goma Tara INS 417 — 1 kg,,https://www.allimentari.com.br/produto/goma-tara.html,NO_EAN_IN_V7; page_market=BR; by=CCTLD; RAW_HTML,,BRAK,NOT_ASSESSED,NOT_ASSESSED (PF_TARA_NATIVE: CONDITIONAL),NOT_READY,SEARCH_LOCAL_ALTERNATIVE (D-14 step 2),WYMAGA_ETYKIETY
CA,★★★★★,STABILIZER,"1_LOCAL_TARA (v7 evidence, preserved)",TARA,PI-ING-000492,,Louis François Tara Gum 1 kg,,https://supplies.gusta.ca/products/louis-francois-tara-gum,NO_EAN_IN_V7; page_market=CA; by=CCTLD; RAW_HTML,,BRAK,NOT_ASSESSED,NOT_ASSESSED (PF_TARA_NATIVE: CONDITIONAL),NOT_READY,SEARCH_LOCAL_ALTERNATIVE (D-14 step 2),WYMAGA_ETYKIETY
