iso2,locale,approved_term,basis,evidence_url,evidence_page_title,page_binding_signal,note
BD,bn,চিনি,OWNER_APPROVED D-32 — direct local-shop evidence,https://bdtotals.com/product/%E0%A6%A4%E0%A7%80%E0%A6%B0-%E0%A6%9A%E0%A6%BF%E0%A6%A8%E0%A6%BF/,তীর চিনি ১ কেজি – BD Totals,CURRENCY,page tied to the market by currency only; the term itself is Owner-approved (D-32)
BG,bg,Захар,OWNER_APPROVED D-32 — direct local-shop evidence,https://tmarketonline.bg/product/zahar-zahira-kristalna-1-kg,Захар ЗАХИРА кристална 1 кг,CCTLD,
BR,pt,Açúcar Refinado,OWNER_APPROVED D-32 — direct local-shop evidence,https://www.superpaguemenos.com.br/acucar-refinado-uniao-1kg/p,Açúcar Refinado União 1kg | Supermercados Pague Menos,CCTLD,
CZ,cs,Cukr krystal,OWNER_APPROVED D-32 — direct local-shop evidence,https://eshop.coop-box.cz/produkt/Cukr_krystal_1kg,Cukr krystal 1kg | Produkt | COOP-BOX e-shop s potravinami,CCTLD,
DK,da,Sukker,OWNER_APPROVED D-32 — direct local-shop evidence,https://www.dansukker.dk/dk/produkter/alle-produkter/sukker-1-kg,Sukker 1 kg,CCTLD,
EE,et,Suhkur,OWNER_APPROVED D-32 — direct local-shop evidence,https://barbora.ee/toode/suhkur-extra-line-1-kg,Suhkur EXTRA LINE 1kg | BARBORA,CCTLD,
EG,ar,سكر ابيض,OWNER_APPROVED D-32 — direct local-shop evidence,https://www.maps-eg.com/ar/product-page/%D8%B3%D9%83%D8%B1-%D8%A7%D8%A8%D9%8A%D8%B6-1-%D9%83%D9%8A%D9%84%D9%88,سكر ابيض 1 كيلو | MAPS Supplier,CURRENCY,page tied to the market by currency only; the term itself is Owner-approved (D-32)
FI,fi,Taloussokeri,OWNER_APPROVED D-32 — direct local-shop evidence,https://www.tokmanni.fi/taloussokeri-1-kg-5701259100187,Taloussokeri 1 kg | tokmanni.fi,CCTLD,
FI,sv,strösocker,OWNER_APPROVED D-32 — direct local-shop evidence,https://www.metrotukku.fi/sv/EUR/produkter/torrprodukter-och-snacks/dansukker-strosocker-1kg-finskt/5701259100187,Dansukker strösocker 1kg finskt | Socker | Sötning och sylter | Torrprodukter och snacks | produkter | Metro-t,CCTLD,
GR,el,Ζάχαρη Λευκή,OWNER_APPROVED D-32 — direct local-shop evidence,https://greekdeliplus.gr/zaxari-ipokatastata-zaxaris/486746-zaxari-lefki-kristalliki-1-kg-5213004880003.html,Ζάχαρη Λευκή Κρυσταλλική 1kg,CCTLD,
HR,hr,Šećer kristal,OWNER_APPROVED D-32 — direct local-shop evidence,https://www.konzum.hr/web/products/secer-kristal-viro-1-kg,Viro Šećer kristal 1 kg - Konzum,CCTLD,
HU,hu,Kristálycukor,OWNER_APPROVED D-32 — direct local-shop evidence,https://www.suplix.hu/kristalycukor-1-kg-692,"Kristálycukor 1 kg - Egyéb - Suplix.hu – Cégellátás egyszerűen, gyorsan, raktárról",CCTLD,
ID,id,Gula Pasir,OWNER_APPROVED D-32 — direct local-shop evidence,https://pasarsegar.co.id/product/gulaku-gula-pasir-1-kg-37/?product_id=153014,Gulaku Gula Pasir 1 kg – Pasar Segar,CCTLD,
IS,is,sykur,OWNER_APPROVED D-32 — direct local-shop evidence,https://kronan.is/vara/100228940-first-price-sykur,First Price sykur | Krónan,CCTLD,
JP,ja,グラニュー糖,OWNER_DECISION D-32,,,,上白糖 (printed at https://onigo.co.jp/products/i-aell/) is a different commercial sugar style and never the generic sucrose term
KR,ko,백설탕,OWNER_APPROVED D-32 — direct local-shop evidence,https://foodmallshop.co.kr/product/%EB%B0%B1%EC%84%A4%EB%B0%B1%EC%84%A4%ED%83%95-1kg/213/,백설)백설탕 1kg - 푸드몰,CCTLD,
LT,lt,Cukrus,OWNER_APPROVED D-32 — direct local-shop evidence,https://www.vynomeka.lt/cukrus-1-kg,Cukrus 1 kg | Saldainiai | Maisto prekės | Vynomeka,CCTLD,
LV,lv,Cukurs,OWNER_APPROVED D-32 — direct local-shop evidence,https://www.rimi.lv/e-veikals/lv/produkti/iepakota-partika/saldas-garsvielas/cukurs/cukurs-rimi-1kg/p/801045,Cukurs Rimi 1kg,CCTLD,
NL,nl,Kristalsuiker,OWNER_APPROVED D-32 — direct local-shop evidence,https://www.ah.nl/producten/product/wi511002/ah-kristalsuiker,AH Kristalsuiker bestellen | Albert Heijn,CCTLD,
NO,nb,Sukker,OWNER_APPROVED D-32 — direct local-shop evidence,https://oda.com/no/products/7813-dansukker-sukker/,Sukker - 1 kg - Oda,CURRENCY,page tied to the market by currency only; the term itself is Owner-approved (D-32)
