iso2,priority,pi_ing,pi_name_final,product_mode,locales_contract,primary_pdf_locale,sa10_terms,sa10_regional,everyday_phrase_locales,consumer_term_status,v7_value,v7_value_fit,term_authority,brand,ean,evidence_class
AE,★★★★,PI-ING-000514,sucrose_sugar,GLOBAL_PI_GENERIC,en;ar,OWNER_DECISION_MULTI_LOCALE,en: granulated sugar (+sucrose/white sugar) | ar: سكروز,,en,SA10_EVERYDAY_PHRASE_PRESENT,Biały cukier krystaliczny — 100% cukier,POLISH_TEXT_NOT_LOCAL,"SA10 01_SEARCH_ALIASES (search registry, APPROVED_EDITORIAL; not a display-copy registry)",,,N/A_GENERIC
AR,★★★★,PI-ING-000514,sucrose_sugar,GLOBAL_PI_GENERIC,es,es,es: azúcar blanco (+sacarosa),,es,SA10_EVERYDAY_PHRASE_PRESENT,Biały cukier krystaliczny — 100% cukier,POLISH_TEXT_NOT_LOCAL,"SA10 01_SEARCH_ALIASES (search registry, APPROVED_EDITORIAL; not a display-copy registry)",,,N/A_GENERIC
AT,★★★★★,PI-ING-000514,sucrose_sugar,GLOBAL_PI_GENERIC,de,de,de: Saccharose (+Zucker),,de,SA10_EVERYDAY_PHRASE_PRESENT,Biały cukier krystaliczny — 100% cukier,POLISH_TEXT_NOT_LOCAL,"SA10 01_SEARCH_ALIASES (search registry, APPROVED_EDITORIAL; not a display-copy registry)",,,N/A_GENERIC
AU,★★★★★,PI-ING-000514,sucrose_sugar,GLOBAL_PI_GENERIC,en,en,en: granulated sugar (+sucrose/white sugar),,en,SA10_EVERYDAY_PHRASE_PRESENT,Biały cukier krystaliczny — 100% cukier,POLISH_TEXT_NOT_LOCAL,"SA10 01_SEARCH_ALIASES (search registry, APPROVED_EDITORIAL; not a display-copy registry)",,,N/A_GENERIC
BD,★★★★,PI-ING-000514,sucrose_sugar,GLOBAL_PI_GENERIC,bn,bn,bn: সুক্রোজ,,,SA10_TECHNICAL_NAME_ONLY,Biały cukier krystaliczny — 100% cukier,POLISH_TEXT_NOT_LOCAL,"SA10 01_SEARCH_ALIASES (search registry, APPROVED_EDITORIAL; not a display-copy registry)",,,N/A_GENERIC
BE,★★★★★,PI-ING-000514,sucrose_sugar,GLOBAL_PI_GENERIC,de;fr;nl,OWNER_DECISION_MULTI_LOCALE,de: Saccharose (+Zucker) | fr: saccharose (+sucre blanc) | nl: sacharose,,de;fr,SA10_EVERYDAY_PHRASE_PRESENT,Biały cukier krystaliczny — 100% cukier,POLISH_TEXT_NOT_LOCAL,"SA10 01_SEARCH_ALIASES (search registry, APPROVED_EDITORIAL; not a display-copy registry)",,,N/A_GENERIC
BG,★★★★,PI-ING-000514,sucrose_sugar,GLOBAL_PI_GENERIC,bg,bg,bg: захароза,,,SA10_TECHNICAL_NAME_ONLY,Biały cukier krystaliczny — 100% cukier,POLISH_TEXT_NOT_LOCAL,"SA10 01_SEARCH_ALIASES (search registry, APPROVED_EDITORIAL; not a display-copy registry)",,,N/A_GENERIC
BH,★★★★,PI-ING-000514,sucrose_sugar,GLOBAL_PI_GENERIC,en;ar,OWNER_DECISION_MULTI_LOCALE,en: granulated sugar (+sucrose/white sugar) | ar: سكروز,,en,SA10_EVERYDAY_PHRASE_PRESENT,Biały cukier krystaliczny — 100% cukier,POLISH_TEXT_NOT_LOCAL,"SA10 01_SEARCH_ALIASES (search registry, APPROVED_EDITORIAL; not a display-copy registry)",,,N/A_GENERIC
BR,★★★★,PI-ING-000514,sucrose_sugar,GLOBAL_PI_GENERIC,pt,pt,pt: sacarose,,,SA10_TECHNICAL_NAME_ONLY,Biały cukier krystaliczny — 100% cukier,POLISH_TEXT_NOT_LOCAL,"SA10 01_SEARCH_ALIASES (search registry, APPROVED_EDITORIAL; not a display-copy registry)",,,N/A_GENERIC
CA,★★★★★,PI-ING-000514,sucrose_sugar,GLOBAL_PI_GENERIC,en;fr,OWNER_DECISION_MULTI_LOCALE,en: granulated sugar (+sucrose/white sugar) | fr: saccharose (+sucre blanc),,en;fr,SA10_EVERYDAY_PHRASE_PRESENT,Biały cukier krystaliczny — 100% cukier,POLISH_TEXT_NOT_LOCAL,"SA10 01_SEARCH_ALIASES (search registry, APPROVED_EDITORIAL; not a display-copy registry)",,,N/A_GENERIC
CH,★★★★★,PI-ING-000514,sucrose_sugar,GLOBAL_PI_GENERIC,de;fr;it,OWNER_DECISION_MULTI_LOCALE,de: Saccharose (+Zucker) | fr: saccharose (+sucre blanc) | it: saccarosio (+zucchero bianco),,de;fr;it,SA10_EVERYDAY_PHRASE_PRESENT,Biały cukier krystaliczny — 100% cukier,POLISH_TEXT_NOT_LOCAL,"SA10 01_SEARCH_ALIASES (search registry, APPROVED_EDITORIAL; not a display-copy registry)",,,N/A_GENERIC
CL,★★★★,PI-ING-000514,sucrose_sugar,GLOBAL_PI_GENERIC,es,es,es: azúcar blanco (+sacarosa),,es,SA10_EVERYDAY_PHRASE_PRESENT,Biały cukier krystaliczny — 100% cukier,POLISH_TEXT_NOT_LOCAL,"SA10 01_SEARCH_ALIASES (search registry, APPROVED_EDITORIAL; not a display-copy registry)",,,N/A_GENERIC
CN,★★★★,PI-ING-000514,sucrose_sugar,GLOBAL_PI_GENERIC,zh-Hans,zh-Hans,zh-Hans: 蔗糖,,,SA10_TECHNICAL_NAME_ONLY,Biały cukier krystaliczny — 100% cukier,POLISH_TEXT_NOT_LOCAL,"SA10 01_SEARCH_ALIASES (search registry, APPROVED_EDITORIAL; not a display-copy registry)",,,N/A_GENERIC
CO,★★★★,PI-ING-000514,sucrose_sugar,GLOBAL_PI_GENERIC,es,es,es: azúcar blanco (+sacarosa),,es,SA10_EVERYDAY_PHRASE_PRESENT,Biały cukier krystaliczny — 100% cukier,POLISH_TEXT_NOT_LOCAL,"SA10 01_SEARCH_ALIASES (search registry, APPROVED_EDITORIAL; not a display-copy registry)",,,N/A_GENERIC
CR,★★★★,PI-ING-000514,sucrose_sugar,GLOBAL_PI_GENERIC,es,es,es: azúcar blanco (+sacarosa),,es,SA10_EVERYDAY_PHRASE_PRESENT,Biały cukier krystaliczny — 100% cukier,POLISH_TEXT_NOT_LOCAL,"SA10 01_SEARCH_ALIASES (search registry, APPROVED_EDITORIAL; not a display-copy registry)",,,N/A_GENERIC
