iso2,locale,term_as_printed,product_name,url,page_title,term_in_page_title,page_market,market_by,source_is_aggregator,term_evidence,evidence_method,note,agent,checked_utc
NL,nl,Kristalsuiker,AH Kristalsuiker,https://www.ah.nl/producten/product/wi511002/ah-kristalsuiker,AH Kristalsuiker bestellen | Albert Heijn,True,NL,CCTLD,False,RETAILER_PRINTED_TERM,BROWSER_DOM,"found via ah.nl own site search in the in-app browser; title ""AH Kristalsuiker bestellen | Albert Heijn"", h1 ""AH Kristalsuiker""; AH own-brand prefix not part of",CENTRAL.json,2026-09-10T18:08Z
DK,da,Sukker,Sukker 1 kg,https://www.dansukker.dk/dk/produkter/alle-produkter/sukker-1-kg,Sukker 1 kg,True,DK,CCTLD,False,RETAILER_PRINTED_TERM,RAW_HTML,"Ordinary DK supermarket sites (Fleggaard, Meny/Spar-style, Coop.dk MAD, Netto, Spar.dk) were 403/JS-shell/dead; Dansukker.dk (major Danish sugar producer, .dk d",SUCROSE_TERMS.json,2026-09-10T17:47:02Z
FI,fi,Taloussokeri,Taloussokeri 1 kg,https://www.tokmanni.fi/taloussokeri-1-kg-5701259100187,Taloussokeri 1 kg | tokmanni.fi,True,FI,CCTLD,False,RETAILER_PRINTED_TERM,RAW_HTML,"Tokmanni private-label plain white granulated sugar, EAN confirmed on page. Ingredients line on same page literally reads 'Sokeri' (bare generic word); product ",SUCROSE_TERMS.json,2026-09-10T17:47:02Z
FI,sv,strösocker,Dansukker strösocker 1kg finskt,https://www.metrotukku.fi/sv/EUR/produkter/torrprodukter-och-snacks/dansukker-strosocker-1kg-finskt/5701259100187,Dansukker strösocker 1kg finskt | Socker | Sötning och sylter | Torrprodukter och snacks | produkter | Metro-t,True,FI,CCTLD,False,RETAILER_PRINTED_TERM,RAW_HTML,"Finnish wholesaler Metro-tukku, Swedish-language (/sv/) page on .fi domain. Category breadcrumb is bare 'Socker'; ingredients also 'Socker'. Product title term ",SUCROSE_TERMS.json,2026-09-10T17:47:02Z
NL,nl,Kristalsuiker,Jumbo Kristal Suiker 1 kg,https://www.jumbo.com/producten/jumbo-kristal-suiker-1-kg-408863PAK,Jumbo Kristal Suiker 1 kg bestellen? | Jumbo,False,,GENERIC_TLD,False,LEAD,RAW_HTML,ah.nl (Albert Heijn) and coop.nl blocked/redirected (403 / dead redirect to plus.nl homepage). Jumbo.com page_market did not resolve via CCTLD (domain is .com n,SUCROSE_TERMS.json,2026-09-10T17:47:03Z
NO,nb,Sukker,Sukker - 1 kg - Oda,https://oda.com/no/products/7813-dansukker-sukker/,Sukker - 1 kg - Oda,True,NO,CURRENCY,False,LEAD,RAW_HTML,"Meny.no, Eldorado.no, Spar.no, Coop matlevering.coop.no, Dansukker.no all 403/dead. Oda.com (major NO online grocer) resolved market via NOK currency; category ",SUCROSE_TERMS.json,2026-09-10T17:47:03Z
PT,pt,Açúcar Branco,Açúcar Branco Continente,https://www.continente.pt/produto/acucar-branco-continente-5038799.html,Açúcar Branco Continente | Continente Online,True,PT,CCTLD,False,RETAILER_PRINTED_TERM,RAW_HTML,"Continente is Portugal's largest supermarket chain. Plain generic 'Açúcar Branco' (white sugar), not cane/mascavado/amarelo variants.",SUCROSE_TERMS.json,2026-09-10T17:47:03Z
SE,sv,Strösocker,Strösocker 1kg ICA,https://handla.ica.se/produkt/1286601,Strösocker 1kg ICA | Handla mat online från din lokala ICA-butik,True,SE,CCTLD,False,RETAILER_PRINTED_TERM,RAW_HTML,ICA is Sweden's largest grocery chain. EAN confirmed on page. Ingredients line: 'Ingredienser: Socker.' bare generic word; product/category term 'Strösocker' (o,SUCROSE_TERMS.json,2026-09-10T17:47:04Z
BD,bn,চিনি,তীর চিনি ১ কেজি,https://bdtotals.com/product/%E0%A6%A4%E0%A7%80%E0%A6%B0-%E0%A6%9A%E0%A6%BF%E0%A6%A8%E0%A6%BF/,তীর চিনি ১ কেজি – BD Totals,True,BD,CURRENCY,False,LEAD,RAW_HTML,"Chaldal/Shwapno/Othoba are JS-rendered SPAs whose static HTML gave no clean Bengali product term (or only 'আখের চিনি'/'লাল চিনি' cane/red variants, excluded by ",SUCROSE_TERMS.json,2026-09-10T18:04:32Z
BG,bg,Захар,Захар ЗАХИРА кристална 1 кг,https://tmarketonline.bg/product/zahar-zahira-kristalna-1-kg,Захар ЗАХИРА кристална 1 кг,True,BG,CCTLD,False,RETAILER_PRINTED_TERM,RAW_HTML,gladen.bg served a bot-challenge page instead; tmarketonline.bg and supermag.bg (corroborating title 'Бяла кристална захар Захира 1кг') are direct .bg retailers,SUCROSE_TERMS.json,2026-09-10T18:04:30Z
