market,product,channel,ean,identifier_type,v9_reporting_status,shop_check,page_market,market_by,tara_mentions_on_page,http,url,checked_utc,action
CA,Louis François Tara Gum 1 kg,LOCAL,,NONE,TARA_LOCAL_CONFIRMED,MARKET_DOMAIN_PAGE_NAMES_TARA_NO_EAN,CA,CCTLD,9,200,https://supplies.gusta.ca/products/louis-francois-tara-gum,2026-09-10T18:20:21Z,REPORT_BACK_TO_OWNER (D-26 step 9; no replacement)
PL,Guma Tara (E417) 130002 SEMPRE,LOCAL,,NONE,TARA_LOCAL_CONFIRMED,MARKET_DOMAIN_PAGE_NAMES_TARA_NO_EAN,PL,CCTLD,12,200,https://www.cukieteria.pl/dodatki-funkcjonalne-do-lodow/13953-op-500-g-guma-tara-e417-130002-sempre-dodatek-do-zywnosci-o-wlasciwosciach-zageszczajacych-i-stabilizujacych.html,2026-09-10T18:20:21Z,REPORT_BACK_TO_OWNER (D-26 step 9; no replacement)
US,Tara Gum — Home 50g,LOCAL,819543011967,GTIN-12 (UPC-A),TARA_LOCAL_CONFIRMED,EAN_ON_NON_MARKET_PAGE,,GENERIC_TLD,8,200,https://modernistpantry.com/products/tara-gum.html,2026-09-10T18:20:21Z,REPORT_BACK_TO_OWNER (D-26 step 9; no replacement)
IT,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,LOCAL,8055728540170,GTIN-13 (EAN-13),TARA_LOCAL_CONFIRMED,EAN_ON_NON_MARKET_PAGE,,GENERIC_TLD,31,200,https://saporepuro.com/en/products/tara-seed-flour-tara-gum-origin-peru-e417-packaged-in-italy-1,2026-09-10T18:20:21Z,REPORT_BACK_TO_OWNER (D-26 step 9; no replacement)
AR,Goma Tara Grado Alimenticio Calidad Premium,LOCAL,,NONE,TARA_LOCAL_CONFIRMED,MARKET_DOMAIN_PAGE_NAMES_TARA_NO_EAN,AR,CCTLD,6,200,https://www.quimicapalumbo.com.ar/productos/goma-tara-grado-alimenticio-calidad-premium/,2026-09-10T18:20:22Z,REPORT_BACK_TO_OWNER (D-26 step 9; no replacement)
BR,Goma Tara INS 417 — 1 kg,LOCAL,,NONE,TARA_LOCAL_CONFIRMED,NOT_READABLE_OR_UNPROVEN,BR,CCTLD,0,403,https://www.allimentari.com.br/produto/goma-tara.html,2026-09-10T18:20:22Z,REPORT_BACK_TO_OWNER (D-26 step 9; no replacement)
CL,Goma Tara 100 Grs,LOCAL,,NONE,TARA_LOCAL_CONFIRMED,MARKET_DOMAIN_PAGE_NAMES_TARA_NO_EAN,CL,CCTLD,14,200,https://www.nutrigood.cl/tara,2026-09-10T18:20:23Z,REPORT_BACK_TO_OWNER (D-26 step 9; no replacement)
CZ,Guma Tara Valknut / Tara guma Valknut,LOCAL,,NONE,TARA_LOCAL_CONFIRMED,MARKET_DOMAIN_PAGE_NAMES_TARA_NO_EAN,CZ,CCTLD,11,200,https://www.valknut.cz/guma-tara-valknut/,2026-09-10T18:20:23Z,REPORT_BACK_TO_OWNER (D-26 step 9; no replacement)
GR,Τάρα Γκαμ (Tara Gum) NoCarb 100 g,LOCAL,,NONE,TARA_LOCAL_CONFIRMED,MARKET_DOMAIN_PAGE_NAMES_TARA_NO_EAN,GR,CCTLD,8,200,https://nocarb.gr/product/tara-gam-100g/,2026-09-10T18:20:27Z,REPORT_BACK_TO_OWNER (D-26 step 9; no replacement)
LT,Tara guma,LOCAL,,NONE,TARA_LOCAL_CONFIRMED,MARKET_DOMAIN_PAGE_NAMES_TARA_NO_EAN,LT,CCTLD,8,200,https://aone.lt/produktas/tara-guma-200g-400g-600g/,2026-09-10T18:20:24Z,REPORT_BACK_TO_OWNER (D-26 step 9; no replacement)
MY,Tara Gum Powder / Serbuk Gam Tara,LOCAL,,NONE,TARA_LOCAL_CONFIRMED,MARKET_DOMAIN_PAGE_NAMES_TARA_NO_EAN,MY,CCTLD,12,200,https://takeitglobal.my/products/tara-gum-powder-serbuk-gam-tara-caesalpinia-spinosa-gum-%E5%A1%94%E6%8B%89%E8%83%B6%E7%B2%89,2026-09-10T18:20:24Z,REPORT_BACK_TO_OWNER (D-26 step 9; no replacement)
SG,Tara Gum (塔拉胶) - 50g,LOCAL,,NONE,TARA_LOCAL_CONFIRMED,MARKET_DOMAIN_PAGE_NAMES_TARA_NO_EAN,SG,CCTLD,6,200,https://better4u.sg/edible-food-tech/244-tara-gum-50g.html,2026-09-10T18:20:24Z,REPORT_BACK_TO_OWNER (D-26 step 9; no replacement)
HK,Tara Gum 50gr. / Gomma di Tara E417,LOCAL,8055728540170,GTIN-13 (EAN-13),TARA_LOCAL_CONFIRMED,NOT_READABLE_OR_UNPROVEN,,GENERIC_TLD,7,200,https://bakingwarehouse.com/products/tara-gum-50gr-saporepuro,2026-09-10T18:20:25Z,REPORT_BACK_TO_OWNER (D-26 step 9; no replacement)
TH,Tara Gum (China) 25g. A M,LOCAL,2033200071103,RCN_STORE_INTERNAL (not globally unique),TARA_LOCAL_CONFIRMED,NOT_READABLE_OR_UNPROVEN,,GENERIC_TLD,0,403,https://www.chemipan.com/a/index.php?lang=en-gb&option=com_virtuemart&view=productdetails&virtuemart_category_id=126&virtuemart_product_id=17389,2026-09-10T18:20:26Z,REPORT_BACK_TO_OWNER (D-26 step 9; no replacement)
TR,Benosen Tara Gum (E417) 200 g,LOCAL,0795258101998,GTIN-13 (EAN-13),TARA_LOCAL_CONFIRMED,MARKETPLACE_ONLY,,GENERIC_TLD,0,403,https://www.trendyol.com/benosen/tara-gum-e417-dondurma-stabilizeri-kivam-verici-net-200-g-p-81504382,2026-09-10T18:20:26Z,REPORT_BACK_TO_OWNER (D-26 step 9; no replacement)
