market,v9_product,v9_channel,v9_ean,identifier_type,v9_reporting_status,local_availability_evidence,exact_product_identity_evidence,identifier_evidence,market_binding_evidence,identifier_confirmed,exact_product_identity_confirmed,market_binding_confirmed,local_availability_confirmed,d29_status,action,v9_market_availability_evidence,v9_product_evidence,v9_source_urls
CA,Louis François Tara Gum 1 kg,LOCAL,,NONE,TARA_LOCAL_CONFIRMED,listing reachable; names tara 9×,"NOT_PROVEN — the listing names the product type, but nothing ties it to one exact product (name similarity never confirms)",NONE — v9 gives no GTIN and the local page carries none,CCTLD — supplies.gusta.ca,False,False,True,False,LISTING_AND_BINDING_BUT_IDENTITY_NOT_PROVEN,REPORT_BACK_TO_OWNER (D-26/D-34; no replacement),"Lokalna oferta Gusta Supplies z ceną 190 CAD, opcją koszyka i odbioru w Markham; koszt i termin dostawy zależne od adresu.",proposal_key=TARA-CA-PRODUCT; EAN/GTIN=BRAK,"https://supplies.gusta.ca/products/louis-francois-tara-gum
https://supplies.gusta.ca/policies/shipping-policy"
PL,Guma Tara (E417) 130002 SEMPRE,LOCAL,,NONE,TARA_LOCAL_CONFIRMED,listing reachable; names tara 12×,"NOT_PROVEN — the listing names the product type, but nothing ties it to one exact product (name similarity never confirms)",NONE — v9 gives no GTIN and the local page carries none,CCTLD — www.cukieteria.pl,False,False,True,False,LISTING_AND_BINDING_BUT_IDENTITY_NOT_PROVEN,REPORT_BACK_TO_OWNER (D-26/D-34; no replacement),Polish retailer displayed 52 units in stock. InPost courier/parcel locker delivery and physical collection offered.,proposal_key=TARA-PL-PRODUCT; EAN/GTIN=BRAK,https://www.cukieteria.pl/dodatki-funkcjonalne-do-lodow/13953-op-500-g-guma-tara-e417-130002-sempre-dodatek-do-zywnosci-o-wlasciwosciach-zageszczajacych-i-stabilizujacych.html
US,Tara Gum — Home 50g,LOCAL,819543011967,GTIN-12 (UPC-A),TARA_LOCAL_CONFIRMED,listing reachable; names tara 8×,GTIN_ON_LOCAL_PAGE,819543011967 (GTIN-12 (UPC-A)) printed as data on modernistpantry.com,"NOT_PROVEN — generic .com, no explicit US signal on the cached pages (D-30)",True,True,False,False,IDENTITY_CONFIRMED_BINDING_NOT_PROVEN,REPORT_BACK_TO_OWNER (D-26/D-34; no replacement),Lokalna oferta producenta 50 g. Zachowano istniejący HOLD_US z arkusza QA; podstawa prawna użycia konkretnego produktu nie została zamknięta.,proposal_key=TARA-MP-1508-50; EAN/GTIN=819543011967,"https://modernistpantry.com/products/tara-gum.html
https://cdn11.bigcommerce.com/s-nu5wtrnr3h/images/stencil/1280x1280/products/507/1289/modernistpantry_taragum_50g_back__92203.1691090330.jpg?c=1
https://www.fda.gov/media/178582/download"
IT,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,LOCAL,8055728540170,GTIN-13 (EAN-13),TARA_LOCAL_CONFIRMED,listing reachable; names tara 31×,"GTIN_ON_SOURCE + ATTRIBUTE_MATCH (identity_match.py: brand, name, pack, variant; no conflicting GTIN)",8055728540170 (GTIN-13 (EAN-13)) printed as data on saporepuro.com,"EXPLICIT_QUOTE_ON_LOCAL_SELLER: «ndard courier), BRT , GLS , Poste Italiane , DHL , and UPS . For deliveries within Italy, the courier can be selected at»",True,True,True,True,CONFIRMED_LOCAL,NONE,"Italian manufacturer/packer in Turin offers the 50 g retail pack. Selected variant available at review. Italy shipping explicitly listed: 24–48 hours mainland, 48–72 hours islands/remote areas. Final stock and postcode acceptance require checkout.",proposal_key=TARA-GTIN-08055728540170; EAN/GTIN=8055728540170,"https://saporepuro.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1
https://saporepuro.com/cdn/shop/files/TDS_GOMMA_DI_TARA_SAPOREPURO_7ba2d8ce-553c-4b18-8d0a-b511a78af3f0.pdf?v=6266750854494086058
https://saporepuro.com/policies/shipping-policy
https://saporepuro.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1.json"
AR,Goma Tara Grado Alimenticio Calidad Premium,LOCAL,,NONE,TARA_LOCAL_CONFIRMED,listing reachable; names tara 6×,"NOT_PROVEN — the listing names the product type, but nothing ties it to one exact product (name similarity never confirms)",NONE — v9 gives no GTIN and the local page carries none,CCTLD — www.quimicapalumbo.com.ar,False,False,True,False,LISTING_AND_BINDING_BUT_IDENTITY_NOT_PROVEN,REPORT_BACK_TO_OWNER (D-26/D-34; no replacement),Produkt detaliczny w argentyńskim sklepie; dokładny wariant opakowania i zapas do potwierdzenia.,proposal_key=TARA-AR-PRODUCT; EAN/GTIN=BRAK,https://www.quimicapalumbo.com.ar/productos/goma-tara-grado-alimenticio-calidad-premium/
BR,Goma Tara INS 417 — 1 kg,LOCAL,,NONE,TARA_LOCAL_CONFIRMED,NOT_OBSERVED — page not readable in this run,"NOT_PROVEN — the listing names the product type, but nothing ties it to one exact product (name similarity never confirms)",NONE — v9 gives no GTIN and the local page carries none,NOT_PROVEN — listing page not readable (bot wall / error / marketplace block),False,False,False,False,NOT_PROVEN,REPORT_BACK_TO_OWNER (D-26/D-34; no replacement),Lokalny katalog z opcją 1 kg i koszykiem; zapas wybranego wariantu potwierdzić przy zamówieniu.,proposal_key=TARA-BR-PRODUCT; EAN/GTIN=BRAK,https://www.allimentari.com.br/produto/goma-tara.html
CL,Goma Tara 100 Grs,LOCAL,,NONE,TARA_LOCAL_CONFIRMED,listing reachable; names tara 14×,"NOT_PROVEN — the listing names the product type, but nothing ties it to one exact product (name similarity never confirms)",NONE — v9 gives no GTIN and the local page carries none,CCTLD — www.nutrigood.cl,False,False,True,False,LISTING_AND_BINDING_BUT_IDENTITY_NOT_PROVEN,REPORT_BACK_TO_OWNER (D-26/D-34; no replacement),Lokalna oferta z wysyłką w całym Chile; aktualny stan magazynowy do potwierdzenia.,proposal_key=TARA-CL-PRODUCT; EAN/GTIN=BRAK,https://www.nutrigood.cl/tara
CZ,Guma Tara Valknut / Tara guma Valknut,LOCAL,,NONE,TARA_LOCAL_CONFIRMED,listing reachable; names tara 11×,"NOT_PROVEN — the listing names the product type, but nothing ties it to one exact product (name similarity never confirms); D-37: Valknut sells its own Valknut-branded product — exact identity may be proven WITHOUT a GTIN by the first-party listing (own brand/seller, exact name, variant, pack, SKU where available); assessment waits for the Owner-Excel verification (paused)",NONE — v9 gives no GTIN and the local page carries none,CCTLD — www.valknut.cz,False,False,True,False,LISTING_AND_BINDING_BUT_IDENTITY_NOT_PROVEN,REPORT_BACK_TO_OWNER (D-26/D-34; no replacement),CZ: retail product in stock; domestic PPL/GLS delivery listed.,proposal_key=TARA-CZ-PRODUCT; EAN/GTIN=BRAK,"https://www.valknut.cz/guma-tara-valknut/
https://www.valknut.cz/informace-o-nakupu/doprava-a-platba/"
GR,Τάρα Γκαμ (Tara Gum) NoCarb 100 g,LOCAL,,NONE,TARA_LOCAL_CONFIRMED,listing reachable; names tara 8×,"NOT_PROVEN — the listing names the product type, but nothing ties it to one exact product (name similarity never confirms); D-37: NoCarb sells its own NoCarb-branded product — exact identity may be proven WITHOUT a GTIN by the first-party listing (own brand/seller, exact name, variant, pack, SKU where available); assessment waits for the Owner-Excel verification (paused)",NONE — v9 gives no GTIN and the local page carries none,CCTLD — nocarb.gr,False,False,True,False,LISTING_AND_BINDING_BUT_IDENTITY_NOT_PROVEN,REPORT_BACK_TO_OWNER (D-26/D-34; no replacement),"Greek producer catalog with an Athens office, local stockists and B2B links. Exact current stock and delivery date require confirmation.",proposal_key=TARA-GR-PRODUCT; EAN/GTIN=BRAK,"https://nocarb.gr/product/tara-gam-100g/
https://nocarb.gr/prostheta-zaxaroplastikis-mageirikis/"
LT,Tara guma,LOCAL,,NONE,TARA_LOCAL_CONFIRMED,listing reachable; names tara 8× (several pack sizes on one listing),"NOT_PROVEN — the listing names the product type, but nothing ties it to one exact product (name similarity never confirms)",NONE — v9 gives no GTIN and the local page carries none,CCTLD — aone.lt,False,False,True,False,LISTING_AND_BINDING_BUT_IDENTITY_NOT_PROVEN,REPORT_BACK_TO_OWNER (D-26/D-34; no replacement),Product offers domestic Lithuanian courier/parcel-locker delivery in 1–2 working days and shop collection in Panevėžys.,proposal_key=TARA-LT-PRODUCT; EAN/GTIN=BRAK,https://aone.lt/produktas/tara-guma-200g-400g-600g/
