page,iso,country,region,role,name,meta,ean,code,tags,seller,note,links,product_v23,brand_v23,pack_v23,ean_v23,v23_rows
6,DZ,Algeria,Middle East & North Africa,MILK,Lait Entier Stérilisé UHT 1L,Soummam · 1 L · 2.8% fat,6130760003592,,,,,https://www.soummam-dz.com/produit.html?f=3&sf=2 https://mantooj.net/index.php?controller=product&id=13821&lang=ar&layout=detail&option=com_gs1,Lait Entier Stérilisé UHT 1L,Soummam,1 L,6130760003592,"{""04_POKRYCIE_PR"": 126, ""11_MLEKO_75"": 26}"
6,DZ,Algeria,Middle East & North Africa,CREAM,Président Crème UHT semi-épaisse entière 30% MG 2×25cl,Président · 2 × 250 ml · 30% fat,3155250367896,,,,,https://www.miamland.com/produit/22512/achetez-creme-semi-epaisse-entiere-30-2x25cl-president https://www.greens.com.mt/productdetails?pid=3155250367896,Président Crème UHT semi-épaisse entière 30% MG 2×25cl,Président,2 × 250 ml,3155250367896,"{""04_POKRYCIE_PR"": 127, ""14_SMIETANKA_75"": 26}"
6,DZ,Algeria,Middle East & North Africa,SMP,NOW Real Food Organic Non-Fat Dry Milk Powder,NOW Foods Real Food · 12 oz (340 g) bag · 0% fat,733739058324,,From abroad,,,https://dz.iherb.com/pr/now-foods-real-food-organic-non-fat-dry-milk-powder-12-oz-340-g/21134 https://www.nowfoods.com/products/natural-foods/non-fat-dry-milk-powder-organic,NOW Real Food Organic Non-Fat Dry Milk Powder,NOW Foods Real Food,torebka 12 oz (340 g),733739058324,"{""04_POKRYCIE_PR"": 128, ""17_PROSZEK_75"": 26}"
6,DZ,Algeria,Middle East & North Africa,SUCROSE,White granulated sugar — 100% sugar,Any brand · any pack,,,,,The ingredients should list only sugar (sucrose).,,Biały cukier krystaliczny — 100% cukier,GENERIC,dowolne opakowanie,,"{""04_POKRYCIE_PR"": 129}"
6,DZ,Algeria,Middle East & North Africa,DEXTROSE,BulkSupplements.com Dextrose Crystallized Powder,BulkSupplements.com · 1 kg (2.2 lb) · monohydrate,,DEX1KG,From abroad,,,https://www.bulksupplements.com/products/dextrose-powder,BulkSupplements.com Dextrose Crystallized Powder,BulkSupplements.com,1 kg (2.2 lb) — label 005,,"{""04_POKRYCIE_PR"": 130, ""20_DEKSTROZA_75"": 26}"
6,DZ,Algeria,Middle East & North Africa,TARA,SaporePuro Farina di semi di tara (E417) 50 g,SaporePuro · 50 g,8055728540170,,From abroad,"Sold by SaporePuro, Italy",Mix with the dry ingredients and heat the base to 75–80 °C.,https://saporepuro.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1 https://bakingwarehouse.com/products/tara-gum-50gr-saporepuro,SaporePuro Farina di semi di tara (E417) 50 g,SaporePuro,50 g,8055728540170,"{""04_POKRYCIE_PR"": 131, ""23_TARA_75"": 26}"
7,AR,Argentina,Americas,MILK,La Serenísima Leche Larga Vida Clásica 3% 1 L,La Serenísima · 1 L · 3% fat,7790742308801,,,,,https://www.carrefour.com.ar/leche-entera-larga-vida-la-serenisima-3-1-l/p https://www.coto.com.ar/productos/_/A-00253482-00253482-200/,La Serenísima Leche Larga Vida Clásica 3% 1 L,La Serenísima,1 L,7790742308801,"{""04_POKRYCIE_PR"": 138, ""11_MLEKO_75"": 28}"
7,AR,Argentina,Americas,CREAM,Milkaut Profesional Crema de Leche 39%,"Milkaut · 5 l, sachet · 39.3% fat",7794820901670,,,,,https://milkautprofesional.com.ar/productos/cremas/crema-39/ https://www.cocinaconvalentino.com.ar/cremas-de-leche/17213-crema-de-leche-milkaut-sachet-x-5-lts-39-7794820901670.html,Milkaut Profesional Crema de Leche 39%,Milkaut,"5 l, sachet",7794820901670,"{""04_POKRYCIE_PR"": 139, ""14_SMIETANKA_75"": 28}"
7,AR,Argentina,Americas,SMP,La Serenísima Leche en Polvo Liviana / Descremada Instantánea 400 g,La Serenísima · 400 g · 0% fat,7790742436405,,,,,https://www.jumbo.com.ar/leche-en-polvo-descremada-la-serenisima-400-gr/p https://www.supertop.com.ar/leche-la-serenisima-en-polvo-descremada-instantanea-x-400gr-7790742436405/p,La Serenísima Leche en Polvo Liviana / Descremada Instantánea 400 g,La Serenísima,400 g,7790742436405,"{""04_POKRYCIE_PR"": 140, ""17_PROSZEK_75"": 28}"
7,AR,Argentina,Americas,SUCROSE,White granulated sugar — 100% sugar,Any brand · any pack,,,,,The ingredients should list only sugar (sucrose).,,Biały cukier krystaliczny — 100% cukier,GENERIC,dowolne opakowanie,,"{""04_POKRYCIE_PR"": 141}"
7,AR,Argentina,Americas,DEXTROSE,CERELOSE® Dextrose Monohydrate 1 kg (local repack),CERELOSE / Ingredion · 1 kg · monohydrate,,RNE 742523 / RNPA 6754756,,,,https://www.mercadolibre.com.ar/dextrosa-monohidratada-cerelose-helados-reposteria-x-1-kg/up/MLAU354075821,CERELOSE® Dextrose Monohydrate 1 kg (local repack),CERELOSE / Ingredion,1 kg,,"{""04_POKRYCIE_PR"": 142, ""20_DEKSTROZA_75"": 28}"
7,AR,Argentina,Americas,TARA,SaporePuro Farina di semi di tara (E417) 50 g,SaporePuro · 50 g,8055728540170,,From abroad,"Sold by SaporePuro, Italy",Mix with the dry ingredients and heat the base to 75–80 °C.,https://saporepuro.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1,SaporePuro Farina di semi di tara (E417) 50 g,SaporePuro,50 g,8055728540170,"{""04_POKRYCIE_PR"": 143, ""23_TARA_75"": 28}"
8,AU,Australia,Asia–Pacific,MILK,Devondale Full Cream Long Life Milk 1 L,Devondale · 1 L · 3.4% fat,9300639500041,,,,,https://www.devondale.com.au/en/products/milk/full-cream-long-life-milk https://www.thedistributorscairns.com.au/product/DEVONDALE_FULL_CREAM_1LIT_MILK,Devondale Full Cream Long Life Milk 1 L,Devondale,1 L,9300639500041,"{""04_POKRYCIE_PR"": 6, ""11_MLEKO_75"": 6}"
8,AU,Australia,Asia–Pacific,CREAM,Pauls Thickened Cream,Pauls · 300 ml · 35.4% fat,9310036007296,,,,,https://mylactalis.com.au/pauls-thickened-cream-300ml-regular https://www.woolworths.com.au/shop/productdetails/90612/pauls-thickened-cream,Pauls Thickened Cream,Pauls,300 ml,9310036007296,"{""04_POKRYCIE_PR"": 7, ""14_SMIETANKA_75"": 6}"
8,AU,Australia,Asia–Pacific,SMP,Devondale Instant Skim Milk Powder,Devondale · 1 kg · 0.9% fat,9300639999005,,,,,https://www.devondale.com.au/en/products/milk/skim-milk-powder https://www.woolworths.com.au/shop/productdetails/750032/devondale-instant-skim-milk-powder-powder-uht,Devondale Instant Skim Milk Powder,Devondale,1 kg,9300639999005,"{""04_POKRYCIE_PR"": 8, ""17_PROSZEK_75"": 6}"
8,AU,Australia,Asia–Pacific,SUCROSE,White granulated sugar — 100% sugar,Any brand · any pack,,,,,The ingredients should list only sugar (sucrose).,,Biały cukier krystaliczny — 100% cukier,GENERIC,dowolne opakowanie,,"{""04_POKRYCIE_PR"": 9}"
8,AU,Australia,Asia–Pacific,DEXTROSE,VPA Dextrose Monohydrate,VPA · 1 kg · monohydrate,,VPA-DEX-1KG,,,,https://www.vpa.com.au/products/dextrose-monohydrate,VPA Dextrose Monohydrate,VPA,1 kg,,"{""04_POKRYCIE_PR"": 10, ""20_DEKSTROZA_75"": 6}"
8,AU,Australia,Asia–Pacific,TARA,Tara Gum 50gr. / Gomma di Tara E417,SaporePuro · 50 g,8055728540170,,From abroad,"Sold by BakingWarehouse, Hong Kong",Mix with the dry ingredients and heat the base to 75–80 °C.,https://bakingwarehouse.com/products/tara-gum-50gr-saporepuro https://saporepuro.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1,Tara Gum 50gr. / Gomma di Tara E417,SaporePuro,50 g,8055728540170,"{""04_POKRYCIE_PR"": 11, ""23_TARA_75"": 6}"
9,AT,Austria,Europe,MILK,"Schärdinger Vollmilch 3,5% ESL 1 L",Schärdinger · 1 L carton · 3.5% fat,9066000164907,,,,,https://shop.kastner.at/222821.html https://www.spar.at/produktwelt/schaerdinger-vollmilch-3-5-p7715600,"Schärdinger Vollmilch 3,5% ESL 1 L",Schärdinger,1 L carton,9066000164907,"{""04_POKRYCIE_PR"": 12, ""11_MLEKO_75"": 7}"
9,AT,Austria,Europe,CREAM,Alpiland H-Schlagrahm 30% 1 L,Alpiland · 1 L · 30% fat,9066000864401,,,,,https://shop.kastner.at/222148.html,Alpiland H-Schlagrahm 30% 1 L,Alpiland,1 L,9066000864401,"{""04_POKRYCIE_PR"": 13, ""14_SMIETANKA_75"": 7}"
9,AT,Austria,Europe,SMP,Wild Thing Magermilchpulver 500 g,Wild Thing · 500 g · 0.8% fat,,20645080,,,,https://trinklusiv.at/products/wild-thing-magermilchpulver-500-g https://www.wildberger.at/premium-fuellprodukte/milchprodukte,Wild Thing Magermilchpulver 500 g,Wild Thing,500 g,,"{""04_POKRYCIE_PR"": 14, ""17_PROSZEK_75"": 7}"
